comparison_id,domain,left_mention_id,right_mention_id,selection,source_candidate_id,left_paper_id,left_raw_phrase,left_proposed_semantic_role,left_quote,right_paper_id,right_raw_phrase,right_proposed_semantic_role,right_quote,proposed_relation,model_reason,evidence_scope,annotation_status,merge_applied,human_decision,human_reason
N0306,iTE,iTE:P1006:n2,iTE:P1018:n2,same_label_context_review,,P1006,half-metallic character,state_structure,"The structural, elastic, electronic, magnetic, and thermoelectric properties of MgEu2X4 (X = S and Se) spinel compounds are investigated computationally. Calculations are performed using the full-potential linearized augmented plane wave (FP-LAPW) method within the Perdew, Burke, and Ernzerhof generalized gradient approximation (PBE-GGA), GGA + U, and modified Becke-Johnson (mBJ-GGA) approximations. The band structure and density of states results from the three exchange-correlation approximation methods (mBJ, GGA + U, and PBE) show that these spinel compounds are fully spin-polarized. Also, they possess a half-metallic character in the spin-down channel with a direct bandgap (Gamma-Gamma) of about 3.44, 2.712, and 2.472 eV for MgEu2S4 and 2.89, 2.285, and 2.017 eV for MgEu2Se4, respectively. The formation of both compounds is energetically favorable based on the results of the total energy and cohesive energy calculations. Furthermore, the two compounds are chemically and mechanically stable, as concluded from cohesive energy and elastic calculations. The elastic calculations reveal that both spinel compounds are ductile materials. The ionic bonds are predominant. The quasi-harmonic model has also been used to investigate the influences of temperature and pressure on thermal characteristics. The thermoelectric behavior is studied using the BoltzTraP code. Both systems show good thermoelectric properties for the spin-down channel.",P1018,half-metallic character,state_structure,"A theoretical study on Rb-based fluorperovskites RbXF3(X = Rh, Os, Ir) is performed for the first time to explore their structural, electronic, optical and thermoelectric properties. The compounds are stable in cubic perovskite type structures with lattice spacing in the range of 4.30 4.35 A. RbRhF3 and RbIrF3 exhibit half-metallic character with indirect band gaps of 4.2 eV and 2.1 eV, respectively, at R -C, whereas RbOsF3 possesses entirely semiconducting nature. The calculation of elastic properties revealed that under study compounds are mechanically stable, hav-ing ionic bonding. Furthermore, all compounds show ductile nature. Optical properties were also calculated in the broad energy range 0-40 eV.(c) 2023 The Author(s). Published by Elsevier B.V. on behalf of King Saud University. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",equivalent_to,两侧明确 half-metallic 电子结构状态，具体自旋通道、直接/间接带隙保持实例区分。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0307,iTE,iTE:P1356:n1,iTE:P1813:n2,same_label_context_review,,P1356,high electrical conductivity,quantity,"Conducting hydrogels have attracted much attention for the emerging field of hydrogel bioelectronics, especially poly(3,4-ethylenedioxythiophene): poly(styrene sulfonate) (PEDOT:PSS) based hydrogels, because of their great biocompatibility and stability. However, the electrical conductivities of hydrogels are often lower than 1 S cm(-1 )which are not suitable for digital circuits or applications in bioelec txonics. Introducing conductive inorganic fillers into the hydrogels can improve their electrical conductivities. However, it may lead to compromises in compliance, biocompatibility, deformability, biodegradability, etc. Herein, a series of highly conductive ionic liquid (IL) doped PEDOT:PSS hydrogels without any conductive fillers is reported. These hydrogels exhibit high conductivities up to approximate to 305 S cm(-1), which is approximate to 8 times higher than the record of polymeric hydrogels without conductive fillers in literature. The high electrical conductivity results in enhanced areal thermoelectric output power for hydrogel-based thermoelectric devices, and high specific electromagnetic interference (EMI) shielding efficiency which is about an order in magnitude higher than that of state-of-the-art conductive hydrogels in literature. Furthermore, these stretchable (strain >30%) hydrogels exhibit fast self-healing, and shape/size-tunable properties, which are desirable for hydrogel bioelectronics and wearable organic devices. The results indicate that these highly conductive hydrogels are promising in applications such as sensing, thermoelectrics, EMI shielding, etc.",P1813,high electrical conductivity,quantity,"Three-dimensional scaffold assemblies consisting of thermally reduced graphene oxide nanosheets and small-diameter carbon nanotubes were synthesized as potential 'all carbon' thermo-electrochemical energy harvesters. The facile hydrothermal-solvothermal synthesis route in which organic wet chemistry used was to inter crosslink the well-dispersed graphene oxide nanosheets with carbon nanotubes followed by freeze-drying to produce monolithic aerogel networks with ultralow densities, tunable mesoscopic pore sizes, tailorable functionality and morphology. They exhibited high electrical conductivity due to multiplex topologies owing to the integration with carbon nanotubes, which has high density of states at van Hove singularities, accompanied by expected larger surface area and sufficient edge plane sites, which in-turn enhance surface adsorption and rapid ion transportation. We conducted thermoelectric and thermo-electrochemical power generation from these 'hybrid' aerogel materials and using two different designs of galvanic thermo-cells. Consequently, higher Seebeck (electronic; S(e)as well as ionic; S-ion) coefficients and thermopower generation was measured that confirmed low thermal responsiveness attributed to smaller domain size generated by hierarchical mesoporosity and open network. These multiple features demonstrate significant potential of these novel electrodes in galvanic thermocells for low-grade thermal energy harvester with higher relative conversion efficiency.",uncertain,水凝胶与碳纳米管复合体系的 high electrical conductivity 未明确电子/离子分量，不能以 high 泛称归一。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0308,iTE,iTE:P0994:n3,iTE:P1135:n2,same_label_context_review,,P0994,high figure of merit,performance_function,"Structural, electronic, lattice dynamics, optical, elastic, and thermoelectric features of Indium based Perovskite InGeX3 (X = F, Cl) are studied by using WIEN2k code within density functional theory DFT. A level of the Boltzmann transport theory is used to derive electronic transport coefficients together with anticipated electronic relaxation times. These compounds exhibit stability and are cubic with the space group Pm-3m 221, according to the structural analysis. The band structure having the 2.15 eV and 1.29 eV band gap and density of state (DOS) are calculated for electronic characteristics, indicating that both compounds are semiconducting. For the analysis of elastic characteristics, elastic constants, bulk modulus (49.99, 22.69), Poisson's ratio (0.343, 0.261), anisotropy factor (0.52, 0.59), and Pugh's ratio (2.87, 1.75) are examined. The ductile nature of the compounds is described by Pugh's ratio, and the ionic nature can be ascertained by evaluating the Cauchy pressure. In the energy range of 0-10 eV, optical features like reflectivity, optical conductivity, refractive index, extinction coefficient and absorption coefficient are computed. These compounds broad-range absorption in the UV spectrum suggests that they could be good optoelectronic device candidates. The transport feature like Seebeck coefficient, thermal and lattice conductivity, power factor, electrical conductivity, and figure of merit zT (0.99, 0.98) can be calculated against temperature. The chemical potential against an excellent thermoelectric property of InGeX3 (X = F, Cl) have high figure of merit due to high Seebeck and electrical conductivity. These predicted outcomes indicated that both compounds are suitable candidates for thermoelectric applications. Such compounds can replace with other renewable energy sources in thermoelectric devices because of their powerful thermoelectric response.",P1135,high figure of merit,performance_function,"The double perovskites (DPs) are outstanding materials for renewable energy and other optoelectronic applications. Here in this paper, the thermoelectric and optical behavior of X2HfI6 (X = Ga, In, Tl) have been explained systematically by DFT. The structural stability has been certified using ionic radii in terms of tolerance factor, and dynamic stability has been confirmed by positive phonon dispersion frequencies in acoustic modes. The band structure findings show the direct band gaps for (Ga, In, Tl) based DPs. The optical properties have been investigated by dispersion, absorption, refection, and related other optical characteristics. The absorption bands are existing in ultraviolet region and shifted to higher energy (blue shift). The reflection and optical loss of light are noted less than 0.3 which increases their potential for optoelectronic devices. The high Seebeck coefficient and electrical conductivity along with ultralow lattice thermal conductivity confirm the high figure of merit at and below the room temperature.",equivalent_to,两侧均为高热电优值目标概念，保留 high 限定，具体化合物和优值计算条件不合并。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0309,iTE,iTE:P0465:n3,iTE:P0495:n3,same_label_context_review,,P0465,high thermopower,performance_function,"Embedding ball-milled Mg-3(Sb, Bi)(2)-based particles and carbon nanotubes into a non-toxic kappa-carrageenan/gelatin matrix establishes a percolated ionic-electronic hybrid network, yielding a high thermopower of -1.30 mV K-1 and rapid piezoresistive responses (similar to 40 ms).",P0495,high thermopower,performance_function,The operation mechanism is attributed to the hole tunneling across the rGO sheets and the high thermopower due to the Soret effect of the ions.,uncertain,一侧为离子—电子混合网络响应，另一侧指定离子 Soret 热电势，具体分量未统一。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0310,iTE,iTE:P1313:n1,iTE:P1755:n2,same_label_context_review,,P1313,hole concentration,quantity,"Fully filled skutterudites RFe4Sb12 (R = Ca, Sr, Ba, La, Ce, Pr, Nd, Eu, and Yb) have been prepared and the high-temperature electrical and thermal transport properties are investigated systematically. Lattice constants of RFe4Sb12 increase almost linearly with increasing the ionic radii of the fillers, while the lattice expansion in filled structure is weakly influenced by the filler valence charge states. Using simple charge counting, the hole concentration in RFe4Sb12 with divalent fillers (R = Ca, Sr, Ba, Eu, and Yb) is much higher than that in RFe4Sb12 with trivalent fillers (R = La, Ce, Pr, and Nd), resulting in relatively high electrical conductivity and low Seebeck coefficient. It is also found that RFe4Sb12 filled skutterudites having similar filler valence charge states exhibit comparable electrical conductivity and Seebeck coefficient, and the behavior of the temperature dependence, thereby leading to comparable power factor values in the temperature range from 300 to 800 K. All RFe4Sb12 samples possess low lattice thermal conductivity. The correlation between the lattice thermal resistivity W-L and ionic radii of the fillers is discussed and a good relationship of W-L similar to (r(cage)-r(ion))(3) is observed in lanthanide metal filled skutterudites. CeFe4Sb12, PrFe4Sb12, and NdFe4Sb12 show the highest thermoelectric figure of merit around 0.87 at 750 K among all the filled skutterudites studied in this work. (C) 2011 American Institute of Physics. [doi: 10.1063/1.3553842]",P1755,hole concentration,quantity,The substitutions of Ln(3+) for Ca2+ change hole concentration and meanwhile introduce a strong point-defect phonon scattering.,equivalent_to,两侧明确 hole concentration，保留空穴类型，不并入未分类型的所有载流子浓度。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0311,iTE,iTE:P1463:n2,iTE:P1498:n1,same_label_context_review,,P1463,hybridization,mechanism_process,"There is a strong coupling between Se-p-Lu-p sites for MgLu2Se4 and Se-p-Y-p states in MgY2Se4, which reflects their hybridization.",P1498,hybridization,mechanism_process,"The strong hybridization was observed between Ca-d and Ge-p states, whereas as a whole it showed mix ionic and covalent bonding nature.",related_to,两侧都是电子轨道杂化，但参与元素与轨道不同；保留对应的具体杂化机制。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0312,iTE,iTE:P0341:n1,iTE:P0412:n4,same_label_context_review,,P0341,hydrogen bonding,interaction,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.",P0412,hydrogen bonding,interaction,"The incorporation of of SiO2, modified graphene (mG), and Ti3C2Tx reduce crystallinity, strengthen interfacial phonon scattering, and introduce extensive hydrogen bonding, thereby improving both thermoelectric and mechanical performance.",equivalent_to,两侧均指非共价氢键作用类别，作用组分和数量仍由各自原文限定。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0313,iTE,iTE:P1780:n1,iTE:P1797:n1,same_label_context_review,,P1780,incorporation of MXene,design_strategy,"The utilization of conductive hydrogel-based flexible sensors has garnered significant interest in various fields such as electronic skin, human activity monitoring, and human-machine interaction. Nonetheless, the development of photothermoelectric-responsive conductive hydrogels with excellent mechanical properties, extensive sensing capabilities, and resistance to low temperatures remains a formidable challenge. Herein, a combined electronic and ionic conductive hydrogel named as KMGHCa hydrogel with robust toughness, high stretchability, and photothermoelectric-responsiveness was constructed by integrating two-dimensional MXene (Ti3C2Tx) nanosheet into a gellan gum/ poly(N-hydroxyethyl acrylate) matrix in calcium chloride solution via heating-cooling-photopolymerization. The incorporation of MXene into the hydrogel not only imparted remarkable photothermal characteristics under near-infrared (NIR) light irradiation, but also functioned as a crosslinking agent and conductive additive. The as-prepared hydrogels exhibited outstanding mechanical property (tensile stress of 1463 %, tensile strain of 1008 kPa), attractive conductivity (2.07 S/m) and anti-freezing ability simultaneously. The sensor constructed by KMGHCa hydrogel exhibited a broad sensing range spanning from 0 % to 400 %, high sensitivity with a gauge factor of 4.40, and outstanding photothermoelectric conversion characteristics (photothermal conversion efficiency of 93.6 %, thermoelectric sensitivity of -0.41 %/degree celsius, and photoelectric responsivity of 9 mA/W), which also widely applied to various applications, including monitoring various human behaviors, self-powered triboelectric nanogenerators, and NIR light-responsive photothermoelectric detector. Therefore, this work provided a general route for generating multifunctional hydrogels toward applications in motion monitoring sensors, energy harvesting devices, photothermoelectric detection systems.",P1797,incorporation of MXene,design_strategy,"The efficient utilization of low-grade and abundant thermal sources using thermoelectric (TE) materials plays a pivotal role in enhancing the efficacy of environmental heat and energy collection and utilization. In light of sustainable development principles and capitalizing on the low thermal conductivity of biomass materials, a novel approach was proposed to integrate a green solvent (deep eutectic solvent, DES) with a bio-based nanofiber (cellulose nanofibril, CNF) using a co-solvent evaporation method, aiming to fabricate a high-performance TE gel that exhibits excellent flexibility, mechanical properties, and scalability. Significant TE performance is realized, resulting in a high Seebeck coefficient (23.03 mV K- 1) and impressive ionic conductivity (33.90 mS cm- 1) at room temperature under 70 % humidity. Furthermore, the incorporation of MXene demonstrates an impressive 34.3 dB electromagnetic interference (EMI) shielding efficiency, effectively safeguarding TE materials against adverse effects of external EMI during usage. Meanwhile, the gel, enriched with tannic acid, Cu ions, and MXene, ensures lasting antibacterial effectiveness, thereby mitigating bacterial attacks on the cellulose-based scaffold, which pose a significant risk of performance degradation. This study establishes a novel design pathway for the development and versatile application of high-performance, environmentally friendly, and robust TE materials.",uncertain,MXene 未在两侧明确组成和表面端基，接收基材也不一致，不能确认同一具体添加策略。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0314,iTE,iTE:P0375:n2,iTE:P0376:n2,same_label_context_review,,P0375,ion diffusion coefficient,quantity,"The iTE properties of PEDOT:PAAMPSA:PA are optimized by controlling the ion carrier concentration, ion diffusion coefficient, and Eastman entropy, and high stretchability and self-healing ability are achieved based on the dynamic interactions between the components.",P0376,ion diffusion coefficient,quantity,"Graphene forming a structure like a bridge could improve the ion diffusion coefficient and exchange current density, thereby improving performance.",uncertain,均为离子扩散系数，但一侧聚合物体系、另一侧含红氧化还原离子，单离子/有效扩散定义未明确。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0315,iTE,iTE:P0454:n1,iTE:P0940:n1,same_label_context_review,,P0454,ion exchange,mechanism_process,"Poly(3,4-ethylenedioxythiophene):poly(4-styrenesulfonate) (PEDOT:PSS) has garnered significant considerable interest in the field of flexible thermoelectric films owing to its very low thermal conductivity, highly adjustable electrical conductivity (sigma) and Seebeck coefficient (S). However, improving the sigma and S of PEDOT:PSS simultaneously remains challenging for achieving efficient thermoelectrics. In this paper, we proposed a two-step process involving femtosecond laser irradiation and ionic liquid (IL) 1-Ethyl-3-MethylImidazolium DiCyAmide treatment to enhance the thermoelectric properties of PEDOT: PSS thin films. This finding revealed that the increase in PEDOT: PSS conductivity was attributed to both laser irradiation and the post-treatment with IL, in which the former enabled the efficient elimination of insulating PSS from the surface of the conductive polymer, the latter further contributed to the decoupling of PEDOT and PSS. The enhanced Seebeck coefficient was due to the ion exchange resulting from IL post-processing, which regulated the PEDOT doping level.",P0940,ion exchange,mechanism_process,"Herein, ionic liquids (IL) were first used to improve the conductivity of PEDOT:PSS through ion exchange, then surface-charged nanoparticles SiO2-NH2 (SiO2+) were added to promote the dispersion of IL and as a thermal insulator to decrease thermal conductivity.",equivalent_to,两侧均在 PEDOT:PSS 离子液体处理中讨论离子交换过程类别；具体离子对继续保留。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0316,iTE,iTE:P0580:n3,iTE:P0645:n2,same_label_context_review,,P0580,ion migration,mechanism_process,"This design significantly improved the mechanical properties of the ionogel by leveraging the reinforcing effect of the HPC fibers, which also created an IL-rich spherical structure through in situ microphase separation that promoted efficient ion migration.",P0645,ion migration,mechanism_process,Measurements with the thermal gradient applied either along or opposite to the DC current establish that the ion migration is an electrochemical effect rather than a thermodiffusion.,uncertain,锚点未指定驱动力，对照明确为电化学迁移且排除热扩散，不能因 ion migration 同名等同。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0317,iTE,iTE:P0528:n2,iTE:P0585:n2,same_label_context_review,,P0528,ion selectivity,performance_function,"These modifications significantly increased the fixed surface charge density, promoting ion selectivity and enabling efficient ion transport under a thermal gradient.",P0585,ion selectivity,quantity,"Meanwhile, nano-confinement effects enhance ion selectivity at low concentrations and promote asymmetric ion distribution, leading to a synergistic improvement of thermoelectric performance.",uncertain,两侧目前角色分别为功能和量；原句都没有选择性数值定义，需先复核角色边界再归一化。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0318,iTE,iTE:P0359:n4,iTE:P0919:n3,same_label_context_review,,P0359,ion transport,mechanism_process,"The hydroxyl groups within the hydrogels interact with both cations and anions, thereby increasing the entropy difference in thermal migration between them. Meanwhile, the integrated hydrogel structure provides accelerated pathways for ion transport, synergistically enhancing the overall ionic thermoelectric effect.",P0919,ion transport,mechanism_process,"By regulating ion transport via the synergy of selective ion-localization and thermo-osmotic mechanism, such design provides an effective strategy to increase thermopower, and our device is endowed with high output power density, tailorable architecture, and excellent stretchability, which is showcased in a thermoelectric wristband for body heat recovery.",equivalent_to,均为离子输运的一般过程类别，热渗/热电与电化学储能是不同情境，不能从共享类别推导机制等价。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0319,iTE,iTE:P0359:n4,iTE:P1851:n2,same_label_context_review,,P0359,ion transport,mechanism_process,"The hydroxyl groups within the hydrogels interact with both cations and anions, thereby increasing the entropy difference in thermal migration between them. Meanwhile, the integrated hydrogel structure provides accelerated pathways for ion transport, synergistically enhancing the overall ionic thermoelectric effect.",P1851,ion transport,mechanism_process,"Conductive polymer electrodes hold exceptional promise in energy conversion technologies and bioelectronics due to the inherent mechanical flexibility and synthetic tunability of physical, chemical, and electronic properties. Solution-processing is favorable to retain low-cost but can often result in heterogeneity of physical and electronic structure due to non-conjugated side chains and polyionic dopants creating insulating domains. Such a complex landscape limits control and systematic understanding of fundamental properties including electrical and ionic transport and rates of electron transfer central to overall device efficiencies. Oxidative chemical vapor deposition (oCVD) offers a promising route to simultaneously synthesize and deposit conductive polymer films at low temperatures (< 150 degrees C) with controllable microstructure. Herein we use the oCVD technique to synthesize and deposit different paracrystalline films of poly(3,4-ethylenedioxythiophene). Using grazing incidence wide-angle x-ray scattering, we demonstrate three different orientations of the pi-pi packing direction, relative to the surface normal, to yield thin films with face-on, edge-on, and isotropic character. These different microstructures have direct impact on the electrochemical conditioning of the redox properties of the films. We show that electrochemical properties, as defined by energy and power density, are highest for crystalline materials with edge-on orientation to facilitate ion transport while still retaining reasonable electrical conductivity.",equivalent_to,均为离子输运的一般过程类别，热渗/热电与电化学储能是不同情境，不能从共享类别推导机制等价。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0320,iTE,iTE:P0350:n5,iTE:P0369:n3,same_label_context_review,,P0350,ionic Seebeck coefficient,performance_function,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",P0369,ionic Seebeck coefficient,performance_function,"The results show not only the porosity and pore connectivity, but also the higher specific surface area of cement matrix is an important parameter for improving the ionic Seebeck coefficient of cementitious materials. The finer pore distribution in the cement matrix will cause a larger thermoelectric voltage.",equivalent_to,各句均明确限定 ionic Seebeck coefficient，支持离子热电响应概念同义；混合材料中的电子分量、离子种类与工况保持分离。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0321,iTE,iTE:P0350:n5,iTE:P0408:n5,same_label_context_review,,P0350,ionic Seebeck coefficient,performance_function,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",P0408,ionic Seebeck coefficient,performance_function,"Based on thermal diffusion, owing to the ion size difference, the covalent cross-linked polymer network and the electrode-dependent effect promote rapid transport of the cations and boost ion concentration difference, resulting in a huge ionic Seebeck coefficient of 19.02 mV K- 1.",equivalent_to,各句均明确限定 ionic Seebeck coefficient，支持离子热电响应概念同义；混合材料中的电子分量、离子种类与工况保持分离。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0322,iTE,iTE:P0350:n5,iTE:P0451:n3,same_label_context_review,,P0350,ionic Seebeck coefficient,performance_function,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",P0451,ionic Seebeck coefficient,performance_function,"Mixed ionic-electronic conducting (MIEC) thermoelectric (TE) materials offer higher ionic conductivity and ionic Seebeck coefficient compared to those of purely ionic-conducting TE materials. These characteristics make them suitable for direct use in thermoelectric generators (TEGs) as the charge carriers can be effectively transported from one electrode to the other via the external circuit. In the present study, MIEC hydrogels are fabricated via the chemical cross-linking of polyacrylamide (PAAM) and polydopamine (PDA) to form a double network. In addition, electrically conducting carboxylated carbon nanotubes (CNT-COOH) are dispersed evenly within the hydrogel via sonication and interaction with the PDA. Moreover, the electrical properties of the hydrogel are further improved via the in situ polymerization of polyaniline (PANI). The presence of CNT-COOH facilitates the ionic conductivity and enhances the ionic Seebeck coefficient via ionic-electronic interactions between sodium ions and carboxyl groups on CNT-COOH, which can be observed in X-ray photoelectron spectroscopy results, thereby promoting the charge transport properties.",equivalent_to,各句均明确限定 ionic Seebeck coefficient，支持离子热电响应概念同义；混合材料中的电子分量、离子种类与工况保持分离。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0323,iTE,iTE:P0350:n5,iTE:P0559:n2,same_label_context_review,,P0350,ionic Seebeck coefficient,performance_function,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",P0559,ionic Seebeck coefficient,performance_function,"Ionic thermoelectric (TE) materials such as ionic hydrogels and ionogels consisting of ionic liquids have emerged as next generation TE materials because of their quasi-solid states and high TE properties, particularly high ionic Seebeck coefficient. However, ionic hydrogels can have a severe stability problem owing to water evaporation, and the ionic liquids of ionogels are very expensive and are usually not biocompatible or even toxic. Here, we report the high TE and mechanical properties of eutectogels made of elastomeric water-borne polyurethane (WPU) and choline chloride (ChCl):ethylene glycol (EG). ChCl:EG is a deep eutectic solvent with high ionic conductivity and non-volatility like ionic liquids, and it has advantages of low cost and environment friendliness in comparison with ionic liquids.",equivalent_to,各句均明确限定 ionic Seebeck coefficient，支持离子热电响应概念同义；混合材料中的电子分量、离子种类与工况保持分离。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0324,iTE,iTE:P0350:n5,iTE:P0611:n3,same_label_context_review,,P0350,ionic Seebeck coefficient,performance_function,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",P0611,ionic Seebeck coefficient,performance_function,"After cation exchange between IL and Laponite, the negatively charged Laponite sheets and released Na+ can enhance the ionic Seebeck coefficient by enlarging thermophoretic mobility difference between the cations and anions in ionogel.",equivalent_to,各句均明确限定 ionic Seebeck coefficient，支持离子热电响应概念同义；混合材料中的电子分量、离子种类与工况保持分离。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0325,iTE,iTE:P0350:n5,iTE:P0615:n2,same_label_context_review,,P0350,ionic Seebeck coefficient,performance_function,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",P0615,ionic Seebeck coefficient,performance_function,"Quasi-frozen ionic carriers yield a large ionic Seebeck coefficient of -3021 mu V K-1, while the electronic carriers dominate the electrical conductivity which is as high as 0.18 S cm(-1)at 60% relative humidity.",equivalent_to,各句均明确限定 ionic Seebeck coefficient，支持离子热电响应概念同义；混合材料中的电子分量、离子种类与工况保持分离。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0326,iTE,iTE:P0350:n5,iTE:P0735:n2,same_label_context_review,,P0350,ionic Seebeck coefficient,performance_function,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",P0735,ionic Seebeck coefficient,performance_function,"The ionic Seebeck coefficient increases with higher porosity and specific surface area, resulting in ULW-ECC with a porous structure demonstrating a superior ionic Seebeck coefficient compared to pure cement.",equivalent_to,各句均明确限定 ionic Seebeck coefficient，支持离子热电响应概念同义；混合材料中的电子分量、离子种类与工况保持分离。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0327,iTE,iTE:P0350:n5,iTE:P0757:n2,same_label_context_review,,P0350,ionic Seebeck coefficient,performance_function,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",P0757,ionic Seebeck coefficient,performance_function,"Two types of highly periodic and high aspect ratio nanochannels have been fabricated in a silicon (Si) substrate and in an aluminium oxide (Al2O3) membrane. Silicon nano channels with diameter of 100 nm and height of 300 mu m have been produced by metal-assisted chemical etching process (MACE), while nanochannels with the dimensions of the 10 nm and 3 mu m respectively, were fabricated in a Al2O3 membrane by the anodic aluminum oxidation (AAO) process. Moreover, a novel approach of thermally nanofluidic energy harvesting was proposed and conducted. The performance of the thermally ionic nanofluidic energy harvesting system in cases with and without nanochannels has been evaluated and compared. The advantage of the presence nanochannels on energy conversion has been confirmed. The electrolyte concentration dependence on the output power has been determined. Also, the effect of nanochannel materials, including alumina and silicon materials, on the power density has been verified. The ionic Seebeck coefficient was enhanced by 7.3 times when the nanochannels were present.",equivalent_to,各句均明确限定 ionic Seebeck coefficient，支持离子热电响应概念同义；混合材料中的电子分量、离子种类与工况保持分离。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0328,iTE,iTE:P0447:n1,iTE:P0561:n2,same_label_context_review,,P0447,ionic Soret effect,mechanism_process,"Here, we report the conversion of heat into stored charge via a remarkably strong ionic Soret effect in a polymeric electrolyte (Seebeck coefficients as high as alpha(i) = 10 mV K-1).",P0561,ionic Soret effect,mechanism_process,The MTEG operates through a combination of electron tunneling between MXene nanosheets and the ionic Soret effect.,equivalent_to,两侧均明确离子 Soret 效应，并与电子隧穿等协同项分开描述。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
