文章名,期刊名,DOI,年份,摘要,材料,机制,source,source_family,source_record_id,source_file,source_row,paper_id,clean_assignment,record_action,representative_record_id
Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,ENERGY & ENVIRONMENTAL SCIENCE,10.1039/d3ee03759b,2024,"The high thermopower characteristics of ionic thermoelectric cells (ITECs) significantly improve the efficiency of environmental heat and energy collection and utilization. Herein, based on the low thermal conductivity of biomass materials, we propose a novel strategy on structural design and component modulation for full component utilization and synergistic enhancement of thermodiffusion and thermogalvanic effects of single electrolytes to achieve high thermopower and output energy density. Grafting guanidinium salt ions in the chitosan gel can facilitate the selective separation of positive and negative ions of the FeCl3/2 electrolyte and enhance the thermodiffusion effect. Meanwhile, introduction of melamine in the chitosan gel enables the selective complexation/desorption of Fe3+ at cold and hot ends, which enlarges the concentration and entropy difference of redox pairs in electrolyte ions. Significant magnification of the thermocouple effect is observed, resulting in 700% increase in thermopower (-1.04 to -7.24 mV K-1). Particularly, the 90-min output energy density of the ITECs reaches 17.93 kJ m-2 at Delta T of 25 K, which is a record-breaking result among the reported quasi-solid-state ITECs. This study provides a new design pathway for development and application of high-performance ITECs. Thermodiffusion and thermogalvanic effects of single redox electrolytes are synergistically utilized and enhanced by double selective gel design of ionic thermoelectric cells, generating remarkable thermopower and energy output in a long-cycle mode.",chitosan gel grafted with guanidinium ions and melamine using FeCl3/FeCl2 electrolyte,"guanidinium enhances ion separation/thermodiffusion while melamine selectively complexes Fe3+, amplifying thermogalvanic entropy difference",iTE1,iTE,iTE1_0662,source_tables/iTE1_first1000_material_mechanism.csv,664,P0137,TG,removed_from_iTE_retained_in_TG,TG_0136
Thermoelectric energy recovery at ionic-liquid/electrode interface,JOURNAL OF CHEMICAL PHYSICS,10.1063/1.4923199,2015,"A thermally chargeable capacitor containing a binary solution of 1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)-imide in acetonitrile is electrically charged by applying a temperature gradient to two ideally polarisable electrodes. The corresponding thermoelectric coefficient is -1.7 mV/K for platinum foil electrodes and -0.3 mV/K for nanoporous carbon electrodes. Stored electrical energy is extracted by discharging the capacitor through a resistor. The measured capacitance of the electrode/ionic-liquid interface is 5 mu F for each platinum electrode while it becomes four orders of magnitude larger, approximate to 36 mF, for a single nanoporous carbon electrode. Reproducibility of the effect through repeated charging-discharging cycles under a steady-state temperature gradient demonstrates the robustness of the electrical charging process at the liquid/electrode interface. The acceleration of the charging by convective flows is also observed. This offers the possibility to convert waste-heat into electric energy without exchanging electrons between ions and electrodes, in contrast to what occurs in most thermogalvanic cells. (C) 2015 AIP Publishing LLC.",EMIM:TFSI in acetonitrile thermally chargeable capacitor with Pt or nanoporous carbon electrodes,temperature gradient charges ionic-liquid/electrode electric double layers without redox electron exchange; nanoporous carbon boosts capacitance,iTE1,iTE,iTE1_0664,source_tables/iTE1_first1000_material_mechanism.csv,666,P0304,TG,removed_from_iTE_retained_in_TG,TG_0303
Multi-material 3D printing of self-powered sensors based on ionic thermoelectric hydrogels,VIRTUAL AND PHYSICAL PROTOTYPING,10.1080/17452759.2026.2638660,2026,"The development of self-powered wearable electronics is hindered by the mismatch between rigid thermoelectric generators and deformable body contours in conventional manufacturing methods. Here, we present a 3D-printable ionic hydrogel based on a gelatin and kappa-carrageenan matrix that meets the flow, recovery, and structural requirements of multi-material direct ink writing. Our ink design consists of gelatin and kappa-carrageenan, where the latter modulates the viscoelasticity of the precursor and enables the formation of a double-network porous structure, thereby enhancing mechanical robustness and facilitating ion transport. High-fidelity 3D architectures can be printed, and an in-situ silicone encapsulation effectively suppresses dehydration, extending operational lifetime. Geometry-optimised features such as wavy structures further improve strain responsiveness by increasing ion-migration pathways. With an SO4 & sup2;(-)/SO3 & sup2;(-) redox couple, the hydrogel reaches a Seebeck coefficient of 3.96 mV K-& sup1; and maintains stable thermoelectric output during deformation. Demonstrations of temperature sensing, motion detection, and encoded signal output validate the capability of this integrated printing strategy to produce monolithic, long-lasting, and form-adaptive self-powered wearable devices.",gelatin/kappa-carrageenan ionic hydrogel with SO4 2-/SO3 2- redox couple,double-network porous hydrogel promotes ion transport; sulfate/sulfite redox couple provides stable thermoelectric output during deformation,iTE1,iTE,iTE1_0673,source_tables/iTE1_first1000_material_mechanism.csv,675,P0261,TG,removed_from_iTE_retained_in_TG,TG_0260
Role of strong electrolytes on resistivity components in a liquid themoelectronic converter,JAPANESE JOURNAL OF APPLIED PHYSICS,10.35848/1347-4065/ae2ec1,2026,"A liquid thermoelectric converter (LTE) converts environmental heat into electric power via the electrochemical Seebeck coefficient alpha. To enhance the maximum ( Wmax = alpha 2 Delta T24R , where Delta T and R are the temperature difference and device resistance, respectively) power, we should reduce R. Here, we systematically investigated the effect of a strong (supporting) electrolyte (NaClO4) on R and its components, i.e., solution (Rs), charge-transfer (Rct), and diffusion (Rdif) resistances, in aqueous and methanol (MeOH) LTEs containing mFe moles of Fe(ClO4)2 and Fe(ClO4)3. The addition of NaClO4 instead of Fe(ClO4)2/Fe(ClO4)3 decreases Rs while increasing Rct and Rdif. We proposed empirical equations for Rs, Rct, and Rdif as functions of viscosity (eta) of electrolyte and concentrations of redox electrolyte (mFe) and added NaClO4 (mNa).",aqueous or methanol liquid thermoelectric converters with Fe(ClO4)2/Fe(ClO4)3 and NaClO4 supporting electrolyte,"NaClO4 lowers solution resistance but raises charge-transfer/diffusion resistance, changing total device resistance",iTE1,iTE,iTE1_0717,source_tables/iTE1_first1000_material_mechanism.csv,719,P0254,TG,removed_from_iTE_retained_in_TG,TG_0253
Convection Effect on Resistance Components in Liquid Thermoelectric Converter,JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,10.7566/JPSJ.95.044601,2026,"Device resistance R of liquid thermoelectric convertor (LTE) is composed not only of solution resistance Rs and charge-transfer resistance Rct, but also of diffusion resistance Rdif due to mass transfer of reactants. Here, we applied the rotating disk electrode (RDE) method to investigate the effect of convective mass transfer on Rs, Rct, and Rdif. We found that Rdif decreases rapidly as the angular velocity w increased, while Rs and Rct were independent on w. This is basically because the convective mass transfer complements the diffusive mass transfer. Observed w dependence of Rdif is quantitatively reproduced by incorporating w dependence of the diffusion layer thickness S.",liquid thermoelectric converter with redox electrolyte under rotating disk convection,convective mass transfer decreases diffusion resistance while solution and charge-transfer resistances remain largely unchanged,iTE1,iTE,iTE1_0766,source_tables/iTE1_first1000_material_mechanism.csv,768,P0253,TG,removed_from_iTE_retained_in_TG,TG_0252
Exploiting low-grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes,ELECTROCHIMICA ACTA,10.1016/j.electacta.2021.139640,2022,"Low-grade thermal energy harvesting presents great challenges to traditional thermoelectric systems based on the Seebeck effect, the thermogalvanic effect, and the Soret effect due to fixed temperature gradient and low voltage output. In this study, we report an ionic thermoelectric system, essentially a su-percapacitor (SC) containing an ionic liquid (IL) electrolyte and activated carbon electrodes, which works on the thermocapacitive effect and does not require any fixed temperature gradient, rather it works in a homogeneously changing temperature. A systematic investigation is carried out on SCs containing two different ILs, 1-Ethyl-3-methylimidazolium bis (trifluoromethylsulfonyl), EMIm TFSI, and 1-Ethyl-3-methylimidazolium acetate, EMIm OAc. A high voltage output of 176 mV is achieved for EMIm TFSI con-taining SC by exposing just to 60 degrees C environment. Moreover, a large voltage of 502 mV is recovered from the SC upon subjecting to heat after one electrical charge/discharge cycle. A system containing two SCs in series demonstrates a significant voltage of 947 mV. The observed performance difference between the two ILs is rationalized in terms of the extent of asymmetry in the interfaces of the electrical double layer that essentially originates from different diffusivity of individual ions. The mechanism can be applied to a plethora of ILs to exploit low-grade heat to store electricity without a fixed temperature gradient, opening up the possibility to merge different scientific communities and enrich this rising research field.(c) 2021 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license ( http://creativecommons.org/licenses/by/4.0/ )",supercapacitor with EMIM TFSI or EMIM OAc ionic liquid electrolyte and activated carbon electrodes,thermocapacitive effect and asymmetric electric double layers harvest homogeneous temperature changes without fixed gradient,iTE1,iTE,iTE1_0767,source_tables/iTE1_first1000_material_mechanism.csv,769,P0220,TG,removed_from_iTE_retained_in_TG,TG_0219
Thermoelectricity and Thermodiffusion in Magnetic Nanofluids: Entropic Analysis,ENTROPY,10.3390/e20060405,2018,"An analytical model describing the thermoelectric potential production in magnetic nanofluids (dispersions of magnetic and charged colloidal particles in liquid media) is presented. The two major entropy sources, the thermogalvanic and thermodiffusion processes are considered. The thermodiffusion term is described in terms of three physical parameters; the diffusion coefficient, the Eastman entropy of transfer and the electrophoretic charge number of colloidal particles, which all depend on the particle concentration and the applied magnetic field strength and direction. The results are combined with well-known formulation of thermoelectric potential in thermogalvanic cells and compared to the recent observation of Seebeck coefficient enhancement/diminution in magnetic nanofluids in polar media.",magnetic nanofluids with charged magnetic colloids,"thermogalvanic and thermodiffusion entropy terms, particle charge, and magnetic field control thermoelectric potential",iTE1,iTE,iTE1_0772,source_tables/iTE1_first1000_material_mechanism.csv,774,P0224,TG,removed_from_iTE_retained_in_TG,TG_0223
High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,ACS APPLIED POLYMER MATERIALS,10.1021/acsapm.5c02573,2025,"Energy is fundamental to human survival and development and also serves as a crucial driving force for sustainable economic growth. Due to the limited efficiency of energy conversion, electronic devices operating at high loads generate substantial amounts of low-grade waste heat. Recycling and reusing of this waste heat can lead to significant energy savings. The present thermoelectric materials typically exhibit low thermopower (or Seebeck coefficient), making it challenging to efficiently recover low-grade waste heat. This study rapidly fabricated polyacrylamide hydrogels via aqueous polymerization and then introduced the Fe(CN)6 3-/4- redox couple and guanidine hydrochloride through solvent exchange to produce the thermogalvanic ionic hydrogel (TGIH). Subsequently, the water retention and mechanical properties of TGIH were enhanced by introducing the natural moisturizing factor sodium pyrrolidone carboxylate. The TGIH exhibited a high Seebeck coefficient of 5.49 mV/K, a high specific power density of 1213.29 mu W/m2K2, a high water retention rate of 62.7%, a great tensile fracture rate of 523.65%, and a toughness of 0.167 MJ/m3. In addition, an application case is carried on using smartphones; this work demonstrated the TGIH's capability to efficiently dissipate heat from electronic devices while simultaneously recovering low-grade waste heat. The TGIH can promote the recovery and utilization of low-grade thermal energy and holds significant application potential in sustainable wearable electronics.","polyacrylamide hydrogel with Fe(CN)6 3-/4-, guanidine hydrochloride, and sodium pyrrolidone carboxylate",thermogalvanic Fe(CN)6 redox chemistry gives high Seebeck coefficient while additives improve mechanics and water retention,iTE1,iTE,iTE1_0804,source_tables/iTE1_first1000_material_mechanism.csv,806,P0023,TG,removed_from_iTE_retained_in_TG,TG_0022
Antisolvent engineering enhanced high-entropy liquid flow thermocells with giant power densities for low-grade heat harvesting,ENERGY & ENVIRONMENTAL SCIENCE,10.1039/d5ee04880j,2026,"Liquid-flow ionic thermocells (LiTCs) with high thermoelectric performance are promising candidates for low-grade waste heat harvesting. However, they are significantly hindered by the low normalized maximum power density (P-max/Delta T-2) due to the limited solvation entropy increase of redox ions. Herein, a cost-effective and facile strategy for enhancing the solvation entropy increase of redox ions is proposed through antisolvent engineering, which significantly improved the ionic thermoelectric performance of LiTCs. An antisolvent (ethanol) of redox ions was introduced into the equimolar aqueous solutions of reductant and oxidant (K4Fe(CN)(6)/K3Fe(CN)(6)) flowed separately within the Y-shaped channel of LiTCs. The presence of the antisolvent would induce the agglomeration of Fe(CN)(6)(4-) ions due to the competitive effect of antisolvent molecules with low polarity parameters, thereby reducing the interfacial free energy with water molecules and increasing the disorder within its solvation shell. This process would enhance the solvation entropy increase of redox ions through the intercalation of an ethanol molecule into the first solvation shell of Fe(CN)(6)(4-) at certain ethanol content, thus significantly promoting the thermogalvanic effect. As a result, antisolvent engineering can achieve the giant ionic thermopower of -58.8 mV K-1 and P-max/Delta T-2 of 64.5 mW m(-2) K-2, which is ca. 100 times that of conventional ionic thermocells. Consequently, the Carnot-relative efficiency had the highest value of 11.8% until now, and significantly exceeded the predicted commercialization threshold (similar to 5%). The high-entropy LiTCs with competitive cost-performance metric (1.01 $ W-1) and low temperature resistance (<-10 degrees C) would have enormous potential for commercial application.",aqueous K4Fe(CN)6/K3Fe(CN)6 liquid-flow ionic thermocell with ethanol antisolvent,"ethanol antisolvent alters Fe(CN)6 4- solvation shell and entropy, strongly enhancing thermogalvanic ionic thermopower",iTE1,iTE,iTE1_0837,source_tables/iTE1_first1000_material_mechanism.csv,839,P0251,TG,removed_from_iTE_retained_in_TG,TG_0250
3D Hierarchical Electrodes Boosting Ultrahigh Power Output for Gelatin-KCl-FeCN4-/3- Ionic Thermoelectric Cells,ADVANCED ENERGY MATERIALS,10.1002/aenm.202103666,2022,"Ionic thermoelectric (i-TE) cells, using ions as energy carriers, have the advantage of achieving a high voltage of 1-5 V at approximately ambient temperature, showing a promise as a technology for powering Internet-of-Things (IoT) sensors. However, the low output power of i-TE cells restricts their applications. Here, a 3D hierarchical structure electrode is designed to enlarge the electroactive surface area, significantly increasing the thermogalvanic reaction sites and decreasing the interface charge transfer resistance. The quasi-solid-state gelatin-KCl-FeCN4-/3- i-TE cells achieve a record instantaneous output power density (8.9 mW m(-2) K-2) and an ultrahigh 2 h output energy density (E-2h) (80 J m(-2)) under an optimal temperature range. An average E-2h value of 59.4 J m(-2) is obtained over the course of a week of operation. A wearable device consisting of 24 i-TE cells can generate a high voltage of 2.8 V and an instantaneous output power of 68 mu W by harvesting body heat. A simple and easy-to-operate electrode optimization strategy is provided here to increase the long-term output power performance of i-TE cells. This work represents a promising approach to develop reliable and green power sources for IoT sensors near room temperature.",gelatin-KCl-Fe(CN)6 4-/3- ionic thermoelectric cells with 3D hierarchical electrodes,"3D electrodes enlarge electroactive area and reduce charge-transfer resistance, boosting thermogalvanic power output",iTE1,iTE,iTE1_0851,source_tables/iTE1_first1000_material_mechanism.csv,853,P0169,TG,removed_from_iTE_retained_in_TG,TG_0168
Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2024.150816,2024,"The human hand provides rich sensory information for proper interaction with the environment. However, designing passive hand -sensing arrays with robust mechanical properties, high conductivity, ease of integration and reliability remains a long-term challenge. Here, we develop a robust dynamic crystalline ion -injected thermoelectric gel (DCI-TEG) via a simple solvent -exchange salt -out strategy. The resultant DCI-TEG exhibits high tensile strength (3.8 MPa), toughness (7.5 MJ m -3 ), and ionic conductivity of 1.84 S m -1 . Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output. By coupling thermogalvanic and piezoresistive effects, the DCI-TEG permits self -powered timely sensing of pressure using current signals. By implanting ionic thermoelectric module arrays on a glove, a wearable pressure sensing route is demonstrated with the merits of self -power, low cost and simple preparation. With the help of deep learning algorithms, a selfpowered recognition for sign language and objects is realized in wearable/portable scenarios by active highaccuracy pressure detection. This work gives people a new direction toward barrier -free passive communication and human - machine interaction in the next -generation artificial intelligence.",dynamic crystalline ion-injected thermoelectric hydrogel,thermogalvanic effect and piezoresistive effect couple to provide self-powered pressure sensing in robust ionic gel,iTE1,iTE,iTE1_0857,source_tables/iTE1_first1000_material_mechanism.csv,859,P0019,TG,removed_from_iTE_retained_in_TG,TG_0018
Zinc-iodine thermal charging cell engineered by cost-efficient electrolytes for low-grade heat harvesting,JOURNAL OF POWER SOURCES,10.1016/j.jpowsour.2024.234325,2024,"Emerging ionic thermoelectric devices (i-TEs), with synergistic effect of thermogalvanic effect and thermo-diffusion effect, are promising devices to achieve heat to electricity. We report a zinc-iodine thermal charging cell (ZITCC) enabled by cost-efficient electrolytes for low-grade heat harvesting. Efficient functional electrolytes are obtained through optimization from Zn(NO3)(2), Zn(CH3COO)(2) and ZnSO4 electrolytes and introducing redox species (I-/I-3(-)). The ZITCCs generate electricity through thermo-diffusion effect of electrolyte ions, as well as the thermogalvanic effect involving I- to I-3(-) conversion and Zn plating, enabling efficient heat-to-electricity conversion. The Seebeck coefficient of 19.2 mV K-1, a high output voltage of similar to 1 V and superior normalized maximum power density of 0.44 mW m(-2) K-2 is obtained at temperature difference of 15 K. Meanwhile, ZITCCs have good energy storage capacity. In addition, a quasi-solid-state device delivers an 8.5 mW m(-2) output power and impressive performance at temperature difference of 8 K can be acquired. This work provides a good strategy for the design of high-Seebeck coefficient, cost-effective i-TEs for low-grade heat harvesting.",zinc-iodine thermal charging cell with Zn(NO3)2/Zn(CH3COO)2/ZnSO4 and I-/I3- redox species,thermodiffusion of electrolyte ions plus thermogalvanic I-/I3- conversion and Zn plating generate heat-to-electricity output,iTE1,iTE,iTE1_0877,source_tables/iTE1_first1000_material_mechanism.csv,879,P0196,TG,removed_from_iTE_retained_in_TG,TG_0195
Liquid-flow thermocells with high hybrid entropy for low-grade heat harvesting,NANO ENERGY,10.1016/j.nanoen.2024.109992,2024,"Liquid-state thermocells (LITCs) have a promising for efficient low-grade waste heat harvesting. However, its practical application is restricted by low ionic thermopower and normalized maximum power density ( P max / Delta T 2 ) due to the limits of ionic reaction and transport processes. Here, we demonstrate a liquid-flow thermocell (LFTC) with giant thermoelectric performance by inducing hybrid entropy increasing. The LFTCs consists of a Y-shaped microchannel and the flowing equimolar oxidant/reductant electrolyte injected separately from the Y-shaped inlet, respectively. During mixing of oxidant and reductant in microchannel, it can induce the interaction of redox ions and surrounding solvation, and thus increase its entropy difference of solvation structure, synergistically enhancing the thermogalvanic effect and mass transfer of redox ions. This can effectively break through the limits of ionic reaction/transport dynamics and thermodynamics processes, and reach a giant ionic thermopower of-21.5 mV K-1 , which is 13 times larger than that of pristine LITCs. The high hybrid entropy change can boost the P max / Delta T 2 of LFTCs into the highest value of 16.5 mW m- 2 K-2 until now, much higher than the previous records of LITCs. LFTCs with cost effectiveness have a great potential to realize efficient heat-toelectricity conversion.",Y-channel liquid-flow thermocell with equimolar oxidant/reductant electrolytes,"mixing flow increases redox-ion solvation entropy and mass transfer, synergistically enhancing thermogalvanic effect",iTE1,iTE,iTE1_0895,source_tables/iTE1_first1000_material_mechanism.csv,897,P0162,TG,removed_from_iTE_retained_in_TG,TG_0161
Significantly enhanced properties of micro-ionic thermocells through the microstructure interfacial effect,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d4ta03996c,2024,"Liquid-state ionic thermocells (LITCs) can effectively convert low-grade waste heat to electricity. However, the larger structural dimensions and lower power density of LITCs restrict their large-scale practical application in scenarios with limited operating space such as photovoltaics, automotive applications, data centers, etc. In the present work, we demonstrate a micro-ionic thermocell (MiTC) with micrometer-scale structural dimensions prepared by soft lithography, which can synergistically promote the entropy change of the solvation structure and mass transfer of redox ions, and thus ionic thermoelectric properties. The effects of electrolyte concentration, scale effect and interface charge of the microstructure, and electrode gap on the ionic thermopower and Pmax/Delta T2 of MiTCs were comprehensively investigated to reveal the enhancement mechanisms using UV-vis/FTIR/in situ Raman analyses. The interfacial effect of microstructure-electrolyte solution can boost ionic reactions and transport processes at the microscale. It can increase the ionic thermopower and conductivity of 0.4 mol L-1 Fe(CN)64-/Fe(CN)63- electrolytes in MiTCs from -1.4 mV K-1 and 147.6 mS cm-1 to -2.5 mV K-1 and 254.2 mS cm-1, thus reaching a high Pmax/Delta T2 value of 15.4 mW m-2 K-2 at a 2 mm electrode gap and 50 mu m microstructure width, respectively, showing a significant enhancement. Combined with microfabrication technology, MiTCs can facilely achieve large-scale integrated stacking and output considerable electricity within limited structural dimensions to meet the practical requirements for the integration and miniaturization of low-grade heat harvesting. A micro-ionic thermocell with a high Pmax/Delta T2 (15.4 mW m-2 K-2) was reported through the interfacial effect of microstructure-electrolyte solution at the microscale.",micro-ionic thermocell with Fe(CN)6 4-/3- electrolyte and soft-lithography microstructures,"microstructure-electrolyte interfacial effects enhance redox-ion solvation entropy and mass transfer, raising ionic thermopower and conductivity",iTE1,iTE,iTE1_0922,source_tables/iTE1_first1000_material_mechanism.csv,924,P0275,TG,removed_from_iTE_retained_in_TG,TG_0274
Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,ACS APPLIED ENERGY MATERIALS,10.1021/acsaem.6c01130,2026,"The Seebeck coefficients of thermogalvanic (ionic thermoelectric) materials are several orders of magnitude greater than those of conventional thermoelectrics, making them highly suitable for sensing applications besides power generation. In this study, a ferri-/ferrocyanide thermogalvanic gel with a Seebeck coefficient of 1.3 mV K-1 was used to fabricate a heat flux sensor with fivefold higher sensitivity than the commercial FHF05 sensor. This device detected a human finger at distances of up to 8 cm using thermal radiation, a capability particularly relevant to human safety in collaborative robot environments. Coupled radiation-natural convection simulations in COMSOL closely matched experimental data, validating the proposed sensing mechanism. The high Seebeck coefficient of the material enabled sensitive heat-flux transduction, extending its functionality beyond single-point detection to spatially resolved thermal mapping. Capitalizing on this advantage, 16 gels were integrated into a compact 3 cm-scale 4 & times; 4 sensor array. Upon human finger contact, the array generated a heat flux map capturing both the intensity and spatial distribution of the thermal input. Overall, this capability allows the identification of nonuniform heat flux and enhances radiation detection.",ferri-/ferrocyanide thermogalvanic gel sensor array with Fe(CN)6 3-/4- redox couple,high thermogalvanic Seebeck coefficient enables sensitive heat-flux and radiative transduction for spatial thermal mapping,iTE1,iTE,iTE1_0936,source_tables/iTE1_first1000_material_mechanism.csv,938,P0079,TG,removed_from_iTE_retained_in_TG,TG_0078
Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,NANO ENERGY,10.1016/j.nanoen.2025.111189,2025,"Thermogalvanic cells (TGCs) have emerged as a promising technology for harvesting low-grade thermal energy, but their widespread application has been hindered by limited conversion efficiencies. A critical factor in enhancing TGC performance lies in establishing substantial ion concentration gradients, which remains challenging due to the inherent tendency of ion pairing. Here, we present a double-layer thermogalvanic cell (DTGC) architecture that spatially segregates redox pairs into two distinct gel layers, enabling unprecedented control over ion concentration gradients. This innovative design yields a single p-type gelatin-K-4[Fe(CN)(6)]/K-3[Fe(CN)(6)] DTGC unit with remarkable performance metrics of an open-circuit voltage of 220 mV, a power density of 1.73 mW m(-2) K-2, and a relative Carnot efficiency (eta(r)) of 1.34 % at Delta T = 10 K, representing a tenfold improvement over conventional TGCs. Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays. This work establishes a new paradigm for efficient low-grade thermal energy conversion, offering a scalable and practical solution for waste heat recovery applications.",double-layer thermogalvanic cell with gelatin-K4[Fe(CN)6]/K3[Fe(CN)6] p-type gel layers and alternating p/n DTGC arrays,"spatial segregation of redox pairs creates large ion concentration gradients, reducing ion pairing and increasing thermogalvanic voltage, power density, and efficiency",iTE1,iTE,iTE1_0941,source_tables/iTE1_first1000_material_mechanism.csv,943,P0021,TG,removed_from_iTE_retained_in_TG,TG_0020
Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,ADVANCED MATERIALS,10.1002/adma.202300696,2023,"Thermocells can continuously convert heat into electricity, and they are widely used to power wearable electronic devices. However, they have a risk of leakage and poor mechanical properties. Although quasi-solid ionic thermocells can overcome the issue of electrolyte leakage, the trade-off between their excellent mechanical properties and high thermopower remains a major challenge. In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1. The SPTC exhibits a high stretchability of 1300%, ultrahigh toughness of 163.4 MJ m(-3), and high specific output power density of 1969 & mu;W m(-2) K-2. These comprehensive properties are superior to those of previously reported quasi-solid stretchable thermogalvanic thermocells. The use of SPTC-based systems in wearable devices for energy-autonomous strain sensors and health monitoring is demonstrated. This can facilitate the rapid implementation of sustainable wearable electronics in the Internet of Things era.",stretching-induced-crystallized polyvinyl alcohol quasi-solid thermogalvanic thermocell (SPTC),PVA crystallization strengthens the gel while thermogalvanic ionic redox conversion produces high thermopower and wearable self-powered sensing,iTE1,iTE,iTE1_0952,source_tables/iTE1_first1000_material_mechanism.csv,954,P0015,TG,removed_from_iTE_retained_in_TG,TG_0014
Efficient Photo-Thermo-Electric Conversion Using Polyoxovanadate in Ionic Liquid for Low-Grade Heat Utilization,CHEMSUSCHEM,10.1002/cssc.202101532,2021,"A large fraction of energy, including solar energy, is dissipated into ambient atmosphere as low-grade waste heat. Efficient utilization of such energy is critical to address the current energy crisis and global warming issue. Herein, the efficient near-IR (NIR)-photothermal, thermoelectric, and thus photo-thermo-electric conversion of polyoxovanadate compound {[Ni(1,10-phenanthroline)(3)][V14O34Cl]Cl, NiV14} in ionic liquid was achieved. The solution displayed a NIR-photothermal efficiency of 16.04 and 23.43 % at 808 and 1064 nm, respectively. Taking advantage of the synergetic thermodiffusive and thermogalvanic effects of various ion species in NiV14 solution, an open circuit voltage of approximately 0.45 V was obtained at Delta T=70 K generated by physical heating or NIR irradiation, indicating a large Seebeck coefficient of 6.38 mV K-1 and an optimized thermal power at 1.2 W m(-2). The polyoxovanadate-ionic liquid system offers a new platform for efficiently utilizing not only low-grade thermal energy but also solar energy for electricity generation.","polyoxovanadate {[Ni(1,10-phenanthroline)3][V14O34Cl]Cl, NiV14} in ionic liquid",near-IR photothermal heating plus synergistic thermodiffusive and thermogalvanic effects of multiple ions generate high photo-thermo-electric voltage,iTE1,iTE,iTE1_0953,source_tables/iTE1_first1000_material_mechanism.csv,955,P0225,TG,removed_from_iTE_retained_in_TG,TG_0224
Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells,NATURE COMMUNICATIONS,10.1038/s41467-026-68721-9,2026,"Ionic thermoelectric (i-TE) materials have demonstrated a high thermopower in harvesting low-grade heat, emerging as superior candidates for self-powered electronics. However, coupling two i-TE effects in n-type materials is scarce, which restricts the development of high-performance systems. Herein, we uncover an overlooked thermogalvanic redox reaction between Cu2+ and Cu+ stabilized by Cl- and quantitatively track the progressive reaction process by operando characterization. In binary polyvinyl alcohol (PVA)-CuCl2 gels, an interactive i-TE coupling effect driven by ion speciation is validated, which exhibits an enhanced thermogalvanic redox as CuCl2 concentrations increase while suppressing the thermodiffusion contribution. By distinguishing and quantifying coordination species, we reveal the impact of [Cu-Cl] speciation on the i-TE effect contributions. Correspondingly, a giant thermopower of -30.6 mV K-1 and a remarkable power density of 0.6 mW m-2 K-2 are achieved, respectively, by tuning ion coordination speciation. The long-term power generation exhibits a reversible and sustainable heat-to-electricity conversion. High output voltage of 3.5 V and power of 22 & micro;W are produced in 16-cell i-TE modules when harvesting 15 K. Our findings reveal an interactive thermo-diffusion/galvanic coupling effect based on coordination chemistry, offering a potential design principle for high-performance i-TE materials.",binary PVA-CuCl2 ionic thermoelectric gels with Cu2+/Cu+ stabilized by Cl- and [Cu-Cl] coordination species,ion speciation tunes coupled thermodiffusion and thermogalvanic redox; higher CuCl2 enhances redox contribution while suppressing thermodiffusion,iTE1,iTE,iTE1_0970,source_tables/iTE1_first1000_material_mechanism.csv,972,P0144,TG,removed_from_iTE_retained_in_TG,TG_0143
