paper_id,evidence_type,raw_evidence,use_in_embedding_map,use_as_graph_node
P0423,material formulation,PVA/gelatin/glycerol/CaCl2/Na3Cit hydrogel with K3[Fe(CN)6]/K4[Fe(CN)6],True,False
P0423,mechanism statement,CaCl2 and glycerol moderate Na3Cit salting-out; hydrogen bonding plus salting-out/salting-in effects trigger room-temperature sol-gel transition and yield ionic thermoelectric sensing hydrogel,True,False
P0424,material formulation,colloidal solutions mixed with ionic electrolytes,True,False
P0424,mechanism statement,thermoelectric EMF is governed either by ionic subsystem or colloidal particles depending on ion/particle concentrations before concentration gradients form,True,False
P0425,material formulation,photo-crosslinked ionic gel electrolyte platform with ionic liquids,True,False
P0425,mechanism statement,ionic-liquid redox reactions enable in situ monitoring and stabilization of semiconductor redox/doping states for thermoelectric screening,True,False
P0426,material formulation,ionic-gated semiconductor systems,True,False
P0426,mechanism statement,"ionic gating reversibly modulates carrier concentration, Fermi level, electronic band structure, and microstructure, thereby tuning Seebeck behavior",True,False
P0427,material formulation,KH550/ethyl-acetate modified steel wool combined with EDTA-[Fe(CN)6]4-/[Fe(CN)6]3- thermogalvanic cell,True,False
P0427,mechanism statement,"electronic steel wool increases electrical conductivity while ferri/ferrocyanide redox electrolyte provides ionic thermogalvanic contribution, enhancing hybrid Seebeck coefficient",True,False
P0428,material formulation,"PVA/glycerol deep eutectic solvent eutectogels using ChCl, ChBr, or ChI",True,False
P0428,mechanism statement,"halide anion chaotropicity, DES viscosity, ion-polymer binding energy, and ion-size steric effects regulate ionic transport and thermopower",True,False
P0429,material formulation,GGBF slag-based geopolymer with alkaline solution,True,False
P0429,mechanism statement,"alkaline-solution amount, temperature, and ionic movement in geopolymer matrix control charge transport and Seebeck coefficient",True,False
P0430,material formulation,PSSH/MXene solid-state n-type ionic thermoelectric film,True,False
P0430,mechanism statement,"MXene regulates water state in hydrated PSSH, promoting proton dissociation and cold-to-hot water/hydronium flow to yield n-type thermopower",True,False
P0431,material formulation,solid-state ionic polymer ionic-thermoelectric biomimetic olfactory device,True,False
P0431,mechanism statement,giant ionic-thermoelectric effect in polymer sensing units converts gas-specific optical absorption/thermal signals into amplified voltage response,True,False
P0432,material formulation,HOEtMIM:Cl ionic liquid impregnated in porous carbon scaffold,True,False
P0432,mechanism statement,dynamic hydrogen-bond network orders cation migration through carbon channels and traps water to improve stability and power density,True,False
P0433,material formulation,ionic thermoelectric module integrated with composite phase-change material and alkaline electrolyte,True,False
P0433,mechanism statement,phase-change material buffers device temperature fluctuations; pH-enhanced electrolyte conditions improve ionic thermoelectric power density,True,False
P0434,material formulation,p(NIPAAm-co-DMC)/[Fe(CN)6]3-/4- n-type ionic thermoelectric hydrogel,True,False
P0434,mechanism statement,"above LCST, PNIPAAm copolymer contraction aggregates cationic chains and regulates ferri/ferrocyanide diffusion, reversing redox reaction and Seebeck polarity",True,False
P0435,material formulation,kraft lignin or lignosulfonate/PVA hydrogel crosslinked by epichlorohydrin with KOH electrolyte,True,False
P0435,mechanism statement,hydroxyl ions interact with PVA/lignin hydroxyl groups to support thermodiffusion; lignosulfonate sulfonic groups increase ionic conductivity,True,False
P0436,material formulation,PVA/IP6/ChCl supramolecular ionic thermoelectric gel elastomer,True,False
P0436,mechanism statement,"supramolecular hydrogen-bond network regulates proton ionization equilibrium by Le Chatelier principle, yielding high thermopower and self-healing/stretchability",True,False
P0437,material formulation,PVA/DMSO/KCl ionic hydrogel with graphite paper or copper electrodes,True,False
P0437,mechanism statement,"graphite paper adsorbs K+ through cation-pi interactions, suppressing cation thermodiffusion and enabling Cl--dominated n-type response",True,False
P0438,material formulation,PVA/PPy/GF@SDBS p-type thermoelectric hydrogel,True,False
P0438,mechanism statement,"gradient immobilization restricts anion diffusion and increases Eastman entropy of cation transport, enhancing Soret-effect thermopower",True,False
P0439,material formulation,CuCl2-treated balsa wood and DES-fibrillated/quaternized wood,True,False
P0439,mechanism statement,wood heterogeneity confines Cu2+ in hemicellulose/lignin while cellulose nanochannels guide Cl- thermodiffusion; DES quaternization expands channels and preserves cation-binding sites,True,False
P0440,material formulation,Ca2+-crosslinked ald-alginate-gelatin imine-based hydrogel (CaAG),True,False
P0440,mechanism statement,"thermosensitive adhesion improves material-heat source and material-electrode interfacial matching, boosting body-heat harvesting",True,False
P0441,material formulation,sericin-containing ionic thermoelectric gel (SHED) with ion-polymer matrix,True,False
P0441,mechanism statement,"sericin creates hydrogen-bond, ion-dipole, and dipole-dipole network that restricts phosphate anion migration and increases charge-carrier thermal-diffusion entropy difference",True,False
P0442,material formulation,Fe2+/Fe3+-doped PVDF-HFP/[EMIM][DCA] ionogel (PHED-Fe),True,False
P0442,mechanism statement,"redox ions enable continuous discharge, weaken host-ion Coulomb interactions, and selectively inhibit DCA- diffusion to enlarge cation/anion concentration gradient",True,False
P0443,material formulation,PVA hydrogel with one-sided PDDAC polyelectrolyte asymmetric configuration,True,False
P0443,mechanism statement,"salinity-gradient energy from nonthermal diffusion couples with ionic thermoelectricity, adding voltage contribution and increasing energy density",True,False
P0444,material formulation,nanofibrillated cellulose/polystyrene sulfonate sodium thermoelectric paper,True,False
P0444,mechanism statement,"NFC reinforces PSSNa membrane, combining flexibility/robustness with ionic conductivity and high ionic Seebeck coefficient",True,False
P0445,material formulation,PAA/PEO/sodium dihydrogen phosphate ionic hydrogel,True,False
P0445,mechanism statement,hydrogen-bonded PAA-PEO-SDP network provides stretchability; phosphate salt improves flame retardancy and ionic thermoelectric fire-warning response,True,False
P0446,material formulation,thermosensitive ionic hydrogel with tunable LCST for thermotropic smart windows,True,False
P0446,mechanism statement,temperature-sensitive phase transition sharply increases Seebeck coefficient and enables simultaneous smart-window switching and thermoelectric generation,True,False
P0447,material formulation,polymeric electrolyte ionic thermoelectric supercapacitor,True,False
P0447,mechanism statement,Soret-effect ion thermodiffusion creates thermovoltage; ITESC stores charge under thermal gradient and releases it after gradient removal,True,False
P0448,material formulation,carbon nanotube/polylactic acid nanofibrous fabric integrated with gelatin ionogel,True,False
P0448,mechanism statement,hybrid ionic/electronic interface increases capacitive effect between ionogel and conductive nanofabric for continuous power under constant gradient,True,False
P0449,material formulation,vapor-phase-polymerized PEDOT-Tos film treated with EMIM BF4,True,False
P0449,mechanism statement,"ionic-liquid post-treatment changes PEDOT doping level and morphology, increasing power factor",True,False
P0450,material formulation,PAA/PEO/NaCl physically crosslinked ionic hydrogel,True,False
P0450,mechanism statement,"reversible hydrogen bonding and chain entanglement provide resilience, adhesion, and self-healing while NaCl supplies ionic thermoelectric response",True,False
P0451,material formulation,PAAM/PDA/CNT-COOH/PANI mixed ionic-electronic hydrogel,True,False
P0451,mechanism statement,CNT-COOH carboxyl groups interact with sodium ions to enhance ionic conductivity and Seebeck coefficient; PANI improves electronic transport,True,False
P0452,material formulation,doped PDPP-EDOT conjugated polymer with DPPNMe3Br ionic additive,True,False
P0452,mechanism statement,"small amount of ionic additive increases energetic disorder, boosting Seebeck coefficient while retaining high electrical conductivity",True,False
P0453,material formulation,CNT electrodes electrochemically doped with organic-superbase/TFSI ionic liquids,True,False
P0453,mechanism statement,ionic-liquid electrochemical doping modulates CNT carrier polarity/concentration and stabilizes n- and p-doped states through electric double layers,True,False
P0454,material formulation,PEDOT:PSS film treated by femtosecond laser irradiation and EMIM:DCA ionic liquid,True,False
P0454,mechanism statement,laser removes insulating PSS from surface; ionic-liquid treatment decouples PEDOT/PSS and adjusts PEDOT doping through ion exchange,True,False
P0455,material formulation,alpha-Ag2S semiconductor and beta-Ag2S fast ionic conductor under pressure/temperature,True,False
P0455,mechanism statement,"pressure improves carrier concentration in alpha-Ag2S but hinders ion transfer in beta-Ag2S, oppositely tuning conductivity and Seebeck coefficient",True,False
P0456,material formulation,"PC/SWCNT or PEEK/SWCNT composites with THTDPCl, BMIMPF6, or OMIMCl ionic liquids",True,False
P0456,mechanism statement,phosphonium ionic liquid THTDPCl induces p-to-n thermoelectric switching; ionic liquids alter charge-carrier availability in polymer/CNT composites,True,False
P0457,material formulation,PVDF-HFP/EMIM:OTf/fluorosurfactant ionic-liquid thermoelectric composite,True,False
P0457,mechanism statement,"dynamic ion-dipole interactions among ionic liquid, PVDF-HFP, and fluorosurfactant provide self-healing/stretchability and high ionic Seebeck coefficient",True,False
P0458,material formulation,ionic liquid/gelator ionogels; review,True,False
P0458,mechanism statement,"Soret-effect cation/anion accumulation under temperature gradient generates thermovoltage; ionogel conductivity, thermopower, and thermal conductivity govern conversion",True,False
P0459,material formulation,polythiophene film electrochemically treated in EMIM BF4 ionic liquid,True,False
P0459,mechanism statement,ionic-liquid electrochemical treatment modulates polythiophene doping state and improves electrical conductivity/power factor,True,False
P0460,material formulation,reduced graphene oxide/cement mixed ionic-electronic composite,True,False
P0460,mechanism statement,"after leaching, metal cations in pore solution and hole carriers from rGO cooperate to create mixed ionic-electronic thermoelectric behavior",True,False
P0461,material formulation,poloxamer/LiCl and related ionic sol-gel phase-transition materials,True,False
P0461,mechanism statement,"sol-gel phase transition changes viscosity and ionic transport, causing large thermopower and ionic figure-of-merit variation",True,False
P0462,material formulation,PEDOT:PSS films with XMIM BF4 ionic liquids of varied cation alkyl-chain length,True,False
P0462,mechanism statement,cation size in ionic liquids tunes PEDOT:PSS doping/structure; small cations enhance Seebeck coefficient and large cations improve conductivity,True,False
P0463,material formulation,PVA scaffold infiltrated with PAA/sodium acetate electrolyte hierarchical hydrogel,True,False
P0463,mechanism statement,crystalline PVA domains act as ionic blocking layers; confined microdomains generate local thermovoltages that add in series,True,False
P0464,material formulation,PVA/PEDOT:PSS/ionic liquid/zinc bromide n-type ionogel,True,False
P0464,mechanism statement,"Zn2+ coordinates hydroxyl/sulfonic groups and preferential ion association forms anion-rich clusters, promoting anion transport and Eastman entropy change",True,False
P0465,material formulation,"kappa-carrageenan/gelatin hydrogel with Mg3(Sb,Bi)2 particles and carbon nanotubes",True,False
P0465,mechanism statement,"particles and CNTs form percolated ionic-electronic hybrid network, coupling thermoelectric conversion with pressure sensing and bioactivity",True,False
P0466,material formulation,PEDOT:PSS films exchanged with Li:nFSI ionic liquids,True,False
P0466,mechanism statement,"nFSI- counterion exchange tunes PEDOT pi-pi stacking, constructs bipolaron network, and shifts transport from hopping to band-like behavior",True,False
P0467,material formulation,low-concentration EMIM:DCA/DMSO and other ionic-liquid/solvent mixtures,True,False
P0467,mechanism statement,"selective solvation by polar organic solvent lowers Coulomb interaction/viscosity, increasing ion mobility and cation-anion mobility difference",True,False
P0468,material formulation,polypyrrole composites with imidazolium ionic liquids including EMImFeCl4,True,False
P0468,mechanism statement,ionic-liquid anion structure controls PPy thermoelectric properties; EMImFeCl4 increases Seebeck coefficient and reduces thermal conductivity,True,False
P0469,material formulation,fluorine rubber/SWCNT thermoelectric composite and fluorine rubber/silver nanowire conductive elastomer with ionic liquid,True,False
P0469,mechanism statement,"suitable ionic liquid enhances flexible thermoelectric composite and conductive elastomer performance, improving interfacial compatibility in stretchable TEG",True,False
P0470,material formulation,SWCNT organic electrochemical transistors gated by EMIM/TFSI or BMIM/TFSI ionic liquids,True,False
P0470,mechanism statement,"imidazolium alkyl-chain length alters electric double layer strength and carrier transport, tuning p/n thermoelectric response",True,False
P0471,material formulation,PEG-coated NiO nanoparticle/ionic-liquid nanocomposite,True,False
P0471,mechanism statement,"PEG coating and ionic-liquid-derived NiO nanoparticle interfaces enhance charge-carrier mobility, electrical conductivity, and thermoelectric performance",True,False
P0472,material formulation,PEDOT:PSS freestanding films modified with ionic liquid,True,False
P0472,mechanism statement,"ionic-liquid content changes film composition, higher-order structure, electronic state, and carrier density, thereby tuning thermoelectric conversion",True,False
P0473,material formulation,PEDOT:PSS/PVA/SWCNT polymer thermoelectric composite films assisted by ionic liquid,True,False
P0473,mechanism statement,ionic-liquid-assisted processing enables simultaneous high thermoelectric performance and mechanical robustness in flexible polymer composites,True,False
P0474,material formulation,methacrylate-based polymer electrolyte/lithium salt with multi-walled carbon nanotubes,True,False
P0474,mechanism statement,"lithium concentration and carbon nanotubes tune ionic/electronic conductivities and Seebeck coefficient, producing VFT/Arrhenius transition and polarity change",True,False
P0475,material formulation,gelatin-based ionic thermoelectric gel regulated by SiO2 nanoparticles,True,False
P0475,mechanism statement,SiO2 nanoparticle loading optimizes gelatin iTEG properties and enables scalable flexible body-heat-harvesting generators,True,False
P0476,material formulation,electrospun Nafion proton-conductive thermoelectric cell,True,False
P0476,mechanism statement,unidirectional orientation of ionic conductivity in electrospun Nafion improves proton-conductive thermoelectric-cell efficiency,True,False
P0477,material formulation,PANI/PAAMPSA/phytic acid ternary ionic thermoelectric hybrid,True,False
P0477,mechanism statement,ternary polymer complex provides large ionic Seebeck effect while dynamic interactions enable intrinsic stretchability and self-healing,True,False
P0478,material formulation,PEDOT:PSS films post-treated with H2SO4 and EMIM:TFSI or Li:TFSI ionic liquids,True,False
P0478,mechanism statement,ionic liquid facilitates PEDOT molecular-chain rearrangement and cation-dependent tuning of Seebeck coefficient and conductivity,True,False
P0479,material formulation,freestanding PEDOT nanowire film post-treated with EMIM:DCA,True,False
P0479,mechanism statement,"EMIM:DCA induces dedoping, Soret effect, phase segregation, and compact PEDOT stacking, increasing Seebeck coefficient and conductivity",True,False
P0480,material formulation,expanded graphite/carbon fiber cement composite with BMIMBr ionic liquid,True,False
P0480,mechanism statement,"BMIMBr anions and cations migrate/rearrange at composite interfaces, increasing Seebeck coefficient while maintaining conductivity",True,False
P0481,material formulation,alkylmethylimidazolium chloride ionic hydrogel with PEDOT:PSS electrodes,True,False
P0481,mechanism statement,PEDOT:PSS/Rmim:Cl ion exchange and high Rmim:PSS affinity induce negative interfacial polarization and convert p-type hydrogel response to n-type,True,False
P0482,material formulation,"PEDOT:PSS films post-treated with EMIM:DCA, AMIM:DCA, or EMIM:TCB ionic liquids",True,False
P0482,mechanism statement,"ionic liquids modify PEDOT doping level and rearrange PEDOT domains, jointly increasing Seebeck coefficient and conductivity",True,False
P0483,material formulation,thermoelectric refrigeration system with thermoelectric chips and ionic wind fans,True,False
P0483,mechanism statement,ionic wind fan provides ultra-quiet air movement/cooling assistance; performance depends on matching thermoelectric-chip and ionic-wind operating voltages,True,False
P0484,material formulation,P3HT-b-POEM/LiTFSI block-copolymer film vapor-doped with F4TCNQ,True,False
P0484,mechanism statement,LiTFSI interactions with POEM improve P3HT ordering and induce oxidation doping; F4TCNQ vapor doping further increases conductivity and power factor,True,False
P0485,material formulation,ionic-liquid thermoelectric paper chip with gold electrodes,True,False
P0485,mechanism statement,self-assembly/disassembly of ionic liquids on gold electrodes gives p- and n-type thermoelectric units connected in series for fire alarm voltage,True,False
P0486,material formulation,Sm-doped n-type Bi2Te2.7Se0.3 textured compounds,True,False
P0486,mechanism statement,"Sm doping changes grain structure and ionic bonding fraction, shifting intrinsic-conductivity-related thermoelectric anomalies to higher temperature",True,False
P0487,material formulation,PEDOT:PSS and PANI-PAAMPSA films solvent-annealed with dichloroacetic acid,True,False
P0487,mechanism statement,DCA-induced structural reorganization increases electronic Seebeck contribution relative to ionic contribution and can switch PANI-PAAMPSA polarity,True,False
P0488,material formulation,PEDOT:PSS post-treated with cobalt-based ionic liquid [CoCl2.6H2O]:[ChCl],True,False
P0488,mechanism statement,"cobalt-containing ionic liquid removes PSS, orders PEDOT structure, changes conformation, and ion-exchange sharpens density of states near Fermi level",True,False
P0489,material formulation,"PEDOT:PSS films treated with formamide, sodium formaldehyde sulfoxylate, and imidazolium ionic liquids",True,False
P0489,mechanism statement,formamide removes insulating PSS; ionic-liquid treatment dedopes PEDOT and bulky imidazolium interactions improve humidity/thermal stability,True,False
P0490,material formulation,LiTFSI-modulated PEDOT:PSS flexible films,True,False
P0490,mechanism statement,"LiTFSI ionic liquid increases PEDOT ordering through weak chemical bonding, improving conductivity, Seebeck coefficient, bendability, and strain tolerance",True,False
P0491,material formulation,mayenite Ca12Al14O33/nano-carbon black composites,True,False
P0491,mechanism statement,"oxygen-ion vacancies in the mayenite cage framework produce positive ionic conduction, enhancing Seebeck coefficient/conductivity and lowering thermal conductivity",True,False
P0492,material formulation,VO2 device under ionic-liquid gating,True,False
P0492,mechanism statement,"ionic-liquid gating induces oxygen defect states, altering electronic structure and Seebeck behavior below the metal-insulator transition",True,False
P0493,material formulation,cement/PVA multilayer composite with aligned cement and PVA hydrogel layers,True,False
P0493,mechanism statement,"PVA layers provide OH- diffusion highways; cement-PVA interfaces selectively immobilize Ca2+ more strongly than OH-, amplifying ion diffusion-rate disparity",True,False
P0494,material formulation,PVDF-HFP/PEO all-solid-state organic ionic gel electrolyte with onion-epidermal-cell-like structure,True,False
P0494,mechanism statement,Soret effect synergizes with polymer thermal expansion to enhance ZT and ionic thermoelectric paster performance,True,False
P0495,material formulation,reduced-graphene-oxide ionogel mixed ion/electron thermoelectric generator,True,False
P0495,mechanism statement,ions provide Soret thermopower while rGO sheets enable hole tunneling/electronic conduction for continuous output under steady temperature gradients,True,False
P0496,material formulation,PVA hydrogel dual-doped with H+ and alkali metal cations including NaCl,True,False
P0496,mechanism statement,"H+ and alkali cations interact with PVA hydroxyl groups and partially disrupt hydrogen bonding, improving ion diffusion and thermoelectric performance",True,False
P0497,material formulation,cellulose ionic-liquid ionogel (CIG) formed by water-absorbing induced gelation,True,False
P0497,mechanism statement,"water-content regulation hydrates BMIM cations and swells cellulose ionogel, promoting ion diffusion and cation/anion mobility difference",True,False
P0498,material formulation,anhydrous 1-methyl-3-alkylimidazolium halide ionic liquids,True,False
P0498,mechanism statement,"alkyl-chain length/counterion affect heat expansion, steric repulsion, density, and intermolecular association, which govern liquid Seebeck coefficient",True,False
P0499,material formulation,"REMnO3 manganites with RE = Dy, Gd, Eu, Sm",True,False
P0499,mechanism statement,"rare-earth ionic radius changes unit-cell volume, particle size, and transport; high-temperature thermopower follows small-polaron hopping",True,False
P0500,material formulation,alkylammonium- and choline-based ionic liquids blended with redox couples,True,False
P0500,mechanism statement,redox couple enables carrier exchange for current extraction; electrode/ionic-liquid interactions and redox concentration govern power output,True,False
P0501,material formulation,PEO/LiTFSI/EMIMCl self-healing ionogel,True,False
P0501,mechanism statement,"metal-halogen bonding tunes solvation dominance and phase separation; Cl- weakens Li-ether oxygen coordination, widening cation/anion migration difference",True,False
P0502,material formulation,graphene-oxide-modified acrylamide ionogel film,True,False
P0502,mechanism statement,"uniformly dispersed GO improves ionogel structure, thermoelectric power factor, flexibility, stretchability, and self-adhesion",True,False
P0503,material formulation,PVDF-HFP/ionic-liquid ionogel with piezoelectric and ionic thermoelectric functions,True,False
P0503,mechanism statement,"piezoelectric internal electric field enhances ionic thermopower and conductivity, augmenting ionic thermoelectric response in multimodal sensors",True,False
P0504,material formulation,Ba2CePtO6 double perovskite oxide,True,False
P0504,mechanism statement,"computed ionic bonding, electronic structure, and thermoelectric transport indicate optoelectronic/thermoelectric potential",True,False
P0505,material formulation,ionic-liquid/polymerizable deep-eutectic-solvent eutectogel,True,False
P0505,mechanism statement,ionic liquid and polymerizable DES form flexible adhesive eutectogel with high thermoelectric conversion for self-powered sensing; ML filters sensor noise,True,False
P0506,material formulation,calcium alginate/polyacrylamide/glycerol/lithium bromide hydrogel (CPG-L2),True,False
P0506,mechanism statement,bio-based ionic hydrogel combines LiBr-driven thermoelectric response with water-retention/self-healing/flame retardancy for fast fire-warning output,True,False
P0507,material formulation,protonic ionic liquids with I2/LiI redox couple,True,False
P0507,mechanism statement,redox species concentration controls carrier extraction and power output; high Seebeck coefficient alone does not ensure high generator power,True,False
P0508,material formulation,polyaniline doped with 1-ethyl-3-methylimidazolium ethyl sulfate ionic liquid,True,False
P0508,mechanism statement,ionic-liquid chemical doping gives polyaniline stable n-type thermoelectric properties under ambient conditions,True,False
P0509,material formulation,cellulose nanofibril/deep eutectic solvent gel,True,False
P0509,mechanism statement,"CNF/DES integration provides flexible ionic thermoelectric material with high Seebeck coefficient, conductivity, and low thermal conductivity",True,False
P0510,material formulation,PEDOT:PSS/LiTFSI/PAMPS-LiCl double-network mixed ionic-electronic hydrogel,True,False
P0510,mechanism statement,interpenetrating ionic/electronic networks combine thermodiffusion and electronic Seebeck effects for continuous generation and high energy density,True,False
P0511,material formulation,"PVA/[EMIM][DCA] ionogels with 2-carboxyphenylacetic acid, 2-sulfobenzoic acid, or 2-carboxyphenyl phosphate additives",True,False
P0511,mechanism statement,"additives tailor PVA ionogel crystallinity, improving ionic figure of merit and mechanical properties",True,False
P0512,material formulation,n-type liquid crystal elastomer ionic thermoelectric film,True,False
P0512,mechanism statement,"hydrogen bonds, electrostatic interactions, and phase separation between ions and LCE chains enable n-type thermopower, toughness, self-healing, and antifreezing",True,False
P0513,material formulation,"CaXO3 perovskites with X = Si, Ge, Ti",True,False
P0513,mechanism statement,"first-principles calculations link B-site cation choice, mixed ionic-covalent bonding, electronic structure, and thermoelectric transport",True,False
P0514,material formulation,"ultra-lightweight engineered cementitious composite with carbon fiber, mineral admixtures, fly ash cenospheres, and pore-solution ions",True,False
P0514,mechanism statement,mineral admixtures reduce OH- content to generate p-type ionic thermoelectricity; carbon fibers add electronic carriers for ionic-electronic coupling,True,False
P0515,material formulation,"thermoelectric geopolymer composites with Fe2O3 nanoparticles, graphene nanoplatelets, and PEDOT:PSS additives",True,False
P0515,mechanism statement,geopolymer porosity and tetrahedral framework affect Soret-driven ionic transport; conductive additives introduce electronic pathways for dual ionic-electronic regulation,True,False
P0516,material formulation,"Bi2MO4Cl layered mixed-anion oxides (M = Y, La, Bi)",True,False
P0516,mechanism statement,"heavy atoms, weak ionic bonding, phonon anharmonicity, and low symmetry produce ultra-low lattice thermal conductivity and high predicted ZT",True,False
P0517,material formulation,bilayer graphene ionic-liquid-gated device,True,False
P0517,mechanism statement,"ionic-liquid gating tunes band gap with perpendicular electric field and reduces charge puddles, enhancing thermoelectric power",True,False
P0518,material formulation,PVA/sodium alginate/NaCl/Fe(CN)6 3-/4- hydrogel (PSNF),True,False
P0518,mechanism statement,freeze-thaw and Hofmeister effects create dual thermoelectric behavior; ion channels and toughened structure support transport and mechanical robustness,True,False
P0519,material formulation,activated-carbon ionogel mixed ion-electron thermoelectric generator,True,False
P0519,mechanism statement,ionic liquid provides Soret thermopower while activated-carbon network enables hole tunneling/electron transport for steady-gradient power generation,True,False
P0520,material formulation,carboxymethylated Na+-doped bacterial cellulose ionogel (CBCIG-Na),True,False
P0520,mechanism statement,Na+ doping increases ion transport pathways and cation/anion mobility difference in ionic liquid; 3D fiber network improves strength and adhesion,True,False
P0521,material formulation,single-walled carbon nanotubes dispersed in trimethylammonium-suspended ionic-liquid-derived polymers,True,False
P0521,mechanism statement,solid-state individual dispersion of SWNTs in polymerized ionic liquids improves electronic interaction and thermoelectric properties,True,False
P0522,material formulation,single-walled carbon nanotube film blended with ionic liquid,True,False
P0522,mechanism statement,"SWCNT/ionic-liquid interactions simultaneously increase electrical conductivity and Seebeck coefficient, raising power factor",True,False
P0523,material formulation,SA/PEDOT:PSS/PAAm/NaCl hydrogel crosslinked by CaCl2 (APSG),True,False
P0523,mechanism statement,electronic Seebeck effect from PEDOT:PSS synergizes with ionic thermal diffusion from NaCl; Ca2+ crosslinking improves flame retardancy and strength,True,False
P0524,material formulation,Metal A/ionic liquid/Metal B heterogeneous system,True,False
P0524,mechanism statement,"temperature variation causes asymmetric ion rearrangement at two ionic-liquid/electrode interfaces, generating voltage even without a temperature gradient",True,False
P0525,material formulation,PAM/PEO/LiCl n-type thermoelectric hydrogel fiber with carbon paper electrodes,True,False
P0525,mechanism statement,"coordination suppresses Li+ thermal migration and carbon-paper anion adsorption increases anion/cation concentration difference, giving negative thermopower",True,False
P0526,material formulation,cellulose nanofibril thermoelectric gel with passive radiative-cooling layer and MXene,True,False
P0526,mechanism statement,radiative cooling maintains temperature gradient for thermoelectric conversion; MXene adds electromagnetic shielding and operational stability,True,False
P0527,material formulation,natural Ficus elastica leaves,True,False
P0527,mechanism statement,anion thermodiffusion through the apoplast generates ionic thermovoltage; desiccation and electrode selection amplify response,True,False
P0528,material formulation,TEMPO- or CHMAC-functionalized regenerated cellulose membranes in HCl electrolyte,True,False
P0528,mechanism statement,"surface charge engineering increases fixed charge density and ion selectivity, enhancing thermodiffusion-driven ion transport",True,False
P0529,material formulation,thermoelectric-piezoionic ionogel with chelated redox ions,True,False
P0529,mechanism statement,redox-ion chelation converts ionic liquid from n-type to p-type and couples with piezoionic selective ion migration under compression to amplify concentration gradient,True,False
P0530,material formulation,charged hydrophobic conical nanopore with ionized liquid,True,False
P0530,mechanism statement,"thermophoresis, thermoosmosis, electrophoresis, pressure-driven flow, and geometric asymmetry jointly determine thermoelectric field and ion concentration polarization",True,False
P0531,material formulation,KCu3SnSe4 and RbCu3SnSe4 quaternary chalcogenides,True,False
P0531,mechanism statement,larger Rb ionic radius influences structural stability and transport; DFT predicts favorable Seebeck coefficient and ZT,True,False
P0532,material formulation,PVA/PAA-PAANa/CNT-COOH dual-crosslinked hydrogel with ferro/ferricyanide and Li2SO4 electrolytes,True,False
P0532,mechanism statement,"dual-crosslinked structure, CNT-COOH, redox electrolyte, and Li2SO4 enhance mechanical strength, ionic mobility, and thermoelectric performance",True,False
P0533,material formulation,Cu2S-based superionic conductor with ligand-derived organic-inorganic interface,True,False
P0533,mechanism statement,"in situ interface enhances electrical conductivity while suppressing ionic and thermal conductivity, decoupling electron/ion/phonon transport",True,False
P0534,material formulation,Cu7PSe6 argyrodite Cu+ conductor,True,False
P0534,mechanism statement,"structural complexity, bond-strength variation, and lattice anharmonicity cause low thermal conductivity and fast Cu+ ionic conduction",True,False
P0535,material formulation,CsCl:EG/PVA-NaOH biomimetic eutectogel,True,False
P0535,mechanism statement,bicontinuous CsCl:EG/PVA network creates ionic migration channels; multiple mobile ions and hydrogen bonding enable p-type thermodiffusion with low phonon transport,True,False
P0536,material formulation,stretchable ionic thermoelectric ionogel with ion-ion/ion-dipole interactions and chemical-physical networks,True,False
P0536,mechanism statement,"synergistic ion-ion/ion-dipole interactions and dual networks provide high thermopower, conductivity, stretchability, and thermo-mechanical stability",True,False
P0537,material formulation,PEO/lithium salt/ionic-liquid n-type ionogel,True,False
P0537,mechanism statement,"Li+ coordination with ether oxygen and anion-rich clusters promote rapid anion transport and Eastman entropy change, giving negative Seebeck coefficient",True,False
P0538,material formulation,PDAC/EMIM:TFSI phase-separated ionic gel,True,False
P0538,mechanism statement,"balanced polymer/ionic-liquid interactions form bicontinuous ion-selective channels in a deformable skeleton, combining thermopower, mechanics, and self-healing",True,False
P0539,material formulation,polypyrrole-bentonite nanocomposite from ionic-liquid-modified bentonite,True,False
P0539,mechanism statement,"polypyrrole wraps exfoliated bentonite nanolayers, providing conductivity, charge mobility, and low thermal conductivity for thermoelectric response",True,False
P0540,material formulation,phosphoric-acid-doped OPBI membrane,True,False
P0540,mechanism statement,hydrogen-bond networks in PA/OPBI support proton hopping and stable high-temperature ionic conductivity for thermopower above 100 C,True,False
P0541,material formulation,"geopolymer composites with Pt, Ag, and modified electrodes",True,False
P0541,mechanism statement,bulk ion migration dominates thermoelectric effect while electrode electrochemical activity/energy matching controls interfacial ion exchange and polarity,True,False
P0542,material formulation,"PAAm hydrogels with Zn(CF3SO3)2, ZnSO4, or Zn(ClO4)2",True,False
P0542,mechanism statement,Hofmeister effect and zinc-ion transfer regulate ionic Seebeck coefficient; anion identity tunes hydrogel thermoelectric performance,True,False
P0543,material formulation,cellulose nanofibril-reinforced PAM ionic hydrogel,True,False
P0543,mechanism statement,CNF reinforcement enhances hydrogel strength and negative ionic thermopower,True,False
P0544,material formulation,Cu2Se mixed ionic-electronic conductor,True,False
P0544,mechanism statement,operando Cu+ migration and oxygen-induced Cu2O surface formation alter stoichiometry and degradation while thermoelectric properties remain stable,True,False
