group_index,class_id,original_members,original_equivalent_edges,priority_incomplete_or_inconsistent,judge_decision,draft_partitions,accepted_edges,rejected_edges,uncertain_edges,judge_reason,secondary_review_note,status,merge_applied
144,TG:P0186:n4,2,1,False,accept,1,1,0,0,原文均为热电池产出的电流密度，不是总电流或功率密度。,,reviewed,False
145,TG:P0277:n2,2,1,False,accept,1,1,0,0,两处均指氧化还原离子溶剂化壳的结构无序，不将无序度与其引发的熵增合并。,,reviewed,False
146,TG:P0163:n3,2,1,False,accept,1,1,0,0,两文均明确热能转换后输出的电能，非电功率或电压。,,reviewed,False
147,TG:P0270:n1,2,1,False,accept,1,1,0,0,均为同一化学物质乙醇；所起调控作用不同不改变物质身份。,,reviewed,False
148,TG:P0208:n1,2,1,False,accept,1,1,0,0,两篇均指凝胶化电解质材料类别，未将电解质与其抑制热流的性能合并。,,reviewed,False
149,TG:P0114:n2,2,1,False,accept,1,1,0,0,两文热传递语境中的heat flux为同一物理量，未包括热导率。,,reviewed,False
150,TG:P0170:n1,2,1,False,accept,1,1,0,0,均为将离子型和电子型材料/机制组合的设计策略；持续输出为效果而非被合并概念。,,reviewed,False
151,TG:P0054:n1,2,1,False,accept,1,1,0,0,两句明确同一对相互作用组分，strong/intense均修饰该氢键而非另外物质。,,reviewed,False
152,TG:P0071:n3,2,1,False,accept,1,1,0,0,variable concentrations表示所调节的浓度参数；不把浓度与红氧反应反转混为一谈。,,reviewed,False
153,TG:P0053:n2,2,1,False,accept,1,1,0,0,两处都是离子扩散过程，促进和抑制为其在不同实验中的变化方向，不是节点自身限定。,,reviewed,False
154,TG:P0305:n1,2,1,False,accept,1,1,0,0,单复数及ILs缩写均指离子液体类别。,,reviewed,False
155,TG:P0125:n3,2,1,False,accept,1,1,0,0,lithiation state与intercalation extent均描述嵌锂量/状态参数，非嵌入过程速率。,,reviewed,False
156,TG:P0076:n1,2,1,False,accept,1,1,0,0,两者均明确低热导率特征；材料不同，但不消除low限定。,,reviewed,False
157,TG:P0172:n5,2,1,False,accept,1,1,0,0,mass transfer与ion transport均指氧化还原离子的空间输运；不包含红氧反应本身。,,reviewed,False
158,TG:P0127:n5,2,1,False,accept,1,1,0,0,两处均为热电池物质输运过程，未以热传递代替。,,reviewed,False
159,TG:P0296:n2,2,1,False,uncertain,2,0,0,1,现有引文未说明面积、体积或质量归一化，不能确定两篇功率密度可在相同定义下互换。,,reviewed,False
160,TG:P0258:n1,2,1,False,reject,2,0,1,0,前者是微通道中一般红氧物种混合，后者明确FeCl3/FeCl2并涉及络合物解离；给定证据不能抹去物种限定。,,reviewed,False
161,TG:P0192:n2,2,1,False,uncertain,2,0,0,1,水合属于溶剂化特例，第二句未证明其溶剂为水；暂不把一般溶剂化重排与水合壳改变合并。,,reviewed,False
162,TG:P0273:n3,2,1,False,reject,2,0,1,0,首句从负到正的n-p变化，次句从正到负的p-to-n变化；共同涉及极性转换但方向不同。,,reviewed,False
163,TG:P0229:n3,2,1,False,accept,1,1,0,0,两文均为电池中的欧姆过电位，变化不改变量的定义。,,reviewed,False
164,TG:P0128:n1,2,1,False,accept,1,1,0,0,两文同指欧姆电阻；不并入总内阻或过电位。,,reviewed,False
165,TG:P0291:n3,2,1,False,accept,1,1,0,0,两句均讨论红氧热电池整体性能，未专指一个单独物理指标；只在此整体性能层级接受。,,reviewed,False
166,TG:P0136:n2,2,1,False,accept,1,1,0,0,均指通过光热转换建立热源/温差，非随后发生的热电转换。,,reviewed,False
167,TG:P0211:n1,2,1,False,uncertain,2,0,0,1,第一段简称resistance，未排除其只指某一阻抗分量；缺少定义不能直接等同总内阻。,,reviewed,False
168,TG:P0045:n1,2,1,False,accept,1,1,0,0,均明确为salting out，结构和性能是该效应的后果，不影响效应定义。,,reviewed,False
169,TG:P0316:n2,2,1,False,accept,1,1,0,0,两处均明确短路条件下电流，不是一般负载电流。,,reviewed,False
170,TG:P0246:n2,2,1,False,accept,1,1,0,0,前句乙醇调控红氧电对solvation structure，后句明确solvent shell structure；同一结构层级。,,reviewed,False
171,TG:P0123:n1,2,1,False,accept,1,1,0,0,均为热力学温度变量，不是温度差或温度梯度。,,reviewed,False
172,TG:P0271:n3,2,1,False,accept,1,1,0,0,两者均以应力单位表达tensile strength；不是伸长率或弹性模量。,,reviewed,False
173,TG:P0229:n2,2,1,False,accept,1,1,0,0,两文均明确热导率，材料参数数值不同不改变量定义。,,reviewed,False
174,TG:P0175:n1,2,1,False,accept,1,1,0,0,两文均指离子热扩散建立的热电势，并与红氧驱动力区分；不是总热电压。,,reviewed,False
175,TG:P0219:n4,2,1,False,reject,2,0,1,0,storage是储存电能的过程/功能，thermocapacitance是文中可提高的储能性能量；相关不构成严格同义。,,reviewed,False
176,TG:P0015:n2,2,1,False,accept,1,1,0,0,两处均在热电凝胶中指温度驱动电信号的热电效应，并与压阻或结晶作用分开。,,reviewed,False
177,TG:P0333:n2,2,1,False,accept,1,1,0,0,均明确非等温电池的热电动势E，非其温度导数或Seebeck系数。,,reviewed,False
178,TG:P0147:n1,2,1,False,accept,1,1,0,0,两处为相同两个效应的联合机制，保留复合概念不拆为其中一种。,,reviewed,False
179,TG:P0204:n2,2,1,False,accept,1,1,0,0,两处都限定为Fe2+/Fe3+红氧对产生的热电化学效应；其他伴随机制不并入。,,reviewed,False
180,TG:P0231:n3,2,1,False,accept,1,1,0,0,第二句available sites明确限定于thermogalvanic conversion，与第一句反应位点范围相同。,,reviewed,False
181,TG:P0255:n1,2,1,False,accept,1,1,0,0,两句均为温度敏感结晶机制，不是盐析或结晶产物。,,reviewed,False
182,TG:P0206:n3,2,1,False,accept,1,1,0,0,两句均谈保水能力的提高，未将水含量或吸水率替代保水。,,reviewed,False
183,iTE:P1691:n1,2,1,False,accept,1,1,0,0,NbO2输运与Ni诱导电子局域化语境对应同一局域化机制。,,reviewed,False
184,iTE:P0882:n1,2,1,False,accept,1,1,0,0,化学式和全名明确对应同一物质CaCl2。,,reviewed,False
185,iTE:P1940:n1,2,1,False,reject,2,0,1,0,原文明确占据的被替代元素分别为Co和Cr；不能仅因都是Fe substitution去掉位点限定。,,reviewed,False
186,iTE:P1834:n2,2,1,False,reject,2,0,1,0,第一篇AgI/AgCl测量离子迁移率解释电导增强；第二篇Sn(Zr/Hf)O3带隙减小增强电子导电，输运范围不同。,,reviewed,False
187,iTE:P1316:n2,2,1,False,accept,1,1,0,0,两处均为体相离子之间静电作用，增强或削弱是实验结果，不是不同作用类型。,,reviewed,False
188,iTE:P1132:n1,2,1,False,accept,1,1,0,0,两节点均以Cr掺杂作为一般调控策略，不指特定位点置换。,,reviewed,False
189,iTE:P1577:n1,2,1,False,uncertain,2,0,0,1,第一段未确认铜价态或超离子状态；第二处明确fast Cu+。不能把所有Cu ions默认等同Cu+快离子。,,reviewed,False
190,iTE:P0681:n2,2,1,False,accept,1,1,0,0,两句明确相同DCA-物种输运过程。,,reviewed,False
191,iTE:P1926:n1,2,1,False,accept,1,1,0,0,exclusive在第一文与固定聚阴离子排斥语境一致；第二文明确Donnan exclusion，属同一机制。,,reviewed,False
192,iTE:P0605:n1,2,1,False,accept,1,1,0,0,两段均直接展开EMIM DCA全名，标点差异不改变化学身份。,,reviewed,False
193,iTE:P1429:n1,2,1,False,accept,1,1,0,0,均指Frenkel缺陷类型；形成物种和扩散后果不是缺陷概念本身。,,reviewed,False
194,iTE:P1500:n2,2,1,False,accept,1,1,0,0,两处均保留高水平限定，不并入任意掺杂水平。,,reviewed,False
195,iTE:P1755:n1,2,1,False,accept,1,1,0,0,两句均限定稀土Ln在Ca位替代，第二句补充通常价态而未改变替代范围。,,reviewed,False
196,iTE:P0680:n3,2,1,False,reject,2,0,1,0,MTEG缩写相同不代表装置机制完全同义：电子隧穿路径分别是MXene片层和Ag纳米线，只有Soret部分共同。,,reviewed,False
197,iTE:P0555:n1,2,1,False,accept,1,1,0,0,两段均明确同一Manning机制，聚合物载体不同不改变机制名称。,,reviewed,False
198,iTE:P0940:n2,2,1,False,accept,1,1,0,0,两处均为相同聚合物体系的电导率属性，非PSS分离机制。,,reviewed,False
199,iTE:P0885:n2,2,1,False,accept,1,1,0,0,第二句明确conversion ability，因此虽标签简写过程名，两处证据都在讨论光热转换性能。,,reviewed,False
200,iTE:P1699:n1,2,1,False,accept,1,1,0,0,同一力学比值；由其推断离子键特征不使泊松比变成离子性。,,reviewed,False
201,iTE:P1695:n1,2,1,False,accept,1,1,0,0,第一句明确phonon scattering pathway，故process与scattering同指Umklapp散射。,,reviewed,False
202,iTE:P0889:n2,2,1,False,accept,1,1,0,0,magnitude在第二句明确回指thermoelectric power；与absolute value同义，保留去符号取幅值限定。,,reviewed,False
203,iTE:P1255:n2,2,1,False,reject,2,0,1,0,第一处是软化过程，第二处是由弱离子键产生的软模状态；机制与结果不可直接同义合并。,,reviewed,False
204,iTE:P0959:n1,2,1,False,accept,1,1,0,0,两处均是添加相同盐的操作概念；不同接受材料保留在原始关系，不将混合物身份合并。,,reviewed,False
205,iTE:P1503:n2,2,1,False,accept,1,1,0,0,两篇完整摘要均定义alpha=dV/dT并限定Fe2+/Fe3+红氧体系，排除其他alpha物理量。,,reviewed,False
206,iTE:P0438:n2,2,1,False,accept,1,1,0,0,均明确anion diffusion；促进或限制是不同外部作用，不改变扩散概念。,,reviewed,False
207,iTE:P1752:n2,2,1,False,accept,1,1,0,0,均明确bulk modulus/B，同一体积压缩弹性量，非晶格常数。,,reviewed,False
208,iTE:P1500:n1,2,1,False,accept,1,1,0,0,两处均明确以阳离子交换调控n掺杂，交换过程本身同义。,,reviewed,False
209,iTE:P0590:n3,2,1,False,accept,1,1,0,0,均明确阳离子在温度梯度驱动下扩散，未并入所有离子扩散。,,reviewed,False
210,iTE:P0525:n4,2,1,False,reject,2,0,1,0,第一句为冷热端的空间浓度梯度，第二句为阴阳离子浓度差；未定义长度归一化或同一空间范围。,,reviewed,False
211,iTE:P1495:n2,2,1,False,accept,1,1,0,0,均指同一组两类缺陷浓度；仅并列词序变化。,,reviewed,False
212,iTE:P0510:n3,2,1,False,accept,1,1,0,0,两句同为持续产生电能的功能；不等同瞬时功率数值。,,reviewed,False
213,iTE:P1091:n2,2,1,False,uncertain,2,0,0,1,第一段为双类型载流子对性能的贡献，第二段bipolar contribution未明确指电输运还是双极热导分量，保留待定。,,reviewed,False
214,iTE:P1546:n2,2,1,False,accept,1,1,0,0,分别离子风和Peltier冷却，但两节点均为整体冷却性能属性而非冷却机制；接受此上层性能概念。,,reviewed,False
215,iTE:P0683:n1,2,1,False,accept,1,1,0,0,两句均指固定聚电解质/通道相互作用中的反离子凝聚效应。,,reviewed,False
216,iTE:P1494:n1,2,1,False,uncertain,2,0,0,1,第一篇为液体能量输运交叉效应，第二篇为心肌模型温度电活动耦合；缺少相同本构定义，不能仅以coupling合并。,,reviewed,False
217,iTE:P1684:n2,2,1,False,accept,1,1,0,0,均指共价键合类别，不等同共价性大小或输运结果。,,reviewed,False
218,iTE:P0672:n1,2,1,False,accept,1,1,0,0,两段同为装置可提取输出电流密度；不把能量密度或Seebeck系数合并。,,reviewed,False
219,iTE:P1849:n2,2,1,False,accept,1,1,0,0,两句都明确电子材料掺杂后的电导率下降，保留变化方向，不等同电导率本身。,,reviewed,False
220,iTE:P1036:n1,2,1,False,accept,1,1,0,0,两句均明确氧分压降低操作，非氧含量或缺陷浓度。,,reviewed,False
221,iTE:P1473:n2,2,1,False,accept,1,1,0,0,全名及DES缩写对应同一材料类别。,,reviewed,False
222,iTE:P1364:n2,2,1,False,accept,1,1,0,0,两处均明确费米能附近态密度，不合并全能区态密度或有效质量。,,reviewed,False
223,iTE:P0556:n3,2,1,False,accept,1,1,0,0,两处离子对及所比较的迁移率相同，保留物种限定。,,reviewed,False
224,iTE:P1671:n2,2,1,False,accept,1,1,0,0,两句均指diffuson扩散型热输运，区别于传播声子输运。,,reviewed,False
225,iTE:P1511:n2,2,1,False,uncertain,2,0,0,1,一处无序引起声子散射，另一处掺杂无序引起电子相互作用；引文未确认是相同结构、化学或电子无序概念。,,reviewed,False
226,iTE:P0650:n2,2,1,False,accept,1,1,0,0,均是聚合物作用使离子聚集体解离的过程，非一般离子对解离或电导率结果。,,reviewed,False
227,iTE:P1716:n1,2,1,False,accept,1,1,0,0,两处都是掺杂程度参数，未包含特定方向或高低限制。,,reviewed,False
228,iTE:P1009:n1,2,1,False,accept,1,1,0,0,两句均讨论C和N掺杂策略，保留组合物种；不同宿主不改变该操作层级定义。,,reviewed,False
229,iTE:P1568:n1,2,1,False,accept,1,1,0,0,两处均为引入Zn的掺杂操作，Seebeck及电导变化仅为后果。,,reviewed,False
230,iTE:P0375:n6,2,1,False,reject,2,0,1,0,弹性拉伸要求可回复性，可拉伸性并不必然弹性回复；只共享自愈分量不足以等同复合性能。,,reviewed,False
231,iTE:P0825:n3,2,1,False,accept,1,1,0,0,PEDOT:PSS膜测得的resistance明确是电阻；非电阻率，亦非热阻。,,reviewed,False
232,iTE:P1241:n2,2,1,False,uncertain,2,0,0,1,electron conduction特指电子载流子，electronic conduction可能包括空穴；所给片段缺少载流子说明。,,reviewed,False
233,iTE:P1680:n2,2,1,False,accept,1,1,0,0,首句electron density n为载流子数密度，次句n-type carrier density同为电子载流子浓度，非电荷空间密度。,,reviewed,False
234,iTE:P1411:n1,2,1,False,accept,1,1,0,0,两句都描述电子局域化强弱；具体界面不同但不改变量的含义。,,reviewed,False
235,iTE:P1814:n2,2,1,False,accept,1,1,0,0,两处均为低温电子隧穿过程且温区相同，掺杂元素不同不改机制。,,reviewed,False
236,iTE:P1511:n3,2,1,False,accept,1,1,0,0,次句证据补足了标签省略的due to disorder，两文均指低温无序相关相互作用机制。,,reviewed,False
237,iTE:P1633:n2,2,1,False,accept,1,1,0,0,第二句Mn-d states明确电子态，故简写DOS与第一句电子DOS一致。,,reviewed,False
238,iTE:P1633:n3,2,1,False,accept,1,1,0,0,两句同为电子输运性质集合，不合并某个单独指标。,,reviewed,False
239,iTE:P1771:n2,2,1,False,accept,1,1,0,0,两句均为非谐性增大这一变化，机制不同不影响方向。,,reviewed,False
240,iTE:P1057:n2,2,1,False,uncertain,2,0,0,1,第一句both materials缺少性能回指，第二句热湿耦合离子输运的performance范围亦未界定，不能把笼统褒义合并。,,reviewed,False
241,iTE:P0441:n3,2,1,False,accept,1,1,0,0,两段均在离子聚合物中比较载流子热扩散/热迁移熵差，非红氧反应熵差。,,reviewed,False
242,iTE:P0376:n3,2,1,False,accept,1,1,0,0,两句同为红氧反应的交换电流密度；不等同输出电流密度。,,reviewed,False
243,iTE:P1887:n2,2,1,False,accept,1,1,0,0,第二句unit cell expansion由占位变化导致，语境为晶胞几何膨胀，与体积增加对应。,,reviewed,False
244,iTE:P1801:n2,2,1,False,accept,1,1,0,0,形容词ferromagnetic和名词ferromagnetism在两文均指材料铁磁性。,,reviewed,False
245,iTE:P1651:n2,2,1,False,accept,1,1,0,0,P1552完整摘要说明Se4为Cu3SbSe4，gap由轨道杂化和交换作用产生；与第二文杂化导致电子能隙同属能隙形成机制。,,reviewed,False
246,iTE:P1109:n2,2,1,False,accept,1,1,0,0,均为离子热扩散产生的大幅负Seebeck/thermopower，保留负号和大幅限定；不以给定数值相等为前提。,,reviewed,False
247,iTE:P1840:n2,2,1,False,accept,1,1,0,0,均是掺杂抑制的晶粒生长过程，非晶粒尺寸量。,,reviewed,False
248,iTE:P0696:n3,2,1,False,accept,1,1,0,0,首句明确从Cu2+/Cl-形成[CuCl4]2-构型，第二句直接指定同一络阴离子构型。,,reviewed,False
249,iTE:P1664:n2,2,1,False,accept,1,1,0,0,两句均明确空穴迁移率，非一般载流子迁移率。,,reviewed,False
250,iTE:P0420:n1,2,1,False,accept,1,1,0,0,同一主体、客体及相互作用类型，缩写和离子表示不同不改概念。,,reviewed,False
251,iTE:P1498:n1,2,1,False,accept,1,1,0,0,两处hybridization均指电子轨道/态杂化，而非材料混合设计。,,reviewed,False
252,iTE:P0412:n4,2,1,False,accept,1,1,0,0,均为非共价氢键相互作用，未合并材料或离子偶极作用。,,reviewed,False
253,iTE:P1797:n1,2,1,False,accept,1,1,0,0,同为加入MXene材料的操作类别，保留加入物种。,,reviewed,False
254,iTE:P0825:n1,2,1,False,accept,1,1,0,0,两处同为PEDOT域间距增大，状态描述和名词化描述均明确变化方向。,,reviewed,False
255,iTE:P1928:n1,2,1,False,accept,1,1,0,0,均为掺杂量/水平提高；不等同掺杂水平本身。,,reviewed,False
256,iTE:P0810:n3,2,1,False,accept,1,1,0,0,首句回指PEDOT域间输运，次句明确PEDOT:PSS微区间输运，空间尺度一致。,,reviewed,False
257,iTE:P1941:n1,2,1,False,accept,1,1,0,0,第一句Sn引入导致杂质带，第二句明确Sn doping；均为引入Sn掺杂操作。,,reviewed,False
258,iTE:P1879:n1,2,1,False,accept,1,1,0,0,两句证据都明确样品/聚合物表面离子积累，不等同体相浓度增加。,,reviewed,False
259,iTE:P1404:n2,2,1,False,reject,2,0,1,0,第一概念固定I3-和Na+，第二仅说明SGO固定阴离子造成一般不对称；物种范围未一致。,,reviewed,False
260,iTE:P0585:n2,2,1,False,accept,1,1,0,0,两处均为离子输运的选择性属性，纳米限域和温度梯度是环境条件。,,reviewed,False
261,iTE:P0681:n4,2,1,False,accept,1,1,0,0,两句均指允许离子传导的通道/路径结构，非输运性能本身。,,reviewed,False
262,iTE:P0605:n4,2,1,False,uncertain,2,0,0,1,properties可能涵盖迁移率、选择性、活化能等，ability为综合能力，原文未给相同定义集合。,,reviewed,False
263,iTE:P1458:n2,2,1,False,accept,1,1,0,0,Mulliken分析和泊松比在两处均用于推断键合的离子性，而非离子传导行为。,,reviewed,False
264,iTE:P0624:n1,2,1,False,accept,1,1,0,0,两处都在导体/聚合物中设置阻断离子通过的结构；接受功能类别同义，不表示PVA与电子导电屏障材料相同。,,reviewed,False
265,iTE:P1809:n1,2,1,False,reject,2,0,1,0,第一节点为ionic bonding fraction这一比例量，第二明确增加事件；原文包含增加不使被抽取的比例量等同变化。,,reviewed,False
266,iTE:P0847:n1,2,1,False,accept,1,1,0,0,两句均为用离子栅调控载流子输运的技术，非离子输运机制。,,reviewed,False
267,iTE:P0589:n3,2,1,False,accept,1,1,0,0,两处均指解离过程而非随后的迁移/扩散差异。,,reviewed,False
268,iTE:P1788:n1,2,1,False,accept,1,1,0,0,首节点虽省略nearly，原文明确nearly isotropic；两文共同限定三维近各向同性网络。,,reviewed,False
269,iTE:P1848:n1,2,1,False,reject,2,0,1,0,第一处有从Cl到I增大的明确比较方向；第二variation涵盖任意变化，不能消去方向限定。,,reviewed,False
270,iTE:P1951:n2,2,1,False,reject,2,0,1,0,第一为Te相对Se/S体系比较，第二特指溴化物相对基准；比较对象不同且第二节点带材料限定。,,reviewed,False
271,iTE:P1090:n2,2,1,False,accept,1,1,0,0,两节点均并列同一两个几何量；不等同其中任一量。,,reviewed,False
272,iTE:P1522:n2,2,1,False,accept,1,1,0,0,晶格与晶体结构软化均指晶体键合/弹性软化效应，非晶格膨胀。,,reviewed,False
273,iTE:P1587:n3,2,1,False,reject,2,0,1,0,light absorption/strong absorption描述吸收本身或水平，enhanced optical absorption明确相对增强；不自动抹去变化限定。,,reviewed,False
274,iTE:P0537:n1,2,1,False,reject,2,0,1,0,第一是配位作用并可被Cl削弱，第二特定强配位促进阴离子输运；强度条件有机制意义。,,reviewed,False
275,iTE:P1719:n3,2,1,False,reject,2,0,1,0,第一限定微区局部产生并串联累加，第二为装置热扩散电压；不能由共同起源消去空间与连接条件。,,reviewed,False
276,iTE:P1666:n3,2,1,False,reject,2,0,1,0,low是相对低值状态，reduced是相比处理前降低，未证明降低后即落入同一低值范围。,,reviewed,False
277,iTE:P1849:n1,2,1,False,accept,1,1,0,0,lowered与reduction均明确空穴数浓度下降，载流子与方向一致。,,reviewed,False
278,iTE:P0815:n2,2,1,False,accept,1,1,0,0,相同两类性能集合，仅顺序变化。,,reviewed,False
279,iTE:P1721:n2,2,1,False,uncertain,2,0,0,1,第一以韧性定量，第二仅说robustness提高；未提供同一失效或测量定义。,,reviewed,False
280,iTE:P1831:n2,2,1,False,accept,1,1,0,0,两段均为组分调节导致金属向半导体行为变化；不要求瞬时相变，不等同反方向转变。,,reviewed,False
281,iTE:P0602:n2,2,1,False,accept,1,1,0,0,两个节点均指材料微观结构这一结构属性，具体双连续/固体网络形态保留在原文，不把样品本身合并。,,reviewed,False
282,iTE:P1550:n3,2,1,False,accept,1,1,0,0,两段同为两种载流子共同导电，非其中任一种。,,reviewed,False
283,iTE:P1731:n4,2,1,False,reject,2,0,1,0,一个节点为迁移率量，另一个为迁移率下降；即使两个原句都有下降，也不将量与变化事件等同。,,reviewed,False
284,iTE:P1343:n1,2,1,False,accept,1,1,0,0,拼写连字符差异，均明确纳米尺度限域效应。,,reviewed,False
285,iTE:P1936:n2,2,1,False,accept,1,1,0,0,两段均以键角变化引起eg相关电子带宽收窄，非声子频谱宽度。,,reviewed,False
286,iTE:P1961:n2,2,1,False,accept,1,1,0,0,两段都以相同晶轴倾转角描述八面体旋转畸变，定义一致。,,reviewed,False
287,iTE:P1605:n2,2,1,False,reject,2,0,1,0,平均温度是具有空间/时间统计限定的量，工作温度未给相同平均定义，不能抹掉average。,,reviewed,False
288,iTE:P1707:n2,2,1,False,accept,1,1,0,0,两段均为装置端输出电压；蒸发和Na+热扩散是其成因，未改变端电压定义。,,reviewed,False
289,iTE:P1495:n1,2,1,False,accept,1,1,0,0,两文均为影响离子和电子缺陷浓度的氧活度，不等同氧分压。,,reviewed,False
290,iTE:P1339:n2,2,1,False,accept,1,1,0,0,两句均以百分数描述木材阻燃氧指数，LOI全称对同一性能量作明确展开。,,reviewed,False
291,iTE:P1747:n1,2,1,False,accept,1,1,0,0,P(O2)在两篇输运语境均指氧气分压，大小写为符号写法。,,reviewed,False
292,iTE:P1757:n1,2,1,False,accept,1,1,0,0,两处均为p型半导体类别，不等同p型响应性能或某种单一材料。,,reviewed,False
293,iTE:P1665:n1,2,1,False,accept,1,1,0,0,两处均为溶液酸碱参数pH，应用不同不改定义。,,reviewed,False
294,iTE:P0850:n1,2,1,False,accept,1,1,0,0,两处均明确paddle wheel机制；不直接等同超离子相或Na+载流子。,,reviewed,False
295,iTE:P1660:n2,2,1,False,reject,2,0,1,0,第一限定掺杂导致聚合物氢键部分破坏，第二伴随质子跳跃的断键过程；程度和机制语境未一致。,,reviewed,False
296,iTE:P1440:n1,2,1,False,accept,1,1,0,0,两句明确相同空隙对象和部分填充状态，不能泛化为任意partly filled。,,reviewed,False
297,iTE:P1227:n2,2,1,False,reject,2,0,1,0,第二限定正号和大幅S(T)峰，第一dramatic peak未给峰的符号；保留子类条件。,,reviewed,False
298,iTE:P0576:n3,2,1,False,uncertain,2,0,0,1,第一未定义性能指标，第二outstanding还含程度限定；不足以接受笼统同义。,,reviewed,False
299,iTE:P0676:n2,2,1,False,uncertain,2,0,0,1,第一涵盖噪声、电容、电阻和热电性能，第二为电解质热力学输运所决定的器件性能，未有相同指标集合。,,reviewed,False
300,iTE:P1611:n1,2,1,False,accept,1,1,0,0,两节点都指材料相变的一般过程，具体结构/输运性质转变未编码进标签；接受上层相变概念而非各样品相身份。,,reviewed,False
301,iTE:P1377:n2,2,1,False,accept,1,1,0,0,补充上下文显示第一篇超离子Ag+材料相变，第二篇明确有序无序/超离子转变；两处均为该相变温度参数。,,reviewed,False
302,iTE:P0958:n2,2,1,False,accept,1,1,0,0,两处同指phonon drag；单复数不改变机制。,,reviewed,False
303,iTE:P1496:n1,2,1,False,accept,1,1,0,0,第一句为声子介导电子散射，第二句为电子声子散射；都是电子与声子交换动量/能量的散射过程，不是电子电子散射。,,reviewed,False
304,iTE:P1732:n2,2,1,False,reject,2,0,1,0,第二明确有序且面对面几何构型，第一只说调节pi-pi* stacking，不能默认同样有序与取向。,,reviewed,False
305,iTE:P1381:n1,2,1,False,accept,1,1,0,0,第二段上下文明确PSS含量及界面阳离子差异，与第一PEDOT:PSS聚阴离子Donnan作用相符；不将效应与物质合并。,,reviewed,False
306,iTE:P1031:n1,2,1,False,reject,2,0,1,0,第一为porosity属性；第二原文introduce nanoscale porosities指引入的孔结构实体，而非数值孔隙率。,,reviewed,False
307,iTE:P0884:n2,2,1,False,accept,1,1,0,0,两句均为离子凝胶中正号热电系数，保留正号，不并入任意Seebeck系数。,,reviewed,False
308,iTE:P0672:n2,2,1,False,accept,1,1,0,0,两句均以热电装置输出及Seebeck电流讨论热到电效率，非电流密度本身。,,reviewed,False
309,iTE:P1550:n2,2,1,False,uncertain,2,0,0,1,predominantly electronic可能泛指电子/空穴导电，另一处明确electron conduction；需确认第一文载流子范围。,,reviewed,False
310,iTE:P0537:n3,2,1,False,accept,1,1,0,0,两句均明确快速阴离子输运，保留rapid条件而不泛化为任意输运。,,reviewed,False
311,iTE:P1440:n2,2,1,False,accept,1,1,0,0,两处相同填充原子、rattling及声子散射机制组合，介词差异不影响。,,reviewed,False
312,iTE:P1908:n1,2,1,False,reject,2,0,1,0,第一限定大分子单元运动，第二限定笼结构的软振动模；共享rattling不足以同义化运动主体与软模条件。,,reviewed,False
313,iTE:P0714:n3,2,1,False,accept,1,1,0,0,两处同为还原性环境条件，非n型传导或离子导电本身。,,reviewed,False
314,iTE:P1535:n2,2,1,False,reject,2,0,1,0,第一节点特指氧化物中电子注入带来的浓度增加；第二未限定氧化物或载流子类型，范围不一致。,,reviewed,False
315,iTE:P0571:n2,2,1,False,accept,1,1,0,0,首句上下文明确强配位Ca2+相对弱OH-，补足省略的固定对象；第二直接指定Ca2+。,,reviewed,False
316,iTE:P0467:n1,2,1,False,accept,1,1,0,0,第二句低浓度IL加极性溶剂的上下文补足相互作用两方，与首句范围一致。,,reviewed,False
317,iTE:P1951:n1,2,1,False,accept,1,1,0,0,第二段完整上下文是Na2TlSbCl6与Na2TlSbBr6比较；两节点为同一个半径大小关系的相反语序。,,reviewed,False
318,iTE:P1627:n2,2,1,False,reject,2,0,1,0,第一带spatially confined限制，第二只说明相互作用固定阴离子，未证明相同空间限域条件。,,reviewed,False
319,iTE:P0396:n2,2,1,False,uncertain,2,0,0,1,第一为mF/cm2面积电容，第二引文未说明按面积还是质量归一化，不能只以specific capacitance接受。,,reviewed,False
320,iTE:P1419:n1,2,1,False,accept,1,1,0,0,首段明确strain-field effect为半径差异造成的声子散射机制，与第二完整术语范围一致。,,reviewed,False
321,iTE:P1750:n2,2,1,False,accept,1,1,0,0,两处均为带电流体/通道电动效应产生的streaming potential，首段明确与Soret热电势并列区分。,,reviewed,False
322,iTE:P1912:n2,2,1,False,accept,1,1,0,0,concentration与density在此均为数浓度，保留strongly temperature dependent条件。,,reviewed,False
323,iTE:P1769:n2,2,1,False,accept,1,1,0,0,两段均由键能/形成能等评价晶体结构稳定性，非环境耐久性。,,reviewed,False
324,iTE:P1580:n1,2,1,False,accept,1,1,0,0,第二虽标签为solid electrolytes，但原文明确with superionic conductivity；只接受该语境受限类别，不宣布所有固体电解质等于超离子材料。,,reviewed,False
325,iTE:P0886:n2,2,1,False,accept,1,1,0,0,两节点都为thermoelectric power随温度的函数性质，不等同其绝对值。,,reviewed,False
326,iTE:P1762:n1,2,1,False,accept,1,1,0,0,均为两位置间温度差，非单位长度梯度。,,reviewed,False
327,iTE:P0392:n3,2,1,False,uncertain,2,0,0,1,第一虽温度驱动并单向，但未明确冷热方向；第二明确热到冷，尚不足以删除方向限定。,,reviewed,False
328,iTE:P1889:n2,2,1,False,accept,1,1,0,0,Kapitza resistance与thermal boundary resistance在两段都指跨材料界面的热阻，非体相热阻。,,reviewed,False
329,iTE:P1707:n1,2,1,False,accept,1,1,0,0,两处同为Na+在温度梯度下热扩散，物种、驱动力一致。,,reviewed,False
