paper_id,concept_id,canonical_concept,concept_type,concept_subtype,evidence_field,evidence_text,extraction_method,confidence
P0162,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"Y-shaped microchannel liquid-flow thermocell with separately injected equimolar oxidant/reductant electrolyte | microchannel mixing induces redox-solvation interactions and hybrid entropy increase, enhancing thermogalvanic effect and mass transfer",domain_curated_rule,0.97
P0162,CC022D91D01,solvation entropy,solvation_entropy,solvation/entropy mechanism,abstract/material/mechanism,solvation entropy,cleaned_open_concept,0.78
P0164,CB314592CFB,precipitation and species redistribution,phase_or_species_transition,phase/species transition,material_raw,precipitation,controlled_rule,0.94
P0165,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,molybdenum nitride quantum dots in carbon framework lithium-ion thermal charging cell | 3D conductive carbon/Mo nitride quantum-dot electrode activates ion migration and redox kinetics for combined thermodiffusion/thermogalvanic thermal charging,domain_curated_rule,0.97
P0165,C45C8AAD12E,charge-transfer resistance engineering,electrode_interface,interface/kinetics mechanism,material+mechanism+abstract,molybdenum nitride quantum dots in carbon framework lithium-ion thermal charging cell | 3D conductive carbon/Mo nitride quantum-dot electrode activates ion migration and redox kinetics for combined thermodiffusion/thermogalvanic thermal charging,domain_curated_rule,0.97
P0165,CB56BB4DDB0,carbon-electrode redox interface,electrode_interface,interface/kinetics mechanism,material+mechanism+abstract,molybdenum nitride quantum dots in carbon framework lithium-ion thermal charging cell | 3D conductive carbon/Mo nitride quantum-dot electrode activates ion migration and redox kinetics for combined thermodiffusion/thermogalvanic thermal charging,domain_curated_rule,0.97
P0165,CE2D00B183C,redox-kinetics enhancement,electrode_interface,reaction kinetics,mechanism_raw,redox kinetics,controlled_rule,0.94
P0165,CF4A6A0344F,ion migration,transport_mechanism,ionic transport,mechanism_raw,ion migration,controlled_rule,0.94
P0166,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,ethylene glycol/Ti3C2Tx MXene composite hydrogel thermocell electrolyte | EG increases redox solvation entropy and antifreezing ability; MXene reinforces gelation and water binding for subzero thermogalvanic operation,domain_curated_rule,0.97
P0166,C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,abstract,hydrogen bonds,controlled_rule,0.94
P0166,C10D3798CF7,selective solvation,solvation_entropy,solvation,material+mechanism+abstract,ethylene glycol/Ti3C2Tx MXene composite hydrogel thermocell electrolyte | EG increases redox solvation entropy and antifreezing ability; MXene reinforces gelation and water binding for subzero thermogalvanic operation,domain_curated_rule,0.97
P0166,C5CA44ABCFC,redox-solvation hybrid entropy,solvation_entropy,solvation/entropy mechanism,material+mechanism+abstract,ethylene glycol/Ti3C2Tx MXene composite hydrogel thermocell electrolyte | EG increases redox solvation entropy and antifreezing ability; MXene reinforces gelation and water binding for subzero thermogalvanic operation,domain_curated_rule,0.97
P0166,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,ethylene glycol/Ti3C2Tx MXene composite hydrogel thermocell electrolyte | EG increases redox solvation entropy and antifreezing ability; MXene reinforces gelation and water binding for subzero thermogalvanic operation,domain_curated_rule,0.97
P0166,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,ethylene glycol/Ti3C2Tx MXene composite hydrogel thermocell electrolyte | EG increases redox solvation entropy and antifreezing ability; MXene reinforces gelation and water binding for subzero thermogalvanic operation,domain_curated_rule,0.97
P0166,CC022D91D01,solvation entropy,solvation_entropy,solvation/entropy mechanism,abstract/material/mechanism,solvation entropy,cleaned_open_concept,0.78
P0166,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,ethylene glycol/Ti3C2Tx MXene composite hydrogel thermocell electrolyte | EG increases redox solvation entropy and antifreezing ability; MXene reinforces gelation and water binding for subzero thermogalvanic operation,domain_curated_rule,0.97
P0167,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,BC/PAA/guanidinium chloride deep-eutectic-solvent gel with Fe(ClO4)2/3 and K3/4Fe(CN)6 p/n thermocells | PAA-Fe3+ coordination and Gdm+-ferrocyanide crystallization improve n/p thermogalvanic performance while BC network prolongs usability,domain_curated_rule,0.97
P0167,C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,material+mechanism+abstract,BC/PAA/guanidinium chloride deep-eutectic-solvent gel with Fe(ClO4)2/3 and K3/4Fe(CN)6 p/n thermocells | PAA-Fe3+ coordination and Gdm+-ferrocyanide crystallization improve n/p thermogalvanic performance while BC network prolongs usability,domain_curated_rule,0.97
P0167,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,BC/PAA/guanidinium chloride deep-eutectic-solvent gel with Fe(ClO4)2/3 and K3/4Fe(CN)6 p/n thermocells | PAA-Fe3+ coordination and Gdm+-ferrocyanide crystallization improve n/p thermogalvanic performance while BC network prolongs usability,domain_curated_rule,0.97
P0167,CB25BC3FC14,double/interpenetrating network,gel_microstructure,network structure,abstract,interpenetrating network,controlled_rule,0.94
P0168,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"PVA-gellan gum-glycerol thermogalvanic gel facial patch | facial muscle-induced interfacial contact changes alter thermoelectric variation from face heat, enabling self-powered expression and health recognition",domain_curated_rule,0.97
P0169,C45C8AAD12E,charge-transfer resistance engineering,electrode_interface,interface/kinetics mechanism,material+mechanism+abstract,gelatin-KCl-FeCN4-/3- ionic thermoelectric cells with 3D hierarchical electrodes | hierarchical electrodes enlarge thermogalvanic reaction area and reduce charge-transfer resistance for high body-heat power output,domain_curated_rule,0.97
P0169,C5E63317596,hierarchical porous electrode interface,electrode_interface,interface/kinetics mechanism,material+mechanism+abstract,gelatin-KCl-FeCN4-/3- ionic thermoelectric cells with 3D hierarchical electrodes | hierarchical electrodes enlarge thermogalvanic reaction area and reduce charge-transfer resistance for high body-heat power output,domain_curated_rule,0.97
P0169,CE4B0E242E7,interfacial charge transfer,electrode_interface,charge transfer,mechanism_raw,charge-transfer,controlled_rule,0.94
P0169,CF2C5201A37,porous-electrode area enhancement,electrode_interface,electrode architecture,mechanism_raw,reaction area,controlled_rule,0.94
P0170,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,"PEDOT:PSS-based ionic thermoelectric materials/devices | review compares thermodiffusion and thermogalvanic mechanisms; humidity, doping, morphology, and hybrid ionic-electronic transport govern performance",domain_curated_rule,0.97
P0170,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,"PEDOT:PSS-based ionic thermoelectric materials/devices | review compares thermodiffusion and thermogalvanic mechanisms; humidity, doping, morphology, and hybrid ionic-electronic transport govern performance",domain_curated_rule,0.97
P0170,C8AD5B453CC,ion diffusion,transport_mechanism,ionic transport,abstract,ion diffusion,controlled_rule,0.94
P0170,CC3BA67827F,ionic-electronic coupling,transport_mechanism,coupled transport,material+mechanism+abstract,"PEDOT:PSS-based ionic thermoelectric materials/devices | review compares thermodiffusion and thermogalvanic mechanisms; humidity, doping, morphology, and hybrid ionic-electronic transport govern performance",domain_curated_rule,0.97
P0170,CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,material+mechanism+abstract,"PEDOT:PSS-based ionic thermoelectric materials/devices | review compares thermodiffusion and thermogalvanic mechanisms; humidity, doping, morphology, and hybrid ionic-electronic transport govern performance",domain_curated_rule,0.97
P0171,C188B56F6F1,ion-selectivity membrane transport,transport_mechanism,transport mechanism,material+mechanism+abstract,"multiple redox system with two thermogalvanic half-cells, opposite-entropy redox pairs, and cation-selective membrane | temporal temperature fluctuations create alternating electromotive force from opposing temperature-dependent redox potentials",domain_curated_rule,0.97
P0172,C10D3798CF7,selective solvation,solvation_entropy,solvation,material+mechanism+abstract,"hydrogel thermocell electrolyte with trimethyl phosphate and ethylene glycol co-solvents | co-solvent-engineered asymmetric solvation enlarges redox entropy difference, concentration gradient, and ion transport through hydrogel network",domain_curated_rule,0.97
P0172,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"hydrogel thermocell electrolyte with trimethyl phosphate and ethylene glycol co-solvents | co-solvent-engineered asymmetric solvation enlarges redox entropy difference, concentration gradient, and ion transport through hydrogel network",domain_curated_rule,0.97
P0172,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"hydrogel thermocell electrolyte with trimethyl phosphate and ethylene glycol co-solvents | co-solvent-engineered asymmetric solvation enlarges redox entropy difference, concentration gradient, and ion transport through hydrogel network",domain_curated_rule,0.97
P0172,CC022D91D01,solvation entropy,solvation_entropy,solvation/entropy mechanism,abstract/material/mechanism,solvation entropy,cleaned_open_concept,0.78
P0172,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"hydrogel thermocell electrolyte with trimethyl phosphate and ethylene glycol co-solvents | co-solvent-engineered asymmetric solvation enlarges redox entropy difference, concentration gradient, and ion transport through hydrogel network",domain_curated_rule,0.97
P0173,C6C09287FDB,high-entropy redox/ion coupling,solvation_entropy,solvation/entropy mechanism,material+mechanism+abstract,asymmetric thermal cell with FeCl3/K4[Fe(CN)6] opposite-temperature-coefficient redox couples | thermogalvanic effect plus electrochemical potential from high-entropy redox design generates heat-triggered voltage without spatial gradient,domain_curated_rule,0.97
P0174,C188B56F6F1,ion-selectivity membrane transport,transport_mechanism,transport mechanism,material+mechanism+abstract,graphene oxide nanochannel membranes with KCl and Ag/AgCl electrodes | nanoconfinement enhances ionic thermopower through competition between Soret thermodiffusion and temperature-dependent ion electrophoretic mobility,domain_curated_rule,0.97
P0174,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,graphene oxide nanochannel membranes with KCl and Ag/AgCl electrodes | nanoconfinement enhances ionic thermopower through competition between Soret thermodiffusion and temperature-dependent ion electrophoretic mobility,domain_curated_rule,0.97
P0174,C539540C36B,nanochannel-confined ion transport,transport_mechanism,ionic transport,material+mechanism+abstract,graphene oxide nanochannel membranes with KCl and Ag/AgCl electrodes | nanoconfinement enhances ionic thermopower through competition between Soret thermodiffusion and temperature-dependent ion electrophoretic mobility,domain_curated_rule,0.97
P0174,C8AD5B453CC,ion diffusion,transport_mechanism,ionic transport,abstract,ion diffusion,controlled_rule,0.94
P0174,CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,material+mechanism+abstract,graphene oxide nanochannel membranes with KCl and Ag/AgCl electrodes | nanoconfinement enhances ionic thermopower through competition between Soret thermodiffusion and temperature-dependent ion electrophoretic mobility,domain_curated_rule,0.97
P0175,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,"ionic thermoelectric generator with PEG clusters stabilized by alkoxide end groups | ionic thermodiffusion-induced thermal potentials drive reversible redox reactions at electrode interfaces, enabling continuous current",domain_curated_rule,0.97
P0175,C45C8AAD12E,charge-transfer resistance engineering,electrode_interface,interface/kinetics mechanism,material+mechanism+abstract,"ionic thermoelectric generator with PEG clusters stabilized by alkoxide end groups | ionic thermodiffusion-induced thermal potentials drive reversible redox reactions at electrode interfaces, enabling continuous current",domain_curated_rule,0.97
P0175,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"ionic thermoelectric generator with PEG clusters stabilized by alkoxide end groups | ionic thermodiffusion-induced thermal potentials drive reversible redox reactions at electrode interfaces, enabling continuous current",domain_curated_rule,0.97
P0175,CE4B0E242E7,interfacial charge transfer,electrode_interface,charge transfer,abstract,charge transfer,controlled_rule,0.94
P0175,CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,material+mechanism+abstract,"ionic thermoelectric generator with PEG clusters stabilized by alkoxide end groups | ionic thermodiffusion-induced thermal potentials drive reversible redox reactions at electrode interfaces, enabling continuous current",domain_curated_rule,0.97
P0176,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,"ternary ionic-liquid ionogels with anion/cation clusters, polyacrylate elastomer, and cation dopants | Gutmann-donor-guided anion doping reconfigures ionic clusters and increases anionic transport heat for high n-type thermopower",domain_curated_rule,0.97
P0176,C3C17DDE1C9,Gutmann-donor ionic-cluster thermodiffusion,transport_mechanism,transport mechanism,material+mechanism+abstract,"ternary ionic-liquid ionogels with anion/cation clusters, polyacrylate elastomer, and cation dopants | Gutmann-donor-guided anion doping reconfigures ionic clusters and increases anionic transport heat for high n-type thermopower",domain_curated_rule,0.97
P0177,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,"cotton-carbon photothermal fabric hanging evaporator with cation-exchange membrane and Ag/AgCl osmotic generator | solar evaporation concentrates brine, and salinity gradient across membrane produces electricity via osmotic ion transport",domain_curated_rule,0.97
P0177,C188B56F6F1,ion-selectivity membrane transport,transport_mechanism,transport mechanism,material+mechanism+abstract,"cotton-carbon photothermal fabric hanging evaporator with cation-exchange membrane and Ag/AgCl osmotic generator | solar evaporation concentrates brine, and salinity gradient across membrane produces electricity via osmotic ion transport",domain_curated_rule,0.97
P0179,C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,material+mechanism+abstract,I-/I3- redox electrolyte with methylcellulose and KCl | thermoresponsive methylcellulose hydrophobic interaction with I3- switches polarization; gelation and KCl complexation enhance redox entropy/concentration difference,domain_curated_rule,0.97
P0179,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,I-/I3- redox electrolyte with methylcellulose and KCl | thermoresponsive methylcellulose hydrophobic interaction with I3- switches polarization; gelation and KCl complexation enhance redox entropy/concentration difference,domain_curated_rule,0.97
P0180,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,PAM/CMC double-network gel with Li2SO4 and [Fe(CN)6]4-/3- | Li2SO4 thermodiffusion and ferri/ferrocyanide thermogalvanic redox couple to produce high ionic Seebeck effect,domain_curated_rule,0.97
P0180,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PAM/CMC double-network gel with Li2SO4 and [Fe(CN)6]4-/3- | Li2SO4 thermodiffusion and ferri/ferrocyanide thermogalvanic redox couple to produce high ionic Seebeck effect,domain_curated_rule,0.97
P0180,CB25BC3FC14,double/interpenetrating network,gel_microstructure,network structure,material_raw,double-network,controlled_rule,0.94
P0180,CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,network structure,material+mechanism+abstract,PAM/CMC double-network gel with Li2SO4 and [Fe(CN)6]4-/3- | Li2SO4 thermodiffusion and ferri/ferrocyanide thermogalvanic redox couple to produce high ionic Seebeck effect,domain_curated_rule+prediction_family_collapse,0.97
P0180,CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,material+mechanism+abstract,PAM/CMC double-network gel with Li2SO4 and [Fe(CN)6]4-/3- | Li2SO4 thermodiffusion and ferri/ferrocyanide thermogalvanic redox couple to produce high ionic Seebeck effect,domain_curated_rule,0.97
P0181,C9B6878E079,photothermal-thermoelectric coupling,device_mechanism,multimodal conversion,material_raw,photothermal evaporator/thermogalvanic,controlled_rule,0.94
P0182,C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,mechanism_raw,hydrogen bonding,controlled_rule,0.94
P0182,C10D3798CF7,selective solvation,solvation_entropy,solvation,material+mechanism+abstract,"organohydrogel thermocell with chaotropic comonomer and chaotropic cosolvent | chaotropic effect disrupts hydrogen bonding, increases polymer entropy elasticity, and enlarges entropy difference of thermogalvanic ions at subzero temperatures",domain_curated_rule,0.97
P0182,C5E47CC0A62,Hofmeister/chaotropic effect,gel_microstructure,specific-ion effect,material_raw,chaotropic,controlled_rule,0.94
P0182,C7932B1CE8C,chaotropic polymer-water disruption,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"organohydrogel thermocell with chaotropic comonomer and chaotropic cosolvent | chaotropic effect disrupts hydrogen bonding, increases polymer entropy elasticity, and enlarges entropy difference of thermogalvanic ions at subzero temperatures",domain_curated_rule,0.97
P0182,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"organohydrogel thermocell with chaotropic comonomer and chaotropic cosolvent | chaotropic effect disrupts hydrogen bonding, increases polymer entropy elasticity, and enlarges entropy difference of thermogalvanic ions at subzero temperatures",domain_curated_rule,0.97
P0183,C41BE9B5F0E,solvation-shell remodeling,solvation_entropy,solvation,material+mechanism+abstract,"Fe(CN)6 3-/4- and Fe3+/Fe2+ liquid redox pairs in water/acetone solvents | acetone-rich solvation shells alter solvent dipole-orientation disorder around Fe ions, increasing redox thermopower",domain_curated_rule,0.97
P0185,C23B9BED21A,ionic conduction,transport_mechanism,ionic transport,abstract,ion conduction,controlled_rule,0.94
P0185,C96681C9193,ion channels,transport_mechanism,transport mechanism,abstract/material/mechanism,ion channels,cleaned_open_concept,0.78
P0186,C5E63317596,hierarchical porous electrode interface,electrode_interface,interface/kinetics mechanism,material+mechanism+abstract,self-assembled porous aerogel sheet electrodes for thermocells | thin porous aerogel electrodes balance compactness and redox-active surface area to increase thermogalvanic output current,domain_curated_rule,0.97
P0186,CF2C5201A37,porous-electrode area enhancement,electrode_interface,electrode architecture,abstract,"surface area for the thermogalvanic effect, resulting in enhanced output current density. This balances the desirable traits of electrode compactness with abundant redox",controlled_rule,0.94
P0188,C17A556FB4A,double-network hydrogel mechanics,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"pyrazine organic redox couples, especially 2,5-pyrazinedicarboxylic acid dihydrate in PVA/PAAm hydrogel | pyrazine functional groups tune redox entropy; PDCA hydrogel delivers high ionic Seebeck coefficient for wearable TEGs",domain_curated_rule,0.97
P0188,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"pyrazine organic redox couples, especially 2,5-pyrazinedicarboxylic acid dihydrate in PVA/PAAm hydrogel | pyrazine functional groups tune redox entropy; PDCA hydrogel delivers high ionic Seebeck coefficient for wearable TEGs",domain_curated_rule,0.97
P0188,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"pyrazine organic redox couples, especially 2,5-pyrazinedicarboxylic acid dihydrate in PVA/PAAm hydrogel | pyrazine functional groups tune redox entropy; PDCA hydrogel delivers high ionic Seebeck coefficient for wearable TEGs",domain_curated_rule,0.97
P0188,CB25BC3FC14,double/interpenetrating network,gel_microstructure,network structure,abstract,double-network,controlled_rule,0.94
P0188,CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,network structure,material+mechanism+abstract,"pyrazine organic redox couples, especially 2,5-pyrazinedicarboxylic acid dihydrate in PVA/PAAm hydrogel | pyrazine functional groups tune redox entropy; PDCA hydrogel delivers high ionic Seebeck coefficient for wearable TEGs",domain_curated_rule+prediction_family_collapse,0.97
P0189,CC5968B917E,convection and mass transport,transport_mechanism,mass transport,material_raw,convection,controlled_rule,0.94
P0190,CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,network structure,material+mechanism+abstract,"p-type and n-type dynamic-crosslinked thermogalvanic hydrogels in stretchable hydrogel thermocouple | P/N thermogalvanic hydrogels maintain Seebeck sensitivity under strain, decoupling temperature sensing from stretching",domain_curated_rule+prediction_family_collapse,0.97
P0191,C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,material+mechanism+abstract,"Fe(CN)6 3-/4- thermoelectric hydrogel with polyphenol photothermal layer from pyrogallic acid oxidation | photothermal layer converts light to heat, protects redox ions from UV, and interlocks with hydrogel to enhance photo-thermo-electric conversion",domain_curated_rule,0.97
P0191,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"Fe(CN)6 3-/4- thermoelectric hydrogel with polyphenol photothermal layer from pyrogallic acid oxidation | photothermal layer converts light to heat, protects redox ions from UV, and interlocks with hydrogel to enhance photo-thermo-electric conversion",domain_curated_rule,0.97
P0191,C9B6878E079,photothermal-thermoelectric coupling,device_mechanism,multimodal conversion,abstract,"Photothermal devices and thermoelectric cells hold great promise for energy generation but integration of the two remains a considerable challenge in real-life power supply for sensors. Here, a novel photo-thermo-electric hydrogel (PTEH-Interlocking) was constructed by the synthesis of a photothermal layer on a thermoelectric hydrogel with the redox pair Fe(CN)63-/Fe(CN)64-. The smart design of using the oxidation of pyrogallic acid by Fe(CN)63- to construct the photothermal layer for photo-to-heat conversion protected the redox couple of the thermogalvanic",controlled_rule,0.94
P0191,CEA29EF1A99,thermal-gradient heat-transfer control,device_mechanism,thermal management,abstract,heat transfer,controlled_rule,0.94
P0192,C10D3798CF7,selective solvation,solvation_entropy,solvation,material+mechanism+abstract,"ferri/ferrocyanide organic-water electrolyte with added organic solvent | organic solvent rearranges ferri/ferrocyanide solvation shell and increases redox entropy change, boosting thermopower",domain_curated_rule,0.97
P0192,C41BE9B5F0E,solvation-shell remodeling,solvation_entropy,solvation,material+mechanism+abstract,"ferri/ferrocyanide organic-water electrolyte with added organic solvent | organic solvent rearranges ferri/ferrocyanide solvation shell and increases redox entropy change, boosting thermopower",domain_curated_rule,0.97
P0192,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"ferri/ferrocyanide organic-water electrolyte with added organic solvent | organic solvent rearranges ferri/ferrocyanide solvation shell and increases redox entropy change, boosting thermopower",domain_curated_rule,0.97
P0193,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,freeze-tolerant self-humidifying aqueous hydrogel electrolyte with low-concentration redox ions and Li+ hydration | Li+-water coordination and colligative effects suppress ice crystallization and preserve ion transport across wide temperatures,domain_curated_rule,0.97
P0193,C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,material+mechanism+abstract,freeze-tolerant self-humidifying aqueous hydrogel electrolyte with low-concentration redox ions and Li+ hydration | Li+-water coordination and colligative effects suppress ice crystallization and preserve ion transport across wide temperatures,domain_curated_rule,0.97
P0193,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,freeze-tolerant self-humidifying aqueous hydrogel electrolyte with low-concentration redox ions and Li+ hydration | Li+-water coordination and colligative effects suppress ice crystallization and preserve ion transport across wide temperatures,domain_curated_rule,0.97
P0193,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,freeze-tolerant self-humidifying aqueous hydrogel electrolyte with low-concentration redox ions and Li+ hydration | Li+-water coordination and colligative effects suppress ice crystallization and preserve ion transport across wide temperatures,domain_curated_rule,0.97
P0194,CF4A6A0344F,ion migration,transport_mechanism,ionic transport,mechanism_raw,ion migration,controlled_rule,0.94
P0195,C10D3798CF7,selective solvation,solvation_entropy,solvation,material+mechanism+abstract,"supramolecular host-guest redox entropy electrolyte for TREC | electrochemical guest encapsulation displaces ordered cavity water, tuning solvent entropy rather than only redox-ion solvation",domain_curated_rule,0.97
P0195,C6B063A770B,supramolecular host-guest redox entropy,solvation_entropy,solvation/entropy mechanism,material+mechanism+abstract,"supramolecular host-guest redox entropy electrolyte for TREC | electrochemical guest encapsulation displaces ordered cavity water, tuning solvent entropy rather than only redox-ion solvation",domain_curated_rule,0.97
P0195,C6C09287FDB,high-entropy redox/ion coupling,solvation_entropy,solvation/entropy mechanism,material+mechanism+abstract,"supramolecular host-guest redox entropy electrolyte for TREC | electrochemical guest encapsulation displaces ordered cavity water, tuning solvent entropy rather than only redox-ion solvation",domain_curated_rule,0.97
P0195,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"supramolecular host-guest redox entropy electrolyte for TREC | electrochemical guest encapsulation displaces ordered cavity water, tuning solvent entropy rather than only redox-ion solvation",domain_curated_rule,0.97
P0195,CD486BA800F,host-guest complexation,solvation_entropy,supramolecular interaction,material_raw,host-guest,controlled_rule,0.94
P0196,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,zinc-iodine thermal charging cell with Zn(NO3)2/Zn(CH3COO)2/ZnSO4 electrolytes and I-/I3- redox species | thermodiffusion of electrolyte ions plus I-/I3- conversion and Zn plating thermogalvanic processes generate high voltage and storage,domain_curated_rule,0.97
P0197,C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,material+mechanism+abstract,"chitosan-polyacrylamide-SiO2 hydrogel supercapacitor with 3D ion-channel hydration | functional groups confine water into polar corona, reduce thermally diffusing ion volume, and speed Li+ conduction for thermal charging",domain_curated_rule,0.97
P0197,C539540C36B,nanochannel-confined ion transport,transport_mechanism,ionic transport,material+mechanism+abstract,"chitosan-polyacrylamide-SiO2 hydrogel supercapacitor with 3D ion-channel hydration | functional groups confine water into polar corona, reduce thermally diffusing ion volume, and speed Li+ conduction for thermal charging",domain_curated_rule,0.97
P0197,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"chitosan-polyacrylamide-SiO2 hydrogel supercapacitor with 3D ion-channel hydration | functional groups confine water into polar corona, reduce thermally diffusing ion volume, and speed Li+ conduction for thermal charging",domain_curated_rule,0.97
P0197,C96681C9193,ion channels,transport_mechanism,transport mechanism,abstract/material/mechanism,ion channels,cleaned_open_concept,0.78
P0198,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,solar interfacial evaporation system coupled with thermogalvanic cell and reverse electrodialysis | temperature and salinity gradients mutually enhance ion transport across TGC/RED composite electrodes for steam-electric cogeneration,domain_curated_rule,0.97
P0199,C5E63317596,hierarchical porous electrode interface,electrode_interface,interface/kinetics mechanism,material+mechanism+abstract,PVA-CuSO4-Cu n-type quasi-solid thermocell with anisotropic polymer network and hierarchical electrodes | aligned ion transport pathways and optimized Cu/electrolyte interfaces improve thermogalvanic kinetics; salting-out strengthens mechanics,domain_curated_rule,0.97
P0199,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA-CuSO4-Cu n-type quasi-solid thermocell with anisotropic polymer network and hierarchical electrodes | aligned ion transport pathways and optimized Cu/electrolyte interfaces improve thermogalvanic kinetics; salting-out strengthens mechanics,domain_curated_rule,0.97
P0199,CABD4C9C815,salting-out confined ion gel,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA-CuSO4-Cu n-type quasi-solid thermocell with anisotropic polymer network and hierarchical electrodes | aligned ion transport pathways and optimized Cu/electrolyte interfaces improve thermogalvanic kinetics; salting-out strengthens mechanics,domain_curated_rule,0.97
P0199,CF652A991A2,salting-out,phase_or_species_transition,phase/species transition,mechanism_raw,salting-out,controlled_rule,0.94
P0201,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,ionic thermoelectric materials using thermodiffusion/Soret and thermogalvanic effects | perspective compares ion-based Seebeck mechanisms and strategies for near-ambient heat harvesting in quasi-solid i-TE materials,domain_curated_rule,0.97
P0201,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,ionic thermoelectric materials using thermodiffusion/Soret and thermogalvanic effects | perspective compares ion-based Seebeck mechanisms and strategies for near-ambient heat harvesting in quasi-solid i-TE materials,domain_curated_rule,0.97
