文章名,期刊名,DOI,年份,摘要,材料,机制
Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2023.145247,2023,"Quasi-solid-state electrolytes offer a cheap, leak-free, and scalable way to convert heat directly into electricity for wearable electronics. However, the limited temperature difference with the environment poses a challenge for the extensive application of thermoelectric gels. Currently, photo-thermal-electric (PTE) conversion is an environmentally-friendly technology to exploit the thermogalvanic effect of gels. Here, we report a smart lightdriven flexible PTE gel for self-powered human motion monitoring. The whole structure takes advantage of the low thermal conductivity and high output power of poly(vinyl alcohol)/polydimethylsiloxane (PVA-PDMS) gels with Fe2+/3+ as a redox pair, together with the local surface plasmon resonance (LSPR) of Au nanoparticles (AuNPs)@SiO2-PDMS composite film. This enables simultaneous high thermogalvanic and photothermal performance, with an open circuit voltage of up to 12 mV and a short circuit current exceeding 1.25 A m- 2 at a temperature difference of up to 9 degrees C under one sun. The PTE gel is fabricated into a proof-of-concept selfpowered patch, which can actively distinguish human motions in real time by recognizing the switching of solar radiation stimulated by arm swing. This work provides thermogalvanic gels with a new opportunity in selfpowered wearable sensing that may greatly promote the progress of intelligent medical electronics.",PVA-PDMS gel with Fe2+/Fe3+ redox pair and AuNPs@SiO2-PDMS photothermal film,Au plasmonic photothermal heating creates local temperature gradients that drive thermogalvanic gel output for motion sensing
Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,NANO ENERGY,10.1016/j.nanoen.2023.108612,2023,"In recent years, an increase in the use of wearable electronics has been observed in daily life due to the rapid development of personal medical health systems and the Internet of Things. Environment-friendly quasi-solidstate thermogalvanic hydrogels are enabled to convert low-grade heat into electricity and expected to be used for signal conversion in smart medical applications. However, existing wearable models in nursing are not entirely applicable for aphasic patients. Herein, we introduced a thermogalvanic interpenetrating network hydrogel (TGIPNH) with [Fe(CN)6]3-/[Fe(CN)6]4- as a redox pair and KCl as a ion provider for thermodiffusion, which not only has good flexibility but also prominent thermoelectric property with the thermal current up to 124 & mu;A at the temperature difference of 10 K. Relying on the gel's sensitive correlative thermoelectric response to temperature triggered by a finger and in combination with Morse Code, a self-powered gel wristband for information conversion has been developed to provide real-time help and assistance to aphasic patients. This gel-based wristband device can be potentially applied as a supplementary interaction route for them who have language impairment, especially in intelligent healthcare and emergency rescue.",interpenetrating thermogalvanic hydrogel with [Fe(CN)6]3-/4- and KCl,finger heat drives redox thermogalvanic current while KCl supports thermodiffusion for self-powered Morse-code information conversion
Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,ENERGY & ENVIRONMENTAL SCIENCE,10.1039/d4ee01642d,2024,"Thermogalvanic cells offer scalable low-grade waste heat recovery using tunable electrode-dependent thermopower and electrolyte-dependent thermal conductivities. However, the use of single-phase electrodes thermodynamically curbs the entropy difference, limiting the thermopower enhancement. Here, we show that phase transforming electrodes achieve significantly enhanced thermopower using the melting phase transition of bulk NaxK alloys. Under both temporal and spatial temperature gradients, the electrodes exhibit significantly increased thermopower up to 26.1 mV K-1 across the melting point and the generated voltages of 261 mV under 10 K temperature gradient. We also show that stabilizing the liquid metal electrode-electrolyte interface plays a critical role in evaluating the thermopower associated with the phase transition. The strategies demonstrated in this work suggest potential design guidelines towards optimizing thermogalvanic cells to specific temperature ranges. Exploiting the entropy of fusion among thermogalvanic devices and the associated configurational entropy change of bulk alkali metal alloys enables significant boosting of the thermopower from 1.5 mV K-1 to 26.1 mV K-1 for Na2+xK alloys.",Na-K alloy phase-transforming electrodes in thermogalvanic cells,solid-to-liquid melting entropy and configurational entropy of alkali alloy electrodes sharply increase thermopower across transition
Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor,NANO ENERGY,10.1016/j.nanoen.2024.110329,2024,"Low-grade heat energy (below 100 degrees C) is abundantly available in the natural environment, yet effective utilization remains challenging. Liquid-state thermocells, also known as thermo-electrochemical cells or thermogalvanic cells, have emerged as promising solution for converting low-grade heat into electrical energy due to their high Seebeck coefficients (mV & sdot;K-1). However, traditional liquid-state thermocells suffer from the issue of liquid leakage caused by frequent cooling or heating during operation. Here in this work, we propose thermogalvanic hydrogels through introducing redox ions into hydrogel framework. The thermoelectric performance of the proposed hydrogel is highly dependent on the ion concentration, which is attributed to the confined ion transportation in micro/nano channels caused by the salting out effect. After the optimization of thermoelectric parameters, a Pi-shaped thermocell composed of three p-n pairs is fabricated to harvest low-grade body heat energy. An open-circuit voltage of 163 mV, a short-current density of 0.7 mA & sdot;m-2 and a maximum power density of 26.7 mu W & sdot;m-2 are achieved at a temperature difference of 30 K. To further demonstrate the practical potential, the thermoelectric generator is integrated with a lactic acid sensor to sensitively detect the lactic acid concentration without any external power supplies.",thermogalvanic hydrogel with redox ions in micro/nanochannels for lactic acid sensor,salting-out confined ion transport tunes thermoelectric performance and powers lactic acid sensing
High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,ADVANCED ENERGY MATERIALS,10.1002/aenm.202404151,2025,"Thermogalvanic cells (TGCs) convert heat into electricity through thermoelectrochemical reactions of redox couples, generating a millivolt-scale Seebeck coefficient. However, TGCs based on liquid electrolytes are prone to leakage, whereas quasi-solid-state TGCs (QTCs) using gel-based electrolytes typically have low power outputs due to slow ion diffusion and limited reaction rates. Herein, we present novel strategies for developing high-performance all-flexible QTCs using both metallized fibril-based textile electrodes with extremely large surface area, (specifically Ni textiles), and structure-breaking salts for hydrogel electrolytes. The electrodes are oxidized to create Ni and Ni oxide heterostructures, forming numerous O vacancy defects that enhance redox reactions. Meanwhile, the structure-breaking salts facilitate redox reactions and improve ion diffusion by disrupting water structures in the hydrogel electrolyte. These advancements significantly enhance the performance of the QTCs without the need for precious-metal electrodes, achieving a remarkable maximum power density of 4.05 mW m-2 K-2 and a record-high effective cell conductivity of 17.3 S m-1, compared to previously reported QTCs. Finally, the proposed QTCs can generate a stable open-circuit voltage and output power for wearable applications owing to the flexibility of the electrodes and electrolyte, achieving successful electronic device operation using body heat from the forearm (Delta T approximate to 2 K).",quasi-solid thermogalvanic cells with Ni textile/Ni oxide electrodes and structure-breaking salts,oxidized Ni textile O-vacancy defects enhance redox reactions and structure-breaking salts improve ion diffusion
Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,NANO-MICRO LETTERS,10.1007/s40820-022-00824-6,2022,"The design of power supply systems for wearable applications requires both flexibility and durability. Thermoelectrochemical cells (TECs) with large Seebeck coefficient can efficiently convert low-grade heat into electricity, thus having attracted considerable attention in recent years. Utilizing hydrogel electrolyte essentially addresses the electrolyte leakage and complicated packaging issues existing in conventional liquid-based TECs, which well satisfies the need for flexibility. Whereas, the concern of mechanical robustness to ensure stable energy output remains yet to be addressed. Herein, a flexible quasi-solid-state TEC is proposed based on the rational design of a hydrogel electrolyte, of which the thermogalvanic effect and mechanical robustness are simultaneously regulated via the multivalent ions of a redox couple. The introduced redox ions not only endow the hydrogel with excellent heat-to-electricity conversion capability, but also act as ionic crosslinks to afford a dual-crosslinked structure, resulting in reversible bonds for effective energy dissipation. The optimized TEC exhibits a high Seebeck coefficient of 1.43 mV K-1 and a significantly improved fracture toughness of 3555 J m(-2), thereby can maintain a stable thermoelectrochemical performance against various harsh mechanical stimuli. This study reveals the high potential of the quasi-solid-state TEC as a flexible and durable energy supply system for wearable applications.",flexible quasi-solid hydrogel thermocell with multivalent redox ions,redox ions provide thermogalvanic conversion and reversible ionic crosslinks for mechanical robustness
Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2023.141274,2023,"Harvesting the ubiquitous low-grade heat based on thermoelectric materials is an effective approach to ensure sustainable development. Quasi-solid thermogalvanic cell based on hydrogel has attracted considerable atten-tion. However, challenge arise from the limited working temperature range and poor mechanical properties, thus severely restrict their long-term stability and application scenarios, especially under harsh environment. Herein, a robust, flexible and eco-friendly quasi-solid thermogalvanic cell is reported based on natural polymer bacterial cellulose confined with Fe(CN)63- /4-redox couple and hygroscopic salts. The as-fabricated bacterial cellulose -based thermogalvanic cell (BC-TGC) possesses excellent mechanical properties, exhibiting a tension strength of 3.4 MPa, a Young's modulus of 2.58 MPa and a high toughness of 644.6 KJ m- 3. The introduction of hy-groscopic salts (LiBr) endows the BC-TGC with excellent anti-drying and anti-freezing properties. The thermo-electric performance of BC-TGCs was investigated thoroughly, which could generate steady electricity under a small temperature gradient in a wide working range of-50 to 50 degrees C. The multifunctional applications of the BC-TGC were demonstrated, indicating that they could adapt to different temperatures and harsh environments, which greatly expanded the application scenarios of TGC. We expect that this study will provide an effective solution for portable, flexible and robust power supplies fabrication for low-grade heat harvesting.",bacterial cellulose thermogalvanic cell with Fe(CN)6 3-/4- and LiBr hygroscopic salt,bacterial cellulose confines redox ions and LiBr prevents drying/freezing for wide-temperature heat harvesting
Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,CHEMSUSCHEM,10.1002/cssc.202401749,2025,"Thermogalvanic cells with organic redox couple (OTGCs) have received significant attention for low-grade heat harvesting due to their high thermopower, versatile molecular design, and tailorable physiochemical properties. However, their thermogalvanic conversion power output is largely hindered by slow kinetic rate, which limits practical applications. In this work, we demonstrate a high-performance liquid quinone/hydroquinone (Q/HQ) based OTGC by synergistic coupling redox reaction and thermogalvanic corrosion. By adding hydrochloric acid (HCl) into electrolyte solution, HCl not only boosts intrinsic redox kinetic rate of Q/HQ, but also induces rapid thermogalvanic corrosion of the copper electrode. Notably, these two processes reinforce each other kinetically. Consequently, the Q/HQ-based OTGC exhibits a rapid kinetic rate alongside an increased thermopower, leading to a significantly enhanced power output density. As a result, the Q/HQ-based OTGC achieves an enhanced effective conductivity sigma eff of 4.22 S m-1 and a record high normalized power density Pmax (Delta T)-2 of 108.7 mu W m-2 K-2. This strategy provides a feasible and effective method for development of high-performance OTGCs.",quinone/hydroquinone organic thermogalvanic cell with HCl and copper electrode,"HCl accelerates Q/HQ redox kinetics and induces thermogalvanic copper corrosion, synergistically boosting output"
A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,SOLAR ENERGY,10.1016/j.solener.2024.112939,2024,"Low-grade heat sources like solar thermal radiation offer a vast energy resource. However, their low utilization rate limits energy recovery and conversion efficiency. Solar thermogalvanic cells, utilizing solar thermal radiation as a heat source, are considered an effective way to harness solar energy. However, their widespread application is hindered by performance instability due to periodic solar radiation fluctuations. This study developed composite electrodes with high conductivity, excellent photothermal properties, and heat storage capabilities, and applied them in thermogalvanic cells. Compared to traditional thermal chemical cells, the new heat storage electrode materials significantly enhance the stability and energy output efficiency. The results show that under temperature fluctuations, the new thermal chemical cells (EG/SA/LA-TGCs) significantly improve power output stability. The temperature difference increased from 6 degrees C to 17 degrees C, with the open-circuit voltage rising to 32 mV. Thanks to the electrodes' heat storage and release capability, the heat released by the electrodes sustains the cell's power generation. The discharge duration per unit volume of the electrode reached 12.74 min/cm(3), 15 times longer than traditional thermal chemical cells.",EG/SA/LA composite heat-storage electrodes in solar thermogalvanic cells,photothermal/phase-change heat storage smooths solar fluctuations and sustains temperature difference for longer discharge
Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,JOURNAL OF MATERIALS CHEMISTRY C,10.1039/d3tc04133f,2024,"Non-contact sensors avoid physical contact with the external environment, ensuring long-term reliability and offering a broad spectrum of sensing applications. However, the requirement for an external power supply, poor mechanical properties, low output performance, and high costs limits their application. Herein, non-contact self-powered electronics are proposed based on a thermoelectric organohydrogel prepared using a rapid freeze-thaw method where Cu/Cu2+ serves as a redox couple in the binary solvent of DMSO/water. The organohydrogel exhibits favorable mechanical, anti-freezing, and anti-drying properties and maintains stable thermoelectric performance at temperatures ranging from 253 K to 333 K. By assembling with PDMS/CuO/Cu electrodes, the gel generates a maximum temperature difference of approximately 14.8 K and produces an open-circuit voltage of 15.2 mV under one sun via photothermal conversion. Successful applications of non-contact self-powered electronics based on photo-thermal-electric (PTE) conversion include remote-controlled small electronics, wireless information interaction, and solar intensity monitoring in greenhouses. In the long run, this work has the potential to achieve efficient management and intelligent control of agricultural production, presenting vast application prospects in the field of smart agriculture. Non-contact self-powered electronics are proposed based on a thermoelectric hydrogel, which can be applied in remote-controlled small electronics, wireless information interaction and monitoring solar intensity via photo-thermal-electric conversion.",Cu/Cu2+ DMSO/water thermoelectric organohydrogel with PDMS/CuO/Cu electrodes,"photo-thermal-electric conversion creates a temperature difference across Cu/Cu2+ organohydrogel, generating self-powered non-contact sensing output"
Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,NANO LETTERS,10.1021/acs.nanolett.3c03818,2023,"Thermogalvanic hydrogels have been quickly developed and are widely used in thermal energy harvesting. However, the freezing behaviors of thermogalvanic hydrogels at subzero temperatures greatly limit their practical applications. Herein, we design an antifreezing thermogalvanic hydrogel based on [Fe(CN)(6)](3-/4-) ions for thermoelectric power generation in ultralow temperature environments. The antifreezing thermogalvanic hydrogels show excellent flexibility at -80 degrees C owing to the hydrogen bonding between ethylene glycol and water molecules. Even after 500 cyclic tensile strains, the thermogalvanic hydrogels can still maintain excellent mechanical stability, and the Seebeck coefficient is as high as 1.43 mV/K, corresponding to a large retention rate of similar to 95%. Moreover, we demonstrate a wearable thermoelectric shoe based on antifreezing thermogalvanic hydrogels for harvesting human thermal energy in a simulated winter environment of -30 degrees C, and the electricity can drive a green LED. This work provides important guidance for the design and optimization of antifreezing thermogalvanic hydrogels.",ethylene glycol/water antifreezing hydrogel with [Fe(CN)6]3-/4- redox ions,ethylene glycol-water hydrogen bonding suppresses freezing while ferri/ferrocyanide thermogalvanic redox converts human heat to electricity
Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,ADVANCED ENERGY MATERIALS,10.1002/aenm.202303358,2024,"Quasi-solid thermogalvanic hydrogels hold great promise in harvesting low-grade thermal energy, yet, they are still far from practical application owing to relatively low power output. Herein, through liquid nitrogen quenching-induced structure engineering, a high-performance stretchable thermogalvanic hydrogel thread with a high specific output power density of 2227.5 mu W m-2 K-2 and a large thermopower of 4.5 mV K-1 is designed. After liquid nitrogen quenching, both the thermopower and electrical conductivity have been greatly improved compared to natural cooling. The excellent properties are attributed to liquid nitrogen quenching-induced grain refinement and precipitation inhibition. It is a novel and general preparation method for high-performance and homogeneous thermogalvanic hydrogels. Finally, a thermogalvanic hydrogel array is demonstrated to be capable of driving a low-power motor and charging a mobile phone by low-grade thermal energy harvesting, indicating a great potential for practical applications in human daily life. Stretchable thermogalvanic hydrogels with high output power densities are fabricated by ultrafast cooling with liquid nitrogen quenching. Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",stretchable thermogalvanic hydrogel thread prepared by liquid-nitrogen quenching,"ultrafast quenching refines grains and inhibits thermosensitive crystal precipitation, increasing ion utilization and promoting redox reactions"
A self-powered thermogalvanic organohydrogel-based touch-to-speech Braille transmission interface with temperature resistance and stretchability,COMPOSITES SCIENCE AND TECHNOLOGY,10.1016/j.compscitech.2023.110077,2023,"Human-machine interaction has made a great advance in Braille information communications, enabling the interactions between visually impaired people, normal people, and auxiliary devices. Herein, a thermogalvanic organohydrogel electrolyte (OHE) was fabricated via a facile freezing-thawing route with Sn2+/Sn4+ as a redox couple and NaCl as an additional electrolyte, which demonstrates a favorable mechanical and thermoelectric performances with a high Seebeck coefficient of -1.62 mV/K. Owing to the intense hydrogen bonds between water and DMSO, the OHE manifests anti-freezing, non-drying properties and a wide working temperature range (-20 to 60 degrees C), thus sustaining a stable output performance in harsh surroundings. Considering the welldesigned comprehensive performance, the OHE was further integrated into a self-powered Braille transmission interface that can easily convert regular touches into visual text and auditory feedback, realizing self-powered real-time Braille transmission and readout for the first time. The strategy of applying the OHE to a phonic Braille transmission interface reveals the considerable possibilities of heat-to-electricity conversion in information transfer and human-computer interaction.",DMSO/water thermogalvanic organohydrogel electrolyte with Sn2+/Sn4+ and NaCl,Sn2+/Sn4+ thermogalvanic redox converts touch/temperature differences to signals while DMSO-water hydrogen bonding gives anti-freezing and anti-drying behavior
Thermogalvanic bricks: optimising large dimension thermocells for air and water valorisation,SUSTAINABLE ENERGY & FUELS,10.1039/d4se01498g,2025,"Thermogalvanic cells can potentially valorise the huge quantity of energy available as waste heat; using entropy-driven thermoelectrochemistry they can convert a thermal gradient into electricity. Most investigations exploit a thermal source (e.g. hot water, the human body, sunlight, electronics) via a heat exchanger (metal pipe, skin, housing, etc), combined with an unlimited heat sink (e.g. pumped cold water). Limited studies have used ambient air as the heat sink. This study is believed to be the first to explore using air as both the thermal source and heat sink. It compares thermogalvanic cell performance when using water-water and air-air as the thermal energy sources and sinks, respectively, for devices with relatively large physical dimensions (25 to 100 mm wide). Gelation improved power output under both scenarios, due to enhanced thermal isolation of the electrodes; power decreased with increasing width in the water-water setup, but power increased with increasing width for air-air harvesting. Water-water yielded higher power overall, yet the air-air system operated passively and could be further optimised for real-world applications, i.e. as thermogalvanic bricks or panels in building materials.",large-dimension gelled thermogalvanic thermocells using water-water or air-air thermal source/sink,gelation thermally isolates electrodes and maintains larger temperature differences for entropy-driven thermogalvanic power generation
Self-Assembled Asymmetric Electrodes for High-Efficiency Thermogalvanic Cells,ADVANCED ENERGY MATERIALS,10.1002/aenm.202302011,2023,"The thermogalvanic cell (TGC) is considered a promising thermoelectric device for directly converting low-grade waste heat into electricity due to its low-cost and scalable properties. However, the low output and conversion efficiency limit its practical application. Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber. Because of the temperature-dependence reaction activity between CoO with [Fe(CN)6]4-, the asymmetric electrodes of Co2Fe(CN)6 and CoO nanowires array on carbon cloth fiber are constructed at the hot anode and cold cathode, respectively. These self-assembled asymmetric electrodes exhibit specific catalysis toward electrode reactions at both ends of TGC, leading to a significant reduction in electronic activation energy. It is demonstrated that the electrodes have high catalytic activity and high specific surface area, enabling the construction of a high-efficiency TGC with a Carnot-relative efficiency (& eta;r) of 14.8% and a maximum output power density (Pmax) of 24.5 W m-2. This work offers an asymmetric electrode engineering pathway for the continuous evolution of TGCs. Self-assembled asymmetric catalysis electrodes composed of CoO and Co2Fe(CN)6 arrays are synthesized by taking advantage of the temperature-dependent reaction activity between CoO and [Fe(CN)6]4- to achieve specific catalytic properties. Due to its exceptional performance, record-high thermoelectric conversion performance of TGC is achieved with a & eta;r of 14.8% and Pmax of 24.5 W m-2.image",aqueous [Fe(CN)6]3-/[Fe(CN)6]4- thermogalvanic cell with CoO nanowire/carbon-cloth and Co2Fe(CN)6/CoO asymmetric electrodes,temperature-dependent CoO-ferrocyanide reaction self-assembles asymmetric catalytic electrodes that lower electronic activation energy at hot and cold sides
Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy,NANO ENERGY,10.1016/j.nanoen.2022.107449,2022,"Aqueous thermocells are environment-friendly power sources capable of converting low-grade thermal energy into electricity to power small electronics in various application scenarios free from batteries. However, its poor portability and transparency, mechanical fragility, and low output performance impose a burden on its extensive application. Here, we demonstrate a highly transparent, flexible and stretchable gel with the cross-linked PVA/gelation double network frame by introducing DMSO/water binary solvent to suppress the formation of hydrogen bonds along the three dimensional directions, forming numerous microcrystalline regions. When the temperature difference is 40 K, the gel-based thermogalvanic cell achieves an open-circuit voltage of about 63 mV with the maximum power density of about 1.2 mW m(-2). By implanting a PDMS solar absorber, the assembled solar thermoelectric gel device delivers a maximum temperature difference of about 11.2 K with an open-circuit voltage up to 16.6 mV and short-circuit current of more than 100 mu A, respectively, upon exposure to sunshine over 12 h. This work may provide new ideas for harnessing ambient heat and solar energy to electrical energy conversion.",cross-linked PVA/gelatin hydrogel in DMSO/water with PDMS solar absorber,binary solvent forms microcrystalline stretchable transparent gel while photothermal heating drives thermogalvanic voltage under sunlight
Thermogalvanic Hydrogel for Synchronous Evaporative Cooling and Low-Grade Heat Energy Harvesting,NANO LETTERS,10.1021/acs.nanolett.0c00800,2020,"Efficient heat removal and recovery are two conflicting processes that are difficult to achieve simultaneously. Here, in this work, we pave a new way to achieve this through the use of a smart thermogalvanic hydrogel film, in which the ions and water undergo two separate thermodynamic cycles: thermogalvanic reaction and water-to-vapor phase transition. When the hydrogel is attached to a heat source, it can achieve efficient evaporative cooling while simultaneously converting a portion of the waste heat into electricity. Moreover, the hydrogel can absorb water from the surrounding air to regenerate its water content later on. This reversibility can be finely designed. As an applicative demonstration, the hydrogel film with a thickness of 2 mm was attached to a cell phone battery while operating. It successfully decreased the temperature of the battery by 20 degrees C and retrieved electricity of 5 mu W at the discharging rate of 2.2 C.",smart thermogalvanic hydrogel film with ions and water,"ions undergo thermogalvanic redox conversion while water evaporation removes heat, enabling simultaneous evaporative cooling and electricity generation"
Anhydrous Thermogalvanic Gel for Simultaneous Waste Heat Recovery and Thermal Management of Electronics,ACS APPLIED POLYMER MATERIALS,10.1021/acsapm.3c00481,2023,"Due to their distinctive characteristics of adequate flexibility, stability, and functional diversity, thermogalvanic gels have demonstrated tremendous promise in the area of renewable energy sources. However, their inability to adapt to low or high temperature environments greatly limits their practical applications. In this work, an anhydrous thermogalvanic gel prepared from dimethyl sulfoxide (DMSO)/ethylene glycol (EG) binary organic solvent is developed with Fe3+/2+ as a redox pair, which displays an exceptional temperature tolerance (-80 to 80 degrees C) and remarkable antidrying property (80% weight retention at 70 degrees C after 12 h), while maintaining stable mechanical flexibility and electrical conductivity over a wide temperature range. These merits result from the formation of numerous hydrogen bonds between DMSO and EG molecules, which prevent crystallization and hinder evaporation of the solvent simultaneously. As an applicative demonstration, by placing the thermogalvanic gel on the surface of a charging battery/charger/chip, it acts as a thermal-conductive network while performing the thermal-electric conversion, revealing a viable strategy for simultaneous waste heat recovery and thermal management. This research provides new insight into the creation of flexible thermoelectric materials for energy recovery and self-powered wearable electronics.",anhydrous DMSO/ethylene glycol thermogalvanic gel with Fe3+/Fe2+,DMSO-EG hydrogen bonding prevents crystallization/evaporation and maintains flexible thermogalvanic conversion across wide temperatures
"Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells",JOURNAL OF CHEMICAL PHYSICS,10.1063/5.0131731,2023,"Thermogalvanic cells convert waste heat directly to electric work. There is an abundance of waste heat in the world and thermogalvanic cells may be underused. We discuss theoretical tools that can help us understand and therefore improve on cell performance. One theory is able to describe all aspects of the energy conversion: nonequilibrium thermodynamics. We recommend to use the theory with operationally defined, independent variables, as others have done before. These describe well-defined experiments. Three invariance criteria serve as a basis for any description: of local electroneutrality, entropy production invariance, and emf's independence of the frame of reference. Alternative formalisms, using different sets of variables, start with ionic or neutral components. We show that the heat flux is not the same in the two formalisms and derive a new relationship between the heat fluxes. The heat flux enters the definition of the Peltier coefficient and is essential for the understanding of the Peltier heat at the electrode interfaces and of the Seebeck coefficient of the cell. The Soret effect can occur independently of any Seebeck effect, but the Seebeck effect will be affected by the presence of a Soret effect. Common misunderstandings are pointed out. Peltier coefficients are needed for the interpretation and design of experiments.",thermogalvanic cell transport model with ionic/neutral-component formalisms,"nonequilibrium thermodynamics relates Seebeck, Peltier, and Soret effects; heat-flux definition controls interpretation of interfacial heat and cell thermopower"
Self-Powered Respiratory Monitoring Strategy Based on Adaptive Dual-Network Thermogalvanic Hydrogels,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.2c14239,2022,"As a low-grade sustainable heat source, the breath waste heat exhaled by human bodies is always ignored, although producing a greater temperature than ambient. Converting this heat into electric energy for use as power sources or detecting signals is extremely important in cutting-edge wearable medicine. This heat-to-electricity conversion is possible with thermogalvanic hydrogels. However, challenges remain in their antifreezing and antidrying properties, significantly restricting the durability of thermogalvanic gels in practical applications. Herein, a dual-network poly(vinyl alcohol)/gelatin (PVA/GEL) gel thermogalvanic device with Fe(CN)6 3-/4- as a redox pair is developed, with an outstanding low-temperature durability and antidrying capacity. These features result from the use of a binary H2O/GL (glycerin) solvent to limit hydrogen bonding between water molecules. The prepared thermogalvanic gel patch is capable of easily converting physiological data into understandable electrical impulses using the temperature difference between the ambient environment and the heat produced by human breathing, realizing a simple self-powered respiratory monitoring strategy for the first time. Even below zero temperature, the gel patch-based mask can operate normally, implying it fits into low-temperature environments. This study sheds fresh light on the development of active wearable medical electronics that are powered by demic low-level heat.",PVA/gelatin dual-network H2O/glycerin thermogalvanic gel with Fe(CN)6 3-/4-,glycerin-water solvent limits water hydrogen bonding for antifreezing/antidrying durability while breath heat drives thermogalvanic respiratory signals
Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,NANO ENERGY,10.1016/j.nanoen.2022.108077,2023,"Thermoelectric hydrogels can be used as energy conversion devices to convert low-grade heat into practical electricity for sustainable energy supply. However, current redox couple-based thermogalvanic gel electrolytes contain toxic metal elements, limiting their non-toxic and environmentally sustainable development. Here, a stretchable, flexible gel thermoelectric device is created by introducing a novel non-toxic redox couple of SO42-/ SO32-for the first time, which exhibits a high Seebeck coefficient (Se) of 1.63 mV K-1 at the optimal redox couple concentration of 0.1 M. The tensile/compressive stress and deformation at break of the hydrogel electrolyte achieves a superior index due to the hybrid structure formed between PEDOT: PSS and SO42-/SO32-ion-promoted crosslinking PVA network. By subtly doping additional electrolyte ions, the gel affords a favorable ionic con-ductivity and thermoelectric performance. Furthermore, this PVA-SO4/3 2-hydrogel shows the capacity of har-vesting biothermal energy for operating small electronics at body temperature. This work breaks with conventional redox couples and represents a step towards green sustainable self-powered wearables using a new redox couple with a favorable thermoelectric performance.",PVA-PEDOT:PSS hydrogel with SO42-/SO32- redox couple,SO42-/SO32- provides non-toxic thermogalvanic redox and promotes PVA crosslinking/PEDOT:PSS hybrid structure for biothermal energy harvesting
Solvent effect on the Seebeck coefficient of Fe2+/Fe3+ hydrogel thermogalvanic cells,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d1ta10508f,2022,"Thermogalvanic (TG) cells offer a clean and scalable energy conversion pathway for the recovery of low-grade waste heat. Enhancing the voltage generated by a single TG cell is crucial for widespread application in the internet of things (IoT) and wearable electronics. But the mechanism for manipulating the thermo-voltage is still unclear. In this work, we investigate the solvent effect on the TG performance by introducing nine organic solvents with different Gutmann donor numbers (DNs) into an aqueous Fe2+/Fe3+ electrolyte. A strong reverse correlation between the solvent DN and the Seebeck coefficient of the TG cell is observed. Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date. A combination of experiments and molecular dynamics is used to elucidate the role of solvent DN on the Seebeck values. It is found that the difference in entropy contributions from changing solvation shell sizes as a result of organic solvent addition is the origin of the observed dependency between the Seebeck coefficient and solvent DN. This work provides a new perspective for the enhancement of TG performance, and this approach can be extended to other electrolyte systems and realize the application of TG cells.",Fe2+/Fe3+ hydrogel thermogalvanic cells with organic solvents including tetramethylene sulfone,"organic solvent donor number changes Fe2+/Fe3+ solvation-shell entropy difference, tuning and boosting Seebeck coefficient"
