mention_id,paper_id,domain,local_node_id,raw_phrase,legacy_role,semantic_role,claim_id,quote,phrase_location_status,phrase_start_char,phrase_end_char,phrase_span_candidates,semantic_review_status,reconstruction_run_id,audit_id,draft_concept_id,draft_definition,source_role,abstract_locator
iTE:P0824:n3,P0824,iTE,n3,electrical conductivity,physical_consequence,,iTE:P0824:claim_block,"The valley with a high band degeneracy consists of the bands with a weak band dispersion, leading to large magnitudes of the Seebeck coefficient but low electrical conductivity.",exact_unique_in_quote,424,447,"[[424, 447]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0824
iTE:P0899:n2,P0899,iTE,n2,electrical conductivity,physical_consequence,,iTE:P0899:claim_block,"ZnO is a promising thermoelectric ceramic material, but the low electrical conductivity and high thermal conductivity restrict its satisfactory thermoelectric performance. Chemical doping is an effective way to improve the thermoelectric properties of ZnO. Due to the valence states and similar ionic radii of Fe3+ and Zn2+, Fe was selected as the effective dopant for ZnO. In this work, Fe-doped ZnO samples were prepared using hydrothermal synthesis and microwave sintering technology under oxygen-depleted conditions. The electrical conductivity of sintered Fe-doped ZnO was greatly improved owing to the energy band adjustment.",multiple_exact_matches_in_quote,,,"[[64, 87], [525, 548]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0899
iTE:P0943:n2,P0943,iTE,n2,electrical conductivity,physical_consequence,,iTE:P0943:claim_block,"Increasing the Ag content enhances the performance by enlarging the electrical conductivity, but comes at the cost of lower stability.",exact_unique_in_quote,808,831,"[[808, 831]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:cee19bfb12bf74071165,混合离子电子总电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0943
iTE:P0944:n2,P0944,iTE,n2,conductivity,physical_consequence,,iTE:P0944:claim_block,"Synergistic interfacial interactions (cation-pi, pi-pi, d-p coupling) enhanced conductivity.",exact_unique_in_quote,217,229,"[[217, 229]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0944
iTE:P0959:n2,P0959,iTE,n2,electrical conductivity,physical_consequence,,iTE:P0959:claim_block,The electrical conductivity of the mixtures decreases rapidly with the addition of CuCl to liquid Cu2Te.,exact_unique_in_quote,169,192,"[[169, 192]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:cee19bfb12bf74071165,混合离子电子总电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0959
iTE:P0994:n2,P0994,iTE,n2,electrical conductivity,physical_consequence,,iTE:P0994:claim_block,"Structural, electronic, lattice dynamics, optical, elastic, and thermoelectric features of Indium based Perovskite InGeX3 (X = F, Cl) are studied by using WIEN2k code within density functional theory DFT. A level of the Boltzmann transport theory is used to derive electronic transport coefficients together with anticipated electronic relaxation times. These compounds exhibit stability and are cubic with the space group Pm-3m 221, according to the structural analysis. The band structure having the 2.15 eV and 1.29 eV band gap and density of state (DOS) are calculated for electronic characteristics, indicating that both compounds are semiconducting. For the analysis of elastic characteristics, elastic constants, bulk modulus (49.99, 22.69), Poisson's ratio (0.343, 0.261), anisotropy factor (0.52, 0.59), and Pugh's ratio (2.87, 1.75) are examined. The ductile nature of the compounds is described by Pugh's ratio, and the ionic nature can be ascertained by evaluating the Cauchy pressure. In the energy range of 0-10 eV, optical features like reflectivity, optical conductivity, refractive index, extinction coefficient and absorption coefficient are computed. These compounds broad-range absorption in the UV spectrum suggests that they could be good optoelectronic device candidates. The transport feature like Seebeck coefficient, thermal and lattice conductivity, power factor, electrical conductivity, and figure of merit zT (0.99, 0.98) can be calculated against temperature. The chemical potential against an excellent thermoelectric property of InGeX3 (X = F, Cl) have high figure of merit due to high Seebeck and electrical conductivity. These predicted outcomes indicated that both compounds are suitable candidates for thermoelectric applications. Such compounds can replace with other renewable energy sources in thermoelectric devices because of their powerful thermoelectric response.",multiple_exact_matches_in_quote,,,"[[1391, 1414], [1631, 1654]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0994
iTE:P1013:n1,P1013,iTE,n1,higher electrical conductivity,physical_consequence,,iTE:P1013:claim_block,"In this work, a simple, cost-effective successive ionic layer adsorption and reaction (SILAR) deposition technique has been used to deposit a high-quality tin selenide (SnSe) thin film onto a glass substrate. Structural, morphologic, and thermoelectric properties have been characterized for the prepared thin film. X-ray diffraction (XRD) results of the SnSe thin film reveal an orthorhombic structure phase. The morphological properties of the prepared thin films have been studied using field emission scanning electron microscopy (FESEM). The stoichiometric composition of the deposited thin film and the elemental binding energies of the Sn and Se elements have been investigated with energy-dispersive spectroscopy (EDS) and X-ray photoelectron spectroscopy (XPS). The Fourier transformation infrared (FTIR) spectrum of the SnSe thin film displays vibrational modes of chalcogenides bonds. These results suggest that the developed thin film is crystalline, uniform, and without impurities and is appropriate for energy harvesting applications. The prepared thin film's Seebeck coefficient and electrical resistivity were estimated through ZEM-3 from room temperature to 600 K. The power factor was evaluated. A substantially high electrical conductivity is observed, which decreases somewhat with temperature, suggesting a semimetal conducting transport-the absolute values of the Seebeck coefficient increase with temperature. The resulting power factor showed the highest values near room temperature and a somewhat decreasing trend as the temperature increased. Despite lower values of the Seebeck coefficient, the substantially enhanced power factor is due to the higher electrical conductivity of the thin film, superior to that reported previously. This precursor study demonstrates promising results for developing high-performance flexible thermoelectric devices via a simple and facile SILAR strategy.",exact_unique_in_quote,1674,1704,"[[1674, 1704]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:e0f5c2d639cbfc8e3def,较高电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1013
iTE:P1048:n2,P1048,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1048:claim_block,"The impact of A-site and B-site ion substitution (A-site: Sr and B-site: Co) on the electrical and thermoelectric properties of the perovskite CaMnO3 nanoparticles has been investigated. The perovskite nanoparticles have been prepared by sol-gel hydrothermal method at 200 degrees C followed by annealing at optimum temperature. Thermal, structural, morphological, elemental, functional, optical, electrical, and thermoelectric properties of the samples have been performed using TG-DTA analysis, powder X-ray Diffraction, Raman analysis, Scanning Electron Microscopy with Energy Dispersive X-ray Analysis, Fourier Transform Infrared Spectroscopy, UV-Vis spectroscopy, and thermoelectric measurement. Powder XRD analysis reveals the perovskite structure and the optimized annealing temperature. Surfactants reduced the average particle size which improves the thermopower. The decrease in substitution ionic size causes an increase in lattice parameters and unit cell volume. Oxygen-deficient nanoparticles were observed with symmetric Raman lines and the mesoporous structured nanoparticles enhanced the surface area leading to higher electrical conductivity. The temperature dependence thermoelectric measurement was performed between ambient temperature and 673 K. The electrical resistivity depends on the nature of substituent ions. The absolute Seebeck coefficient values for pure CaMnO3, A-site, and B-site substituted were - 312, - 287, and 98 mu VK-1, respectively. The systematic analysis revealed that ion substitution at the A-site and B-site influenced significant changes in the crystal structure and the type of carrier concentration.",exact_unique_in_quote,1136,1159,"[[1136, 1159]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1048
iTE:P1050:n2,P1050,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1050:claim_block,"This work considers the effect of ionic charge carriers on the semiconducting properties of undoped TiO2 single crystal in the n-p transition region. The semiconducting properties were characterised by using the measurements of electrical conductivity and thermoelectric power at elevated temperatures (1073-1323K) and in a gas phase of controlled oxygen activity [10 Pa < p(O-2) < 75 kPa]. These data are considered in terms of the TiO2 defect disorder model. Individual conductivity components, associated with electronic and ionic charge carriers, indicate that the ionic component of electrical conductivity assumes significant values, which cannot be ignored. Its activation energy is 227 kJ/mol.",multiple_exact_matches_in_quote,,,"[[228, 251], [588, 611]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:cee19bfb12bf74071165,混合离子电子总电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1050
iTE:P1060:n2,P1060,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1060:claim_block,"Carbon nanotube (CNT) yarns have emerged as a promising candidate for flexible and fabric-type wearable thermoelectric devices. This study developed CNT yarns tailored by a low-cost, fast, and environmentally friendly CNT dispersion method using glycerol as a dispersant and polyoxyethylene(50) stearyl ether as a surfactant. A high power factor of 242 mu W m(-1) K-2 was obtained, which is ca. three times higher than that of the previous dispersion method. The significant contribution is the 2-fold increase of electrical conductivity (from 325 to 747 S cm(-1)), which originates from the higher degree of disentanglement in dispersion and better CNT alignment in the yarn. Another contribution is the suppression of the increase in thermal conductivity as a possible side effect of the CNT alignment, which is concluded to be due to the surfactant adsorbed on CNT bundles. As a result, the figure of merit ZT value was successfully improved by ca. a factor of 3.",exact_unique_in_quote,514,537,"[[514, 537]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1060
iTE:P1071:n2,P1071,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1071:claim_block,"The electrical conductivity, magnetic susceptibility, and thermoelectric power in the liquid (Tl1/2Pb1/2)-Se system are measured over wide temperature and composition ranges. It is observed that the electrical conductivity in the system sharply falls near the stoichiometric composition of Tl2Pb2Se3 and the magnetic susceptibility has a diamagnetic maximum at this composition, where the thermoelectric power changes its sign. In addition, the DTA investigation shows that the liquidus temperature of the system has a maximum around this composition. These results suggest that a short-range order appears around the composition of Tl2Pb2Se3 in the liquid (Tl1/2Pb1/2)-Se system. The delocalized electron analysis using both susceptibility and conductivity data suggests that the bonding nature of liquid Tl2Pb2Se3 is rather ionic. The radial distribution study by neutron diffraction also exhibits that the first peak position of g(r) for liquid Tl2Pb2Se3 is located near the ionic bond distance of metal and chalcogen atoms. On the other hand, covalent Se-Se bonds are formed in the Se-rich composition range.",multiple_exact_matches_in_quote,,,"[[4, 27], [199, 222]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1071
iTE:P1146:n2,P1146,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1146:claim_block,"Organic thermoelectric (TE) composites and flexible devices have gained a rapid development in recent decade. Herein, a flexible and foldable film of poly(3,4-ethylenedioxythiophene):poly(styrene sulfonate)/single-walled carbon nanotube (PEDOT:PSS/SWCNT) composite is fabricated by post-treatment with an ionic liquid (IL), and an S-shape TE generator (TEG) is designed to harvest heat from human body via a vertical temperature gradient. After being post-treated with IL of bis(trifluoromethane)sulfonimide lithium salt (LiTFSI), the PEDOT:PSS/SWNCT composite displays an improved electrical conductivity from 1063 +/- 80 to 1562 +/- 170 S cm(-1), with an almost constant Seebeck coefficient of similar to 21.9 mu V K-1 with a 30 wt % content of SWCNT. The TE properties exhibit excellent stability against repeated bending or folding cycles. Furthermore, an S-shape architecture is designed for TEG assembling, which enables effective utilization of a vertical temperature gradient between the human body and surroundings. The present study proposes a universal strategy for harvesting heat using a wearable TEG via a vertical temperature gradient, which represents great prospects for application in self-powered wearable electronics.",exact_unique_in_quote,582,605,"[[582, 605]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1146
iTE:P1148:n2,P1148,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1148:claim_block,"We conducted ion-substitution doping experiments on CsSnI3 to enhance its electrical properties for thermoelectric applications. While CsPbI3 is widely known as a printable semiconductor for solar cells, Sn-based halide perovskites are expected to be promising thermoelectric materials due to their inherently high carrier density, which originates from the characteristic self-doping effect caused by the instability of Sn2+. A CsSnI3 solution was spin-coated onto a glass substrate, and the resulting films exhibited electrical conductivity after annealing at 130 degrees C. Various dopants, including Bi, Sb, Ni, In, and Cu, were introduced at different concentrations to improve electrical conductivity, and the formation of Sn-based halide perovskites was confirmed by X-ray diffraction analysis. A positive correlation was observed between grain size and electrical conductivity, and it was found that dopants with smaller ionic radii play a significant role in promoting grain growth. Among the tested dopants, In-, Sb-, and Ni-doped samples exhibited higher electrical conductivity, whereas Bi-doped samples showed comparatively lower conductivity, which could be explained by the difference in grain size.",multiple_exact_matches_in_quote,,,"[[519, 542], [683, 706], [861, 884], [1066, 1089]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1148
iTE:P1223:n2,P1223,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1223:claim_block,"Nearly dense polycrystalline samples of Ca1-xGdxMn1-xWxO3-delta with Gd/W double substitution (0 <= x <= 0.03) were prepared by the mixed-oxide route and their thermoelectric properties were evaluated in the temperature range 25 degrees C-700 degrees C. All samples are single-phase with an orthorhombic perovsldte structure. At higher temperatures the samples are nonstoichiometric, and a phase transition from orthorhombic to cubic occurs with the transition temperature systematically increasing with x. Double substitution with Gd and W leads to increased electrical conductivity and reduced thermopower, resulting in a maximum of the power factor of 370 mu W/(K(2)m) for the composition x = 0.01 at 300 degrees C. Charge transport in the samples is discussed as polaron hopping type transport. The values of the Seebeck coefficient are interpreted with Helices formula and imply a small nonstoichiometry of the samples. The thermal conductivity is decreased with increasing x, and for x = 0.03 a K = 3.2 W/mK is observed at 100 degrees C. Double substituted calcium manganite with x = 0.01 exhibits a figure of merit ZT = 0.12 at 700 degrees C. (C) 2017 Elsevier B.V. All rights reserved.",exact_unique_in_quote,560,583,"[[560, 583]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1223
iTE:P1257:n2,P1257,iTE,n2,enhanced electrical conductivity,physical_consequence,,iTE:P1257:claim_block,"As conventional organic solvents present inherent toxicity, deep eutectic solvents (DES) have been considered as excellent candidates due to their green characteristics. In this work, thermoelectric properties enhancement of PEDOT:PSS films is achieved by introducing DES as an additive and post-treatment reagent. Direct addition and post-treatment approaches lead to a maximum Seebeck coefficient of 29.1 V K-1 and electrical conductivity of 620.6 S cm(-1), respectively. In addition, an optimal power factor is obtained by DES post-treatment, reaching up to 24.08 W m(-1) K-2, which is approximately four orders of magnitude higher than the pure PEDOT:PSS. Assuming a thermal conductivity of 0.17 W m(-1) K-1, the maximum ZT value is estimated to be 0.042 at 300 K. Further, atomic force microscopy and X-ray photoelectron spectroscopy are performed and suggest that the remarkably enhanced electrical conductivity originates from the removal of the excess insulating PSS and the phase separation between the PEDOT and PSS chains. (c) 2015 Wiley Periodicals, Inc. J. Polym. Sci., Part B: Polym. Phys. 2015, 53, 885-892",exact_unique_in_quote,885,917,"[[885, 917]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:4d0073bca3a54fdf90c2,电子电导增强,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1257
iTE:P1270:n2,P1270,iTE,n2,dc conductivity,physical_consequence,,iTE:P1270:claim_block,"Polycrystalline samples of Ga3In(Sn1-yTiy)(5)O-16, y <= 0.3 were prepared by solid-state synthesis and characterized to determine their optical properties, thermoelectric properties and electrical impedance. Using diffuse reflectance data and assuming a direct band gap, the band gap of the material ranges from 3.58 eV for y=0 to 3.74 eV for y=0.2. The dc conductivity decreased with increasing Ti content and was thermally activated, ranging from <= 10(-5) S/cm at 300 degrees C to 0.03 S/cm at 1000 degrees C for Ga3InSn5O16. The Seebeck coefficient was negative indicating n-type conduction. The activation energies for dc conduction and thermopower were similar, ranging from 1.4 +/- 0.1 eV for y=0 to 1.8 +/- 0.2 eV for y=0.2, suggesting band conduction. The thermal conductivity of Ga3InSn5O16 ranged from 1.1 W/m K at 500 degrees C to 0.75 W/m K at 800 degrees C. The highest figure of merit measured was 2 x 10(-4) at similar to 900 degrees C, which is much lower than desired for thermoelectric materials. A comparison of dc conductivity and impedance data indicated a substantial ionic contribution for samples containing titanium. (C) 2012 Elsevier Inc. All rights reserved.",multiple_exact_matches_in_quote,,,"[[354, 369], [1032, 1047]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:91a8974169bf83e02776,混合直流电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1270
iTE:P1298:n2,P1298,iTE,n2,electrical conductivities,physical_consequence,,iTE:P1298:claim_block,"A series of ionically interconnected polypyrrole (PPy) films are fabricated through two-monomer-connected-precursor polymerization by varying diacid linkers, thereby significantly influencing the crystalline morphology and electrical properties. The structure obtained using 1,5-napthalenedisulfonic acid (PPy-Nap) as a fused aromatic linker exhibits a higher electrical conductivity (similar to 78 S cm(-1)) than that (6.7 S cm(-1)) without a linker (PPy-ref). Cryogenic conductivity measurements reveal that the percolation carrier transport barrier of PPy-Nap is significantly smaller than that of PPy-ref, and the calculated carrier mobility of PPy-Nap is similar to 5 times higher compared to PPy-ref. The carrier transport characteristics show a good agreement with morphological data by 2D grazing-incidence X-ray scattering. All PPys have similar doped charge carrier concentrations and, thus, similar Seebeck coefficients (5-8 mu V K-1) but very different electrical conductivities. Consequently, PPy-Nap exhibits a higher power factor than that of PPy-ref (0.21 vs 0.043 mu W m(-1) K-2). The results show that the trade-off relationship between the Seebeck coefficient and electrical conductivity can be overcome by improving crystalline morphology and carrier transport. Thus, both the electrical conductivities and thermoelectric power factors can be improved with maintaining the Seebeck coefficients by enhancing the ordered conductive domains and carrier mobility while maintaining the doping level.",multiple_exact_matches_in_quote,,,"[[965, 990], [1297, 1322]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1298
iTE:P1328:n2,P1328,iTE,n2,higher conductivity,physical_consequence,,iTE:P1328:claim_block,"Doping is a key strategy for enhancing the charge mobility and thermoelectric properties of polymers. While advancements utilizing the anion exchange technique have notably enhanced doping efficiency, there is a need for further optimization of the doping process. This study introduces a two-step doping approach combining solid-state diffusion with anion exchange, applied to poly[2,5bis(3-tetradecylthiophen-2-yl)thieno[3,2-b]thiophene] (PBTTTC14) films. Initial 2,3,5,6-tetrafluoro-7,7,8,8-tetracyano-quinodimethane (F4TCNQ) diffusion doping followed by anion exchange with F4TCNQ/ionic liquid achieved higher conductivity than one-step anion exchange doping. Spectral and structural analyses elucidated the enhanced doping mechanism. Additionally, adjusting the molecular weight (MW) of PBTTTC14 from 11,867 to 175,199 improved doping levels and conductivity, reaching 1,103.8 S cm- 1 . A medium MW (MW = 99,407) optimized thermoelectric performance by balancing conductivity and Seebeck coefficients. These findings provide insights into controlling doping and performance of conductive semiconductor polymers through a two-step doping process and MW engineering.",exact_unique_in_quote,607,626,"[[607, 626]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:e0f5c2d639cbfc8e3def,较高电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1328
iTE:P1356:n1,P1356,iTE,n1,high electrical conductivity,physical_consequence,,iTE:P1356:claim_block,"Conducting hydrogels have attracted much attention for the emerging field of hydrogel bioelectronics, especially poly(3,4-ethylenedioxythiophene): poly(styrene sulfonate) (PEDOT:PSS) based hydrogels, because of their great biocompatibility and stability. However, the electrical conductivities of hydrogels are often lower than 1 S cm(-1 )which are not suitable for digital circuits or applications in bioelec txonics. Introducing conductive inorganic fillers into the hydrogels can improve their electrical conductivities. However, it may lead to compromises in compliance, biocompatibility, deformability, biodegradability, etc. Herein, a series of highly conductive ionic liquid (IL) doped PEDOT:PSS hydrogels without any conductive fillers is reported. These hydrogels exhibit high conductivities up to approximate to 305 S cm(-1), which is approximate to 8 times higher than the record of polymeric hydrogels without conductive fillers in literature. The high electrical conductivity results in enhanced areal thermoelectric output power for hydrogel-based thermoelectric devices, and high specific electromagnetic interference (EMI) shielding efficiency which is about an order in magnitude higher than that of state-of-the-art conductive hydrogels in literature. Furthermore, these stretchable (strain >30%) hydrogels exhibit fast self-healing, and shape/size-tunable properties, which are desirable for hydrogel bioelectronics and wearable organic devices. The results indicate that these highly conductive hydrogels are promising in applications such as sensing, thermoelectrics, EMI shielding, etc.",exact_unique_in_quote,960,988,"[[960, 988]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:d61163e1e2b1a9146578,高电导率载流类型待定,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1356
iTE:P1359:n2,P1359,iTE,n2,dc conductivity,physical_consequence,,iTE:P1359:claim_block,"Four glasses of the (13.5%X- 32.5%V2O5-54%P2O5) mol%, X = Na2O, Na2S, and NaF, and (13.5% Na2S - 32.5%V2S5-54%P2S5) mol% were prepared. DSC, density, molar volume, XRD, thermoelectric power, and glass transport properties of the prepared glasses were reported. Density was found to increase with decreasing the molar volume, V-m, of glasses containing sulfur. Replacing oxygen with sulfur results in less number of bridging oxygen; this decrease leads to less compactness and molar volume increase of the host network. Thermoelectric power (S) of present samples was reported and the fraction C of reduced transition metal ions (C = V4+/Vtotal or V3+/Vtotal ) was calculated. Moreover, the conductivity data temperature dependence has been studied in two distinct polaronic models. Above theta(D)/2 (high temperature region), the conductivity data are compatible with Mott SPH model between the nearest neighbors, but in the intermediate temperature extent, the appropriate model was Greaves VRH model. Dc conductivity values have a positive relation with C results calculated from thermoelectric power. The dc conductivity of the formed sulfur-containing glasses is enhanced owing to the increase of V4+-V5+ or V3+-V4+ ion pairs as sulfur worked as a reducing agent, which resulted in reduction of the vanadium ions from high valence (V4+ and/or V5+) to low valence states (V3+ and/or V4+). From inspecting the conduction mechanism nature and type, the current work displayed was proved to be in accord with non-adiabatic case of SPH. The hopping carrier mobility is very small in order of 10(- 5) cm(2) V- 1 s(- 1) at 393 K satisfying the localized condition for hopping electrons.",exact_unique_in_quote,1108,1123,"[[1108, 1123]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:37a439d0178a12c13bd1,电子直流电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1359
iTE:P1430:n2,P1430,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1430:claim_block,"In this work, the thermoelectric (TE) properties of poly(3,4-ethylenedioxylthiophene):poly(styrene sulfonate) (PEDOT:PSS) thin films at room temperature are studied. Different methods have been applied for tuning the TE properties: 1st addition of polar solvent, dimethyl sulfoxide (DMSO), into the PEDOT: PSS solution; 2nd post-treatment of thin films with a mixture of DMSO and ionic liquid, 1-ethyl-3-methylimidazolium tetrafluoroborate (EMIMBF4). It is verified that DMSO post-treatment is more efficient than DMSO addition in improving the electrical conductivity with a trivial change in the Seebeck coefficient. The power factor is increased up to 30.1 mu W mK(-2) for the film with DMSO post-treatment, while the optimized power factor by DMSO addition is 18.2 mu W mK(-2). It is shown that both DMSO addition and post-treatment induce morphological changes: an interconnected network of elongated PEDOT grains is generated, leading to higher electrical conductivity. In contrast, for those films post-treated in the presence of EMIMBF4, an interconnected network of short and circular PEDOT grains with increased polaron density is created, resulting in the improvement in the Seebeck coefficient and a concomitant compromise in the electrical conductivity. An optimized power factor of 38.46 mu W mK(-2) is achieved at 50 vol% of EMIMBF4, which is the highest reported so far for PEDOT: PSS thin films to our knowledge. Assuming a thermal conductivity of 0.17 W mK(-1), the corresponding ZT is 0.068 at 300 K. These results demonstrate that post-treatment is a promising approach to enhance the TE properties of PEDOT: PSS thin films. Furthermore, ionic liquid, EMIMBF4, shows the potential for tuning the TE properties of PEDOT: PSS thin films via a more environmentally benign process.",multiple_exact_matches_in_quote,,,"[[545, 568], [951, 974], [1242, 1265]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1430
iTE:P1435:n2,P1435,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1435:claim_block,"In this paper, the structural and transport properties of selected La1-xSrxCo0.2Fe0.8O3 (LSCF) perovskites and La0.6Sr0.4Co0.2Fe0.6Ni0.2O3 (LSCFN64262) perovskite are presented. Crystal structure of the samples was characterized by means of X-ray studies with Rietveld method analysis. DC electrical conductivity and thermoelectric power were measured at a wide temperature range (80-1200 K) in air. For La0.2Sr0.8Co0.2Fe0.8O3 (LSCF2828) and La0.4Sr0.6Co0.2Fe0.8O3 (LSCF4628) perovskites a maximum observed on electrical conductivity dependence on temperature exists at about 750 K. It can be associated with an appearance of oxygen vacancies and implies a mixed ionic-electronic transport. A growing amount of oxygen vacancies at higher temperatures causes a decrease in the electrical conductivity due to a recombination mechanism associated with lowering of the average valence of 3d metals. A similar characteristic was found for LSCFN64262 perovskite, which also exhibits a relatively high electrical conductivity. (c) 2007 Elsevier B.V. All rights reserved.",multiple_exact_matches_in_quote,,,"[[289, 312], [510, 533], [776, 799], [995, 1018]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:91a8974169bf83e02776,混合直流电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1435
iTE:P1449:n2,P1449,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1449:claim_block,"Owing to the high water miscibility of p-MIM:TFSI and its favorable ion exchange capability with PEDOT:PSS, PEDOT:PSS/p-MIM:TFSI transparent electrodes show enhanced electrical conductivity (sigma = 450 S cm(-1)) and thin-film stretchability represented by crack onset strain (epsilon(c)) exceeding 50%.",exact_unique_in_quote,617,640,"[[617, 640]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1449
iTE:P1459:n2,P1459,iTE,n2,electrical conductivity,physical_consequence,,iTE:P1459:claim_block,Ni doping suppresses electrical conductivity (<10(22) S/m) and reduces ZT below 4 x 10(-4).,exact_unique_in_quote,1169,1192,"[[1169, 1192]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1459
iTE:P1482:n4,P1482,iTE,n4,electrical conductivity,physical_consequence,,iTE:P1482:claim_block,"In this composite, ILs simultaneously enhance the Seebeck coefficient and electrical conductivity of PEDOT:PSS (up to 35 mu V K-1 and 538 S cm(-1), respectively) by controlling its oxidation level and nanostructure.",exact_unique_in_quote,563,586,"[[563, 586]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g001,draft:v2:iTE:dc45733a6ee9bda13b42,电子电导率,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1482
