kind,left_claim,left_concept_id,left_support,reason,relation_match,review_id,right_claim,right_concept_id,right_support,scope
related_not_equivalent,iTE:P1292:complete_v1_cr001,iTE:C802caf76267b20,supported,左侧是具体导电聚合物体系，右侧是基于单极离子导体的器件，实体层级及载流方式不同。,1,M056,TG:P0216:r004,TG:C796d2827380e27,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1292:complete_v1_cr001,iTE:C6fa4f836cf0770,supported,共同包含可水加工性，但左侧复合概念还限定为导电聚合物，不能整体等同于右侧属性。,1,M056,TG:P0216:r004,TG:C37a9e80a17fbd2,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0813:r003,iTE:C98005c8e7598ee,supported,取代离子半径是结构尺度，氧化还原对塞贝克系数是电势的温度响应系数。,0,M057,TG:P0288:complete_v1_cr001,TG:Cae17df2ae85175,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0813:r003,iTE:Cb4807f18333f1e,supported,晶胞参数与器件可达电势差是不同物理量。,0,M057,TG:P0288:complete_v1_cr001,TG:Cbb479d3025247f,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1684:r011,iTE:C75bc7dc50e07a8,supported,两侧均指作为自变量的热力学温度，但实验或计算条件未对齐。,0,M058,TG:P0129:complete_v1_cr001,TG:C4c3edb3c1ad619,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1684:r011,iTE:C2415c40256615e,supported,所研究固体的熵与平衡电极电势不是同一概念或同类输出。,0,M058,TG:P0129:complete_v1_cr001,TG:C883b67b9ee29a1,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1477:r005,iTE:Cd41afe2a396e1f,supported,电子数密度与电极电势具有不同物理含义和功能。,0,M059,TG:P0184:complete_v1_cr002,TG:C047ee8b4d75943,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1477:r005,iTE:C75bc7dc50e07a8,supported,两侧均指温度这一状态变量，不表示温区或运行方式相同。,0,M059,TG:P0184:complete_v1_cr002,TG:C4c3edb3c1ad619,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1477:r005,iTE:Cd41afe2a396e1f,supported,电子密度与NaOH溶解度分别描述载流子数量和溶解平衡，不能因都涉及浓度而等同。,0,M060,TG:P0116:complete_v1_cr001,TG:Cbc5658e2fdeade,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1477:r005,iTE:C75bc7dc50e07a8,supported,两侧均使用温度这一状态变量，但未给出可对齐的条件。,0,M060,TG:P0116:complete_v1_cr001,TG:C4c3edb3c1ad619,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0454:r007,iTE:C027c0870b83387,supported,均充当添加剂引发的材料改变过程，但离子交换与结晶是不同物理过程。,1,M061,TG:P0027:r007,TG:C754244c6d94a49,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0454:r007,iTE:Cc91b24e796044f,supported,均表征温差电压响应，但分别为电子热电势与热电化学系数，物理来源不同。,1,M061,TG:P0027:r007,TG:C5e94eb7cbe244e,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1067:r010,iTE:C670e7809ee0602,supported,左侧为完整CuI/NC复合样品，右侧为界面中的聚合物网络，材料与层级均不同。,0,M062,TG:P0012:r004,TG:Cddffac7dc8aad7,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1067:r010,iTE:C60453733c42b3a,supported,半导体CuI固体薄膜与网络吸收的甘油/水混合溶剂不具备相同组成或已证实的相似功能。,0,M062,TG:P0012:r004,TG:C1ad4dea0d8d9ba,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1865:r012,iTE:C53e03525a11e2c,supported,均为被比较体系的Seebeck系数，但分别来自Co2VAl电子输运和氢电极热电池。,1,M063,TG:P0317:r004,TG:Cdd1228ea8980f4,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1865:r012,iTE:C09c0bef363c601,supported,均为比较基准的热电系数，但特定Co2VGa系数不等于未具体限定的经典发电机系数集合。,1,M063,TG:P0317:r004,TG:C082ab7d67a8059,supported,selected_claim_context_only_not_global_sameAs
