review_queue_order,audit_order,candidate_id,evidence_tier,evidence_tier_order,evidence_tier_reason,strict_syntax_supported_side,ite_side_evidence_level,tg_side_evidence_level,evidence_floor,evidence_ceiling,evidence_grade,evidence_grade_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,other_endpoints_focus_eligible,focus_eligible,shared_ite_document_frequency,shared_tg_document_frequency,shared_ite_incident_pair_degree,shared_tg_incident_pair_degree,ite_pair_id,ite_pair_key,ite_pair_label,ite_other_global_concept_id,ite_other_label,ite_other_category,ite_pair_paper_count,ite_pair_sentence_count,ite_pair_strict_syntax_relation_paper_count,ite_pair_human_confirmed_relation_paper_count,ite_strict_relation_ids,ite_human_confirmed_relation_ids,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_key,tg_pair_label,tg_other_global_concept_id,tg_other_label,tg_other_category,tg_pair_paper_count,tg_pair_sentence_count,tg_pair_strict_syntax_relation_paper_count,tg_pair_human_confirmed_relation_paper_count,tg_strict_relation_ids,tg_human_confirmed_relation_ids,tg_authoritative_provenance_fk,closure_group_id,cross_endpoint_pair_key,cross_endpoint_pair,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,scientific_claim_status,candidate_interpretation,minimum_relation_support,total_relation_support,minimum_human_confirmed_relation_support,total_human_confirmed_relation_support,minimum_pair_paper_count,sum_pair_paper_count,minimum_pair_sentence_count,sum_pair_sentence_count,shared_minimum_document_frequency,closure_path_count,shared_candidate_path_count,within_shared_node_support_rank,within_shared_node_tier_support_rank,focus_within_shared_node_support_rank,focus_within_shared_node_tier_support_rank,round_robin_round,review_selection_reason,selection_policy_id,review_selected
66,205,TC_17b022344b05,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_dc24552919c4,GC_4a92e5f4fe38::GC_d18c91f9affa,hydrogel + temperature difference,GC_d18c91f9affa,temperature difference,mechanism_or_process,1,2,0,0,,,TP_dc24552919c4,CL_6d548216a4fe,GC_d18c91f9affa::GC_f2bba15c8a15,physiological temperature gradient + temperature difference,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,3,21,1,9390,12,12,11,11,11,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
67,476,TC_2d5bccc8394d,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_3c432d56645d,thermal gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_62c86622d63c,GC_4a92e5f4fe38::GC_cf402379d512,hydrogel + concentration gradient,GC_4a92e5f4fe38,hydrogel,material_or_structure,1,1,0,0,,,TP_62c86622d63c,CL_66e32a932a9e,GC_3c432d56645d::GC_4a92e5f4fe38,thermal gradient + hydrogel,already_observed_in_iTE,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,3,3,76,13,12,12,11,11,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
68,574,TC_98eb2ed9a9ce,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_d18c91f9affa,temperature difference,mechanism_or_process,True,True,True,27,27,71,54,IP_1ef9a160e8b5,GC_6c76863e5251::GC_d18c91f9affa,copper electrode + temperature difference,GC_6c76863e5251,copper electrode,material_or_structure,1,1,0,0,,,IP_1ef9a160e8b5,TP_7512f79881c6,GC_a51be089433c::GC_d18c91f9affa,maxsorb electrode + temperature difference,GC_a51be089433c,maxsorb electrode,material_or_structure,1,1,1,0,AR_72c9bb1fbf6d,,TP_7512f79881c6,CL_61045706b4fe,GC_6c76863e5251::GC_a51be089433c,copper electrode + maxsorb electrode,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,27,1,3826,12,12,11,11,11,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
69,654,TC_ffab977d0913,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,35,18,74,32,IP_1c69b56d64b7,GC_bbb29d51b9cd::GC_f50bbe3cdc5d,output voltage + temperature gradient,GC_bbb29d51b9cd,output voltage,outcome_or_property,1,1,0,0,,,IP_1c69b56d64b7,TP_3d10de20fa31,GC_71c1faf6fa71::GC_f50bbe3cdc5d,favourable electrochemical redox reaction + temperature gradient,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,1,1,1,0,AR_10561c52c88a,,TP_3d10de20fa31,CL_8435d935f121,GC_71c1faf6fa71::GC_bbb29d51b9cd,output voltage + favourable electrochemical redox reaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,18,1,2366,11,11,11,11,11,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
70,139,TC_9a23f874849c,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_03237651a1bf,GC_4a92e5f4fe38::GC_d3aef9f1ae1f,hydrogel + marginal solvation entropy,GC_d3aef9f1ae1f,marginal solvation entropy,mechanism_or_process,1,1,0,0,,,TP_03237651a1bf,CL_9ed1a2301b98,GC_d3aef9f1ae1f::GC_f2bba15c8a15,physiological temperature gradient + marginal solvation entropy,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,13,13,12,12,12,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
71,477,TC_3d1d2eb7679f,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_3c432d56645d,thermal gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_64ce26feb534,GC_cf402379d512::GC_d7f1b1c87d7d,concentration gradient + redox ion pair,GC_d7f1b1c87d7d,redox ion pair,material_or_structure,1,1,0,0,,,TP_64ce26feb534,CL_f6442a59af74,GC_3c432d56645d::GC_d7f1b1c87d7d,thermal gradient + redox ion pair,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,3,1,76,14,13,13,12,12,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
72,575,TC_2a0bb1343a72,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_d18c91f9affa,temperature difference,mechanism_or_process,True,True,True,27,27,71,54,IP_24d220e1d54f,GC_0e210ac73b19::GC_d18c91f9affa,stretchable self healing ionogels + temperature difference,GC_0e210ac73b19,stretchable self healing ionogels,material_or_structure,1,1,0,0,,,IP_24d220e1d54f,TP_7512f79881c6,GC_a51be089433c::GC_d18c91f9affa,maxsorb electrode + temperature difference,GC_a51be089433c,maxsorb electrode,material_or_structure,1,1,1,0,AR_72c9bb1fbf6d,,TP_7512f79881c6,CL_949db1dc6982,GC_0e210ac73b19::GC_a51be089433c,stretchable self healing ionogels + maxsorb electrode,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,27,1,3826,13,13,12,12,12,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
73,655,TC_18d002839c61,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,35,18,74,32,IP_248623398994,GC_bd6b4e8482b9::GC_f50bbe3cdc5d,thermoelectric conversion property + temperature gradient,GC_bd6b4e8482b9,thermoelectric conversion property,outcome_or_property,1,1,0,0,,,IP_248623398994,TP_3d10de20fa31,GC_71c1faf6fa71::GC_f50bbe3cdc5d,favourable electrochemical redox reaction + temperature gradient,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,1,1,1,0,AR_10561c52c88a,,TP_3d10de20fa31,CL_421df86a7bb2,GC_71c1faf6fa71::GC_bd6b4e8482b9,thermoelectric conversion property + favourable electrochemical redox reaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,18,1,2366,12,12,12,12,12,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
74,140,TC_b574a6ae38bd,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_0a39eb061a1c,GC_4a92e5f4fe38::GC_f8594c410875,hydrogel + power density,GC_f8594c410875,power density,outcome_or_property,1,1,0,0,,,TP_0a39eb061a1c,CL_c01eef4c57e1,GC_f2bba15c8a15::GC_f8594c410875,physiological temperature gradient + power density,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,14,14,13,13,13,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
75,479,TC_c2c1e2668ea5,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_3c432d56645d,thermal gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_885920e56b51,GC_6cdb23f33c74::GC_cf402379d512,seebeck coefficient + concentration gradient,GC_6cdb23f33c74,seebeck coefficient,outcome_or_property,1,1,0,0,,,TP_885920e56b51,CL_21e05e29372e,GC_3c432d56645d::GC_6cdb23f33c74,thermal gradient + seebeck coefficient,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,3,3,76,15,14,14,13,13,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
76,577,TC_678b3ff528c7,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_d18c91f9affa,temperature difference,mechanism_or_process,True,True,True,27,27,71,54,IP_2970338c117a,GC_5b704f82a7d4::GC_d18c91f9affa,stable open circuit voltage + temperature difference,GC_5b704f82a7d4,stable open circuit voltage,outcome_or_property,1,1,0,0,,,IP_2970338c117a,TP_7512f79881c6,GC_a51be089433c::GC_d18c91f9affa,maxsorb electrode + temperature difference,GC_a51be089433c,maxsorb electrode,material_or_structure,1,1,1,0,AR_72c9bb1fbf6d,,TP_7512f79881c6,CL_b35122d20cb4,GC_5b704f82a7d4::GC_a51be089433c,stable open circuit voltage + maxsorb electrode,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,27,1,3826,15,15,13,13,13,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
77,656,TC_b70522a1e907,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,35,18,74,32,IP_24c77deacd8d,GC_cc7c2e17932c::GC_f50bbe3cdc5d,ion selective transport + temperature gradient,GC_cc7c2e17932c,ion selective transport,mechanism_or_process,1,1,0,0,,,IP_24c77deacd8d,TP_3d10de20fa31,GC_71c1faf6fa71::GC_f50bbe3cdc5d,favourable electrochemical redox reaction + temperature gradient,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,1,1,1,0,AR_10561c52c88a,,TP_3d10de20fa31,CL_82e5a667bb4f,GC_71c1faf6fa71::GC_cc7c2e17932c,ion selective transport + favourable electrochemical redox reaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,18,1,2366,13,13,13,13,13,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
78,141,TC_137d86c693f6,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_0d385ff1e54e,GC_030e2d8d54dd::GC_4a92e5f4fe38,double network + hydrogel,GC_030e2d8d54dd,double network,material_or_structure,1,1,0,0,,,TP_0d385ff1e54e,CL_709604e96a98,GC_030e2d8d54dd::GC_f2bba15c8a15,physiological temperature gradient + double network,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,15,15,14,14,14,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
79,482,TC_35ea95549a9a,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_3c432d56645d,thermal gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_b2626e67fa08,GC_cf402379d512::GC_daadfd6b705e,concentration gradient + thermoelectric power,GC_daadfd6b705e,thermoelectric power,outcome_or_property,1,1,0,0,,,TP_b2626e67fa08,CL_bc351cc8a045,GC_3c432d56645d::GC_daadfd6b705e,thermal gradient + thermoelectric power,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,3,1,76,18,17,15,14,14,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
80,579,TC_da653c6e5f1d,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_d18c91f9affa,temperature difference,mechanism_or_process,True,True,True,27,27,71,54,IP_3892728e5423,GC_bbb29d51b9cd::GC_d18c91f9affa,output voltage + temperature difference,GC_bbb29d51b9cd,output voltage,outcome_or_property,1,1,0,0,,,IP_3892728e5423,TP_7512f79881c6,GC_a51be089433c::GC_d18c91f9affa,maxsorb electrode + temperature difference,GC_a51be089433c,maxsorb electrode,material_or_structure,1,1,1,0,AR_72c9bb1fbf6d,,TP_7512f79881c6,CL_fdfe50c5cf91,GC_a51be089433c::GC_bbb29d51b9cd,output voltage + maxsorb electrode,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,27,2,3826,17,17,14,14,14,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
81,657,TC_9d1bc7ef117a,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,35,18,74,32,IP_26cc942478b0,GC_5a966339bf3f::GC_f50bbe3cdc5d,stable thermovoltage + temperature gradient,GC_5a966339bf3f,stable thermovoltage,outcome_or_property,1,1,0,0,,,IP_26cc942478b0,TP_3d10de20fa31,GC_71c1faf6fa71::GC_f50bbe3cdc5d,favourable electrochemical redox reaction + temperature gradient,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,1,1,1,0,AR_10561c52c88a,,TP_3d10de20fa31,CL_a375ef11ed8a,GC_5a966339bf3f::GC_71c1faf6fa71,stable thermovoltage + favourable electrochemical redox reaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,18,1,2366,14,14,14,14,14,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
82,142,TC_9e1baa244864,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_13b3292a1ffe,GC_4a92e5f4fe38::GC_c1c27d3e68b4,hydrogel + marginal solvation entropy difference,GC_c1c27d3e68b4,marginal solvation entropy difference,mechanism_or_process,1,1,0,0,,,TP_13b3292a1ffe,CL_62f8bf4f7118,GC_c1c27d3e68b4::GC_f2bba15c8a15,physiological temperature gradient + marginal solvation entropy difference,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,16,16,15,15,15,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
83,483,TC_f7a9a61457be,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_3c432d56645d,thermal gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_ba0e7d0fea6d,GC_5b2bd4afcf11::GC_cf402379d512,synergistically enlarges solvation + concentration gradient,GC_5b2bd4afcf11,synergistically enlarges solvation,mechanism_or_process,1,1,0,0,,,TP_ba0e7d0fea6d,CL_0fd0f1a393f5,GC_3c432d56645d::GC_5b2bd4afcf11,thermal gradient + synergistically enlarges solvation,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,3,2,76,19,18,16,15,15,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
84,581,TC_6b4bdba10cb0,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_d18c91f9affa,temperature difference,mechanism_or_process,True,True,True,27,27,71,54,IP_399487b66587,GC_d18c91f9affa::GC_dc703264dd36,temperature difference + ionic thermoelectric osmotic power,GC_dc703264dd36,ionic thermoelectric osmotic power,outcome_or_property,1,1,0,0,,,IP_399487b66587,TP_7512f79881c6,GC_a51be089433c::GC_d18c91f9affa,maxsorb electrode + temperature difference,GC_a51be089433c,maxsorb electrode,material_or_structure,1,1,1,0,AR_72c9bb1fbf6d,,TP_7512f79881c6,CL_5dafdfc75d58,GC_a51be089433c::GC_dc703264dd36,ionic thermoelectric osmotic power + maxsorb electrode,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,27,1,3826,18,18,15,15,15,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
85,658,TC_499555e9b3d5,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,35,18,74,32,IP_2aba6da9d68e,GC_1c7af9f758c0::GC_f50bbe3cdc5d,cation pi interaction + temperature gradient,GC_1c7af9f758c0,cation pi interaction,mechanism_or_process,1,1,0,0,,,IP_2aba6da9d68e,TP_3d10de20fa31,GC_71c1faf6fa71::GC_f50bbe3cdc5d,favourable electrochemical redox reaction + temperature gradient,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,1,1,1,0,AR_10561c52c88a,,TP_3d10de20fa31,CL_fec2b6918b14,GC_1c7af9f758c0::GC_71c1faf6fa71,cation pi interaction + favourable electrochemical redox reaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,18,1,2366,15,15,15,15,15,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
86,143,TC_450a14a5215d,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_147588a9a421,GC_4a92e5f4fe38::GC_5ef8766de935,hydrogel + k4,GC_5ef8766de935,k4,literal_formula,1,1,0,0,,,TP_147588a9a421,CL_f067d4337aef,GC_5ef8766de935::GC_f2bba15c8a15,physiological temperature gradient + k4,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,17,17,16,16,16,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
87,484,TC_523f3438fad5,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_3c432d56645d,thermal gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_bddbdc654c07,GC_cf402379d512::GC_e9cefeab69ae,concentration gradient + redox ion transport,GC_e9cefeab69ae,redox ion transport,mechanism_or_process,1,1,0,0,,,TP_bddbdc654c07,CL_3995289a3900,GC_3c432d56645d::GC_e9cefeab69ae,thermal gradient + redox ion transport,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,3,2,76,20,19,17,16,16,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
