relation_id,revision_kind,before_subject,before_predicate,before_object,after_subject,after_predicate,after_object,modality,joint_factor_group,instruction,status
TG:P0165:astra_core_01,missing_or_partial_reference_supplement,,,,molybdenum nitride quantum dots in carbon matrix,activate,thermoelectrical behavior,author_claim,,只抽到电活性位点，未建立电热行为活化的参考关系。,applied
TG:P0165:astra_core_02,missing_or_partial_reference_supplement,,,,"3D skeleton, abundant electroactive sites and high conductivity",jointly enable,"large thermopower, power density and durability",joint_attribution,joint:TG:P0165:0960ffe848f676b59138,联合主语缺3D骨架绑定，结果只覆盖thermopower。,applied
TG:P0332:astra_core_01,missing_or_partial_reference_supplement,,,,temperature-driven electrode reactions across ion-exchange membrane,increase,redox-species concentration differences,author_claim_redox_label_inconsistent,,未形成该核心关系。,applied
TG:P0061:astra_core_01,missing_or_partial_reference_supplement,,,,binary water/glycerin solvent limiting water-water hydrogen bonds,enables,low-temperature durability and antidrying of PVA/GEL thermogalvanic gel,joint_outcome,joint:TG:P0061:666638510fb805f737f8,只抽到溶剂限制氢键，未提取抗冻耐干结果。,applied
TG:P0061:astra_core_02,missing_or_partial_reference_supplement,,,,breath-environment temperature difference across gel patch,generates,electrical signals for self-powered respiratory monitoring,reported_function,,未形成该核心关系。,applied
TG:P0320:astra_core_01,missing_or_partial_reference_supplement,,,,Onsager-flux thermocell simulation,predicts,"short-circuit current, maximum power and conversion efficiency",model_prediction_validated,,未形成该核心关系。,applied
TG:P0302:astra_core_01,missing_or_partial_reference_supplement,,,,decoupled heat and electricity conduction in dual-cell heat engine,allows independent optimization of,conversion efficiency,theoretical_design,,未形成该核心关系。,applied
TG:P0302:astra_core_02,missing_or_partial_reference_supplement,,,,dual-cell electrochemical system,requires,flow control responding to electrical current,theoretical_requirement,,未形成该核心关系。,applied
TG:P0001:astra_core_01,missing_or_partial_reference_supplement,,,,wound-dressing temperature gradient,generates,electrical stimulus,reported_function,,TGC生成电场已提取，但未建立温差驱动关系。,applied
TG:P0080:astra_core_01,missing_or_partial_reference_supplement,,,,Bmim+/H2PO4− thermodiffusion and Fe2+/Fe3+ thermogalvanic effect,jointly produce,negative Seebeck coefficient−6.50mV/K,joint_attribution,joint:TG:P0080:ef2fab7db526b2daa5a9,两因素jointly明确但没有联合绑定组。,applied
TG:P0080:astra_core_02,missing_or_partial_reference_supplement,,,,rapid voltage surge,triggers,self-signaled fire alarm within2s,reported_function,,未形成该核心关系。,applied
TG:P0080:astra_core_03,missing_or_partial_reference_supplement,,,,phosphorus-iron synergistic char formation,causes,flame retardancy,joint_attribution,joint:TG:P0080:75ac2d2a3fcd659622d0,未形成该核心关系。,applied
TG:P0204:astra_core_01,missing_or_partial_reference_supplement,,,,temperature-induced GO pseudocapacitance and Fe2+/Fe3+ thermogalvanic effect,jointly generate,voltage on heating,joint_mechanism,joint:TG:P0204:2f80d945a778cfdc66e2,两联合因素没有绑定组。,applied
TG:P0204:astra_core_03,missing_or_partial_reference_supplement,,,,cooling,enables,cell self-regeneration,author_claim,,未形成该核心关系。,applied
TG:P0144:astra_core_01,missing_or_partial_reference_supplement,,,,Cl− coordination,stabilizes,Cu2+/Cu+ redox species,author_claim,,未形成该核心关系。,applied
TG:P0144:astra_core_03,missing_or_partial_reference_supplement,,,,tuning ion coordination speciation,enables,large negative thermopower and power density,author_claim,,未形成该核心关系。,applied
TG:P0075:astra_core_01,missing_or_partial_reference_supplement,,,,thermogalvanic effect and constant gel elastic modulus,jointly enable,sensor operation under stretching,joint_mechanism,joint:TG:P0075:e787fd8a71ba0e810be2,两因素jointly明确但没有联合绑定组。,applied
TG:P0278:astra_core_02,missing_or_partial_reference_supplement,,,,different electrode solvation and suppressed convection,jointly improve Seebeck coefficient and reduce,effective thermal conductivity,joint_outcomes,joint:TG:P0278:8f52fd94aeb960990953,原文联合双结果被分配成两个独立因果，严格联合表述未保留。,applied
TG:P0278:astra_core_03,missing_or_partial_reference_supplement,,,,porous graphite felt electrodes in biphasic thermocell,further improve,output power,author_claim,,未形成该核心关系。,applied
